paper_id,doi,pmid,pmcid,title,preferred_format,available_formats,access_urls,local_paths,status,notes
paper_0a6d64ed678d,,,,Subcellular actions of non-steroidal anti-inflammatory drugs : lysosome and prostaglandin studies,unresolved,[],{},{},unresolved,[]
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,9176998,,Topical administration of racemic ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,20393931,,Topical agents or dressings for pain in venous leg ulcers.,pdf,['pdf'],{'pdf': 'https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf'},{'pdf': 'papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf'},downloaded,"['seed_pdf_url_from_metadata', 'legacy_pdf_reused_local']"
paper_92afc39ccd63,10.1002/14651858.cd001177.pub3,23152206,PMC7054838,Topical agents or dressings for pain in venous leg ulcers.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC7054838', 'pdf': 'https://europepmc.org/articles/PMC7054838?pdf=render'}",{},resolved,['failed_download:pdf']
paper_244198a8d171,10.1002/adhm.201600591,27805775,,Magnetically Controlled Drug Release System through Magnetomechanical Actuation.,unresolved,[],{},{},unresolved,[]
paper_b0c15dc016b9,10.1002/advs.202510976,41221649,PMC12866810,Nanogel Integrated Zwitterionic Injectable Hydrogel with Sequential Drug-Releasing Capability for the Programmable Repair of Spinal Cord Injury.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC12866810', 'pdf': 'https://europepmc.org/articles/PMC12866810?pdf=render'}",{},resolved,['failed_download:pdf']
paper_e35b9fb3e6b5,10.1002/ams2.457,31988769,PMC6971472,A rare case of Reye's syndrome induced by influenza A virus with use of ibuprofen in an adult.,html,"['html', 'pdf']","{'pdf': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ams2.457', 'html': 'https://europepmc.org/articles/PMC6971472'}",{},resolved,['failed_download:pdf']
paper_fd72d2eca67a,10.1002/ardp.201300279,24243443,,Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.,unresolved,[],{},{},unresolved,[]
paper_5bf9e3e37e6c,10.1002/bdd.631,18985797,,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,[],{},{},unresolved,[]
paper_69ea1a42d71b,10.1002/bmc.1365,20017213,,Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.,unresolved,[],{},{},unresolved,[]
