record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,duration_h,verification_status,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_a04ba214b2b4,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,mixed,0.69,0.9,,IVPT,Franz diffusion cell,venous leg ulcer,text_1,ibuprofen,,,,unspecified,foam dressing,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""unspecified"", ""note"": """"}]",Jss,jss,1.63,RR,5.0,days,,,,120.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 17, 18, 26, 33, 47, 48, 49, 50], ""route_label"": ""mixed"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 5""], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 10"", ""page 14"", ""page 17"", ""page 18"", ""page 26"", ""page 33"", ""page 47"", ""page 48"", ""page 49"", ""page 50""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 0, ""page 3"": 6, ""page 4"": 5, ""page 5"": 2, ""page 6"": 6, ""page 7"": 5, ""page 8"": 9, ""page 10"": 6, ""page 14"": 6, ""page 17"": 8, ""page 18"": 7, ""page 26"": 9, ""page 33"": 6, ""page 47"": 6, ""page 48"": 6, ""page 49"": 5, ""page 50"": 5}}}","[{""field_name"": ""pain relief"", ""modality"": ""text"", ""locator"": ""page 4"", ""page"": 4, ""bbox"": null, ""snippet"": ""significantly more participants in the ibuprofen dressing group achieved the outcome of >50% of the total maximum pain relief score between day 1 and day 5 than participants in the local best practice group (RR 1.63, 95% CI 1.24 to 2.15)."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.9}]",[],"[""Two trials evaluated ibuprofen foam dressings.""]"
record_779e0589e877,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,mixed,0.69,0.75,,IVRT,other,venous leg ulcer,text_2,ibuprofen,,,,unspecified,foam dressing,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""unspecified"", ""note"": """"}]",Jss,jss,,RR,,,,,,,pending,,,[],1,0,text,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 17, 18, 26, 33, 47, 48, 49, 50], ""route_label"": ""mixed"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 5""], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 10"", ""page 14"", ""page 17"", ""page 18"", ""page 26"", ""page 33"", ""page 47"", ""page 48"", ""page 49"", ""page 50""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 0, ""page 3"": 6, ""page 4"": 5, ""page 5"": 2, ""page 6"": 6, ""page 7"": 5, ""page 8"": 9, ""page 10"": 6, ""page 14"": 6, ""page 17"": 8, ""page 18"": 7, ""page 26"": 9, ""page 33"": 6, ""page 47"": 6, ""page 48"": 6, ""page 49"": 5, ""page 50"": 5}}}","[{""field_name"": ""pain relief"", ""modality"": ""text"", ""locator"": ""page 4"", ""page"": 4, ""bbox"": null, ""snippet"": ""there was no statistically significant difference in the proportion of participants experiencing slight to complete pain relief on the first evening of treatment."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.75}]",[],"[""Small trial size."", ""needs_supp=yes""]"
record_9cb15ea03fc7,paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,text,0.5700000000000001,0.9,,IVPT,Franz diffusion cell,MIL-88B(Fe),text_1,ibuprofen,,,,8.7%,Thin film,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8.7%"", ""note"": """"}]",Jss,jss,2.0,ug/cm2,6.0,hours,,,,6.0,pending,,,[],2,0,text,html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": ""Focus on the interaction between ibuprofen and MIL-88B(Fe) including loading capacity."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [""block 510""], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 60"", ""block 84"", ""block 101"", ""block 115"", ""block 239"", ""block 240"", ""block 363"", ""block 408"", ""block 415"", ""block 437"", ""block 465"", ""block 508"", ""block 509"", ""block 510"", ""block 511"", ""block 512"", ""block 713"", ""block 754"", ""block 755"", ""block 769""], ""table_hint"": """", ""score_debug"": {""block 1"": 0, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 60"": 2, ""block 84"": 4, ""block 101"": 4, ""block 115"": 4, ""block 239"": 3, ""block 240"": 2, ""block 363"": 4, ""block 408"": 2, ""block 415"": 3, ""block 437"": 2, ""block 465"": 4, ""block 508"": 0, ""block 509"": 0, ""block 510"": 0, ""block 511"": 1, ""block 512"": 0, ""block 713"": 1, ""block 754"": 1, ""block 755"": 1, ""block 769"": 1}}}","[{""field_name"": ""Surface Loading Capacity"", ""modality"": ""text"", ""locator"": ""block 510"", ""page"": null, ""bbox"": null, ""snippet"": ""loading capacity for such MIL-88B(Fe) film was about 8.7 % with ibuprofen."", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""confidence"": 0.9}, {""field_name"": ""Release Amount"", ""modality"": ""text"", ""locator"": ""block 415"", ""page"": null, ""bbox"": null, ""snippet"": ""approximately 2 ug/cm 2 after 6 hr, shown in Fig. 5."", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""confidence"": 0.9}]",[],[]
record_233344baa06d,paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,text,0.5700000000000001,0.85,,IVPT,Franz diffusion cell,MIL-88B(Fe),text_2,ibuprofen,,,,8.7%,Thin film,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8.7%"", ""note"": """"}]",flux,flux,2.0,ug/cm2,6.0,hours,,,,6.0,pending,,,[],1,0,text,html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": ""Focus on the interaction between ibuprofen and MIL-88B(Fe) including loading capacity."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [""block 510""], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 60"", ""block 84"", ""block 101"", ""block 115"", ""block 239"", ""block 240"", ""block 363"", ""block 408"", ""block 415"", ""block 437"", ""block 465"", ""block 508"", ""block 509"", ""block 510"", ""block 511"", ""block 512"", ""block 713"", ""block 754"", ""block 755"", ""block 769""], ""table_hint"": """", ""score_debug"": {""block 1"": 0, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 60"": 2, ""block 84"": 4, ""block 101"": 4, ""block 115"": 4, ""block 239"": 3, ""block 240"": 2, ""block 363"": 4, ""block 408"": 2, ""block 415"": 3, ""block 437"": 2, ""block 465"": 4, ""block 508"": 0, ""block 509"": 0, ""block 510"": 0, ""block 511"": 1, ""block 512"": 0, ""block 713"": 1, ""block 754"": 1, ""block 755"": 1, ""block 769"": 1}}}","[{""field_name"": ""Degradation Ratio"", ""modality"": ""text"", ""locator"": ""block 437"", ""page"": null, ""bbox"": null, ""snippet"": ""confirm the ratio between ibuprofen released and MIL-88B degradation."", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""confidence"": 0.85}]",[],[]
record_e058c87cb94e,paper_c686cf1d6d2f,10.1038/nature18615,text,0.5700000000000001,0.8,,IVPT,Franz diffusion cell,GP (glycoprotein),text_1,ibuprofen,,,,less potent inhibitor,ibuprofen,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""undefined"", ""note"": """"}]",Jss,jss,,null,,null,,,,,pending,,,[],1,0,text,html,https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 11"", ""block 36"", ""block 50"", ""block 51""], ""table_hint"": """", ""score_debug"": {""block 1"": 0, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 11"": 4, ""block 36"": 4, ""block 50"": 4, ""block 51"": 4}}}","[{""field_name"": ""binding site"", ""modality"": ""text"", ""locator"": ""block 11"", ""page"": null, ""bbox"": null, ""snippet"": ""Unexpectedly, both toremifene and ibuprofen bind in a cavity between the attachment (GP1) and fusion (GP2) subunits..."", ""source_ref"": ""https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968"", ""confidence"": 0.8}]",[],"[""Ibuprofen is noted as a less potent inhibitor compared to toremifene.""]"
record_890157d85118,paper_c614a40d430f,10.1123/ijspp.2016-0382,mixed,0.69,0.9,,IVPT,Franz diffusion cell,uncertain,text_1,ibuprofen,,,,400mg,tablet,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""400mg"", ""note"": """"}, {""name"": ""acetaminophen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""1000mg"", ""note"": """"}]",Jss,jss,0.002,°C,,NA,,,,,pending,,,[],1,0,text,pdf,papers\pdf\10.1123_ijspp.2016-0382__60e1a4e580.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14], ""route_label"": ""mixed"", ""route_notes"": ""Study investigates the impact of ibuprofen on core body temperature during exercise; findings relevant for understanding effects of COX inhibitors."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 6""], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 12"", ""page 13"", ""page 14""], ""table_hint"": """", ""score_debug"": {""page 1"": 5, ""page 2"": 3, ""page 3"": 8, ""page 4"": 6, ""page 5"": 8, ""page 6"": 8, ""page 7"": 2, ""page 8"": 9, ""page 9"": 2, ""page 10"": 3, ""page 12"": 1, ""page 13"": 8, ""page 14"": 4}}}","[{""field_name"": ""Core Body Temperature"", ""modality"": ""text"", ""locator"": ""page 6"", ""page"": 6, ""bbox"": null, ""snippet"": ""Maximum TC was significantly lower in the IBU/APAP condition compared to the CTRL condition (IBU/APAP 38.8±0.4°C versus CTRL 39.2±0.5°C; p=0.02)"", ""source_ref"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""confidence"": 0.9}]",[],"[""Combined COX inhibition resulted in lower peak temperature.""]"
record_3b741f309f05,paper_c614a40d430f,10.1123/ijspp.2016-0382,mixed,0.69,0.85,,IVRT,Franz diffusion cell,uncertain,text_2,ibuprofen,,,,400mg,tablet,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""400mg"", ""note"": """"}, {""name"": ""acetaminophen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""1000mg"", ""note"": """"}]",flux,flux,0.8,mg/cm²,60.0,min,,,,1.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1123_ijspp.2016-0382__60e1a4e580.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14], ""route_label"": ""mixed"", ""route_notes"": ""Study investigates the impact of ibuprofen on core body temperature during exercise; findings relevant for understanding effects of COX inhibitors."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 6""], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 12"", ""page 13"", ""page 14""], ""table_hint"": """", ""score_debug"": {""page 1"": 5, ""page 2"": 3, ""page 3"": 8, ""page 4"": 6, ""page 5"": 8, ""page 6"": 8, ""page 7"": 2, ""page 8"": 9, ""page 9"": 2, ""page 10"": 3, ""page 12"": 1, ""page 13"": 8, ""page 14"": 4}}}","[{""field_name"": ""Delta Core Body Temperature"", ""modality"": ""text"", ""locator"": ""page 6"", ""page"": 6, ""bbox"": null, ""snippet"": ""A lower ΔTC was observed in the IBU/APAP condition versus the CTRL condition (IBU/APAP 1.7±0.3°C versus CTRL 2.0±0.5°C; p=0.042)"", ""source_ref"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""confidence"": 0.85}]",[],"[""Significant reduction in temperature rise with COX inhibition.""]"
record_d68e5f26b10a,paper_cbd324d8519e,10.1208/pt0803052,text,0.5700000000000001,0.95,,IVPT,Franz diffusion cell,human skin,text_1,ibuprofen,,,,unknown,multiparticulates,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""50%"", ""note"": """"}]",Jss,jss,0.1,mg/cm²/h,1.0,h,,,2.5,1.0,pending,,,[],1,0,text,html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2750548/?tool=EBI,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2750548/?tool=EBI"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 13"", ""block 17"", ""block 41"", ""block 47"", ""block 53"", ""block 54"", ""block 58""], ""table_hint"": """", ""score_debug"": {""block 1"": 1, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 13"": 1, ""block 17"": 1, ""block 41"": 3, ""block 47"": 4, ""block 53"": 1, ""block 54"": 1, ""block 58"": 1}}}","[{""field_name"": ""Method Comparison"", ""modality"": ""text"", ""locator"": ""block 41"", ""page"": null, ""bbox"": null, ""snippet"": ""The dissolution profiles obtained by FOPS were more accurate with lower and consistent %RSD as compared with the HPLC method."", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2750548/?tool=EBI"", ""confidence"": 0.95}]",[],"[""In situ fiber-optic method used for accurate dissolution profile.""]"
record_e0ff8cc0c45a,paper_cbd324d8519e,10.1208/pt0803052,text,0.5700000000000001,0.9,,IVRT,Franz diffusion cell,polyethylene membrane,text_2,ibuprofen,,,,unknown,multiparticulates,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""30%"", ""note"": """"}]",Q_final,amount_total,150.0,µg,24.0,h,75.0,ug/cm^2,2.0,24.0,pending,,,[],1,0,text,html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2750548/?tool=EBI,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2750548/?tool=EBI"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 13"", ""block 17"", ""block 41"", ""block 47"", ""block 53"", ""block 54"", ""block 58""], ""table_hint"": """", ""score_debug"": {""block 1"": 1, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 13"": 1, ""block 17"": 1, ""block 41"": 3, ""block 47"": 4, ""block 53"": 1, ""block 54"": 1, ""block 58"": 1}}}","[{""field_name"": ""Dissolution Profile"", ""modality"": ""text"", ""locator"": ""block 41"", ""page"": null, ""bbox"": null, ""snippet"": ""The FOPS method was faster and less labor intensive."", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2750548/?tool=EBI"", ""confidence"": 0.9}]",[],"[""Evaluated for immediate-release formulations."", ""needs_supp=yes""]"
record_f1bd4b546c11,paper_b08f9feea7fa,10.1208/s12249-015-0474-y,mixed,0.81,0.95,,IVPT,Franz diffusion cell,rabbit abdominal skin,text_1,ibuprofen,,,,1.52 ± 0.08,skin permeation study,"[{""name"": ""Escitalopram-ibuprofen complex"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""Concentration not specified"", ""note"": """"}]",Jss,jss,113.09,μg/(cm2 h),,,,,0.95,,pending,,,[],0,0,text,pdf,papers\pdf\10.1208_s12249-015-0474-y__61badac756.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7], ""route_label"": ""mixed"", ""route_notes"": ""The study investigates the skin permeation of Espitalopram (ESP) ion-pairs with various organic acids, highlighting the role of ibuprofen as a counter-ion in the formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7""], ""table_hint"": """", ""score_debug"": {""page 1"": 16, ""page 2"": 4, ""page 3"": 15, ""page 4"": 10, ""page 5"": 10, ""page 6"": 10, ""page 7"": 13}}}",[],[],"[""Flux for ibuprofen complex was lower than benzoic acid.""]"
