stage,bucket,count
access_status,downloaded,227
access_status,error,1
access_status,resolved,79
access_status,unresolved,227
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,content_appears_non_extractable_requires_further_review_of_the_full_document,1
route_unresolved_reason,content_appears_primarily_as_introductory_text_and_navigation_details,1
route_unresolved_reason,content_does_not_have_relevant_information_for_ibuprofen_or_diffusion_studies,1
route_unresolved_reason,content_does_not_provide_specific_extractable_evidence_regarding_diffusion_cells,1
route_unresolved_reason,content_from_pdf_not_fully_available_for_detailed_extraction,1
route_unresolved_reason,content_not_available_for_extraction,1
route_unresolved_reason,content_primarily_contains_navigation_and_tool_information_no_extractable_eviden,1
route_unresolved_reason,content_primarily_includes_clinical_monitoring_and_innovation_in_transdermal_del,1
route_unresolved_reason,document_appears_to_be_partially_processed_relevant_content_is_not_visible,1
route_unresolved_reason,document_contains_no_explicit_evidence_regarding_ibuprofen_dermal_formulation,1
route_unresolved_reason,document_content_is_primarily_about_the_effects_of_ibuprofen_on_red_blood_cells_,1
route_unresolved_reason,document_does_not_contain_relevant_data_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,document_does_not_provide_extractable_evidence_related_to_ibuprofen,1
route_unresolved_reason,document_fragments_do_not_provide_the_necessary_details_for_extraction,1
route_unresolved_reason,document_lacks_substantial_details_for_extraction,1
route_unresolved_reason,document_pages_do_not_contain_relevant_experimental_or_formulation_data,1
route_unresolved_reason,document_primarily_discusses_the_effects_of_endotoxin_on_cgrp_release_without_sp,1
route_unresolved_reason,document_seems_to_contain_administrative_content_and_lacks_relevant_scientific_d,1
route_unresolved_reason,evidence_extraction_cannot_be_performed_due_to_lack_of_content,1
route_unresolved_reason,evidence_extraction_cannot_be_performed_due_to_lack_of_specific_content_in_the_d,1
route_unresolved_reason,evidence_extraction_not_applicable_as_no_extractable_evidence_available,1
route_unresolved_reason,evidence_extraction_not_feasible_from_provided_text_content_primarily_consists_o,1
route_unresolved_reason,extractable_evidence_is_not_present_in_the_provided_document_text,1
route_unresolved_reason,extractable_evidence_not_clearly_defined_in_the_text_provided,1
route_unresolved_reason,focus_is_primarily_on_pharmacological_influence_and_safety_of_ibuprofen_in_relat,1
route_unresolved_reason,focus_on_ibuprofen_transmembrane_diffusion_using_franz_diffusion_cells,1
route_unresolved_reason,focus_on_in_vitro_microbiological_and_drug_release_aspects,1
route_unresolved_reason,focused_on_metal_organic_frameworks_for_dermal_application_details_on_specific_f,1
route_unresolved_reason,full_content_from_the_document_is_necessary_to_extract_specific_evidence,1
route_unresolved_reason,info_about_formulation_parameters_and_permeation_but_specific_details_on_extract,1
route_unresolved_reason,initial_findings_from_a_clinical_investigation_are_likely_to_contain_relevant_de,1
route_unresolved_reason,initial_pages_do_not_contain_relevant_data_further_pages_may_be_needed_for_extra,1
route_unresolved_reason,initial_pages_do_not_contain_relevant_evidence,1
route_unresolved_reason,insufficient_content_in_provided_document_text_for_detailed_extraction,1
route_unresolved_reason,insufficient_evidence_present_in_the_document_for_extraction,1
route_unresolved_reason,insufficient_extractable_evidence_from_the_given_document_segments,1
route_unresolved_reason,insufficient_information_available_for_detailed_routes,1
route_unresolved_reason,insufficient_information_for_detailed_extraction,1
route_unresolved_reason,insufficient_information_from_the_provided_text,1
route_unresolved_reason,insufficient_information_in_the_document,1
route_unresolved_reason,insufficient_information_in_the_text_to_extract_relevant_details_regarding_ibupr,1
route_unresolved_reason,insufficient_information_to_determine_extraction_route_based_on_the_provided_doc,1
route_unresolved_reason,insufficient_information_to_extract_relevant_evidence_regarding_ibuprofen_or_its,1
route_unresolved_reason,limited_detail_in_extraction_due_to_partial_content,1
route_unresolved_reason,limited_information_available_to_determine_specific_extraction_routes,1
route_unresolved_reason,missing_structured_and_pdf_router_source,237
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,63
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_connectionerror,1
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,3
route_unresolved_reason,more_evidence_needed_from_the_document_for_precise_extraction,1
route_unresolved_reason,no_clear_evidence_regarding_ibuprofen_or_diffusion_cell_additional_context_neede,1
route_unresolved_reason,no_clear_extractable_evidence_location_identified,1
route_unresolved_reason,no_evidence_extractable_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_extractable_content_found_in_the_document,1
route_unresolved_reason,no_extractable_evidence_available_from_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found,1
route_unresolved_reason,no_extractable_evidence_found_in_the_document_provided,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document_content,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,2
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_or_dermal_formulations_found,1
route_unresolved_reason,no_relevant_content_detected_regarding_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_content_for_ibuprofen_or_diffusion_cell_information,1
route_unresolved_reason,no_relevant_content_identifiable_from_the_provided_text_for_extraction,1
route_unresolved_reason,no_relevant_data_found_about_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_data_on_ibuprofen_or_diffusion_methods_found_in_pages_provided,1
route_unresolved_reason,no_relevant_data_on_ibuprofen_or_formulations_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_extracted_regarding_ibuprofen_or_diffusion_cells_from_the_p,1
route_unresolved_reason,no_relevant_evidence_for_ibuprofen_dermal_formulation_extraction_found_in_the_pr,1
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_found_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_evidence_regarding_ibuprofen_or_diffusion_cells_found_in_the_documen,1
route_unresolved_reason,no_relevant_evidence_regarding_ibuprofen_or_diffusion_cells_was_found_in_the_pro,1
route_unresolved_reason,no_relevant_extractable_evidence_apparent_from_the_provided_text,1
route_unresolved_reason,no_relevant_extraction_points_identified_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_information_extracted,1
route_unresolved_reason,no_relevant_information_for_ibuprofen_dermal_formulation_extraction,1
route_unresolved_reason,no_relevant_information_found_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_information_found_regarding_ibuprofen_or_diffusion_methods,1
route_unresolved_reason,no_relevant_information_is_extracted_from_the_initial_pages_of_the_document,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_diffusion_cells_extracted_from_the_docum,1
route_unresolved_reason,no_relevant_information_related_to_ibuprofen_or_diffusion_cells_found,1
route_unresolved_reason,no_specific_evidence_extractable_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_specific_information_on_ibuprofen_or_diffusion_cells_present_in_the_text,1
route_unresolved_reason,no_specific_structured_evidence_is_provided_in_the_document,1
route_unresolved_reason,no_structured_evidence_extracted_from_the_content_provided,1
route_unresolved_reason,paper_discusses_chronotherapeutic_drug_delivery_and_mentions_ibuprofen_but_lacks,1
route_unresolved_reason,paper_discusses_ibuprofen_functionalized_membranes_evidence_extraction_routes_ma,1
route_unresolved_reason,paper_focuses_on_antibacterial_activities_and_does_not_involve_ibuprofen_or_derm,1
route_unresolved_reason,paper_focuses_primarily_on_biodegradation_of_nsaids_including_ibuprofen_in_envir,1
route_unresolved_reason,relevant_evidence_regarding_ibuprofen_formulation_is_likely_present_but_not_extr,1
route_unresolved_reason,source_document_lacks_visible_content_or_structured_data_for_meaningful_extracti,1
