stage,bucket,count
figure_stage,digitized_curves,27
figure_stage,digitized_endpoints_failed,1
figure_stage,digitized_endpoints_ok,27
figure_stage,mapped_curves,26
figure_stage,triage_artifacts,19
figure_stage,triage_digitize_candidates,17
figure_stage,unmapped_curves,1
figure_gate,skipped:missing_explicit_figure_signal,8
figure_gate,routed_candidates,28
figure_gate,after_gate,20
figure_triage_route,digitize,17
figure_triage_route,skip,1
figure_triage_route,text_table_maybe,1
figure_triage_signal,digitizable:no,2
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,recommended_route:skip,1
figure_triage_signal,recommended_route:text_table_maybe,1
figure_triage_signal,ticks_readable:no,2
figure_triage_signal,ticks_readable:uncertain,1
figure_triage_signal,why_not_digitizable:no_curves_or_endpoints_present_in_the_image,1
figure_triage_signal,why_not_digitizable:no_discernible_endpoint_curves_for_digitization,1
figure_digitization_status,fail_missing_axis_range,1
figure_digitization_status,ok,27
figure_digitization_failure,fail_missing_axis_range,1
figure_mapping_status,unmapped,1
figure_mapping_status,vision_mapped,26
figure_mapping_failure,ambiguity_in_endpoint_suggests_it_may_not_correspond_to_either_formulation_requi,1
verification_route:figure,figure_digitization_failed,8
verification_route:figure,insufficient_evidence,6
verification_route:figure,missing_area,33
verification_route:figure,missing_endpoint,3
verification_route:figure,missing_endpoint_time,1
verification_route:figure,not_target_api,3
verification_route:figure,not_target_device,15
verification_route:figure,not_target_study_type,9
verification_route:figure,percent_only,3
verification_route:figure,unit_normalization_failed,4
verification_route:mixed,figure_digitization_failed,1
verification_route:mixed,insufficient_evidence,3
verification_route:mixed,missing_api_concentration,8
verification_route:mixed,missing_area,5
verification_route:mixed,missing_endpoint,3
verification_route:mixed,not_target_api,7
verification_route:mixed,not_target_device,11
verification_route:mixed,not_target_study_type,3
verification_route:mixed,percent_only,1
verification_route:table,missing_area,2
verification_route:table,not_target_api,1
verification_route:table,not_target_device,6
verification_route:table,not_target_study_type,1
verification_route:table,percent_only,3
verification_route:text,insufficient_evidence,3
verification_route:text,missing_area,1
verification_route:text,not_target_device,4
