route,count,module,verification_status,failure_code,patcher
figure,18,,,,
mixed,10,,,,
table,9,,,,
text,9,,,,
unresolved,488,,,,
,22,figure,,,
,61,table,,,
,13,text,,,
,39,,rejected,,
,38,,unresolved,,
,13,,verified,,
,9,,,figure_digitization_failed,
,12,,,insufficient_evidence,
,8,,,missing_api_concentration,
,41,,,missing_area,
,6,,,missing_endpoint,
,1,,,missing_endpoint_time,
,11,,,not_target_api,
,36,,,not_target_device,
,13,,,not_target_study_type,
,7,,,percent_only,
,4,,,unit_normalization_failed,
,2,,,,patch_api_concentration
,2,,,,patch_area
,27,,,,patch_endpoint_time
,15,,,,patch_endpoint_value
