paper_id,doi,title,route,route_confidence,endpoint_carrier,formulation_carrier,anchor_evidence,notes,raw_labels
paper_0a6d64ed678d,,Subcellular actions of non-steroidal anti-inflammatory drugs : lysosome and prostaglandin studies,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Subcellular actions of non-steroidal anti-inflammatory drugs : lysosome and prostaglandin studies', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,Topical administration of racemic ibuprofen.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Topical administration of racemic ibuprofen.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,table,0.69,table_text,table_text,"[{'field_name': 'endpoint', 'modality': 'table', 'locator': 'Results section', 'page': None, 'bbox': None, 'snippet': 'Analysis 2.1. Comparison 2 Ibuprofen foam dressing compared with foam dressing alone, Outcome 1 Number participants experiencing pain relief on the first evening of treatment.', 'source_ref': '10.1002/14651858.cd001177.pub2', 'confidence': 0.8}, {'field_name': 'formulation', 'modality': 'table', 'locator': 'table_text', 'page': None, 'bbox': None, 'snippet': 'Analysis 1.1. Comparison 1 EMLA compared with placebo or no anaesthesia, Outcome 1 Pain score at debridement.', 'source_ref': '10.1002/14651858.cd001177.pub2', 'confidence': 0.7}]","The review discusses multiple analyses of ibuprofen foam dressings versus other treatments, providing clear endpoints and outcomes related to pain relief.","{'paper_type': 'review', 'mentions_ibuprofen': 'yes', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'both', 'barrier_category': 'both', 'barrier_name_raw': 'venous leg ulcers', 'endpoint_found': 'yes', 'endpoint_time_found': 'yes', 'where_endpoint': 'Results section', 'endpoint_carrier': 'table_text', 'endpoint_carrier_snippet': 'Analysis 2.1. Comparison 2 Ibuprofen foam dressing compared with foam dressing alone, Outcome 1 Number participants experiencing pain relief on the first evening of treatment.', 'formulation_carrier': 'table_text', 'formulation_carrier_snippet': 'Analysis 1.1. Comparison 1 EMLA compared with placebo or no anaesthesia, Outcome 1 Pain score at debridement.', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'no', 'notes': 'The review discusses multiple analyses of ibuprofen foam dressings versus other treatments, providing clear endpoints and outcomes related to pain relief.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf', 'router_source_diagnostics': [], 'router_heuristic_signals': {}}"
paper_92afc39ccd63,10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,unresolved,0.0,unknown,unknown,[],,"{'paper_type': 'other', 'mentions_ibuprofen': 'no', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'uncertain', 'barrier_category': 'uncertain', 'barrier_name_raw': '', 'endpoint_found': 'no', 'endpoint_time_found': 'no', 'where_endpoint': '', 'endpoint_carrier': 'unknown', 'endpoint_carrier_snippet': '', 'formulation_carrier': 'unknown', 'formulation_carrier_snippet': '', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'uncertain', 'notes': '', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_14651858.cd001177.pub3__a6c5e430fc.pdf', 'router_source_diagnostics': ['blocked:html_remote:captcha'], 'router_heuristic_signals': {'table_hits': 0, 'figure_hits': 0, 'endpoint_hits': 0, 'formulation_hits': 0}}"
paper_244198a8d171,10.1002/adhm.201600591,Magnetically Controlled Drug Release System through Magnetomechanical Actuation.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Magnetically Controlled Drug Release System through Magnetomechanical Actuation.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_b0c15dc016b9,10.1002/advs.202510976,Nanogel Integrated Zwitterionic Injectable Hydrogel with Sequential Drug-Releasing Capability for the Programmable Repair of Spinal Cord Injury.,unresolved,0.2,unknown,unknown,"[{'field_name': 'device', 'modality': 'text', 'locator': 'unknown', 'page': None, 'bbox': None, 'snippet': 'unknown', 'source_ref': '10.1002/advs.202510976', 'confidence': 0.7}, {'field_name': 'endpoint', 'modality': 'metadata', 'locator': 'unknown', 'page': None, 'bbox': None, 'snippet': 'unknown', 'source_ref': '10.1002/advs.202510976', 'confidence': 0.8}, {'field_name': 'formulation', 'modality': 'metadata', 'locator': 'unknown', 'page': None, 'bbox': None, 'snippet': 'unknown', 'source_ref': '10.1002/advs.202510976', 'confidence': 0.7}]",The content does not provide relevant information for the extraction related to ibuprofen dermal formulations.,"{'paper_type': 'other', 'mentions_ibuprofen': 'no', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': 'unknown', 'where_franz': 'unknown', 'study_type': 'uncertain', 'barrier_category': 'uncertain', 'barrier_name_raw': 'unknown', 'endpoint_found': 'no', 'endpoint_time_found': 'no', 'where_endpoint': 'unknown', 'endpoint_carrier': 'unknown', 'endpoint_carrier_snippet': 'unknown', 'formulation_carrier': 'unknown', 'formulation_carrier_snippet': 'unknown', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'no', 'notes': 'The content does not provide relevant information for the extraction related to ibuprofen dermal formulations.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_advs.202510976__9e81eb0534.pdf', 'router_source_diagnostics': ['blocked:html_remote:captcha'], 'router_heuristic_signals': {'table_hits': 0, 'figure_hits': 0, 'endpoint_hits': 0, 'formulation_hits': 0}}"
paper_fd72d2eca67a,10.1002/ardp.201300279,Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_5bf9e3e37e6c,10.1002/bdd.631,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Skin disposition of menthol after its application in the presence of drug substances.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_69ea1a42d71b,10.1002/bmc.1365,Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_58f3f695a704,10.1002/chem.201600105,Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
