stage,bucket,count
access_status,downloaded,219
access_status,error,1
access_status,resolved,92
access_status,unresolved,231
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,content_does_not_provide_evidence_related_to_ibuprofen_diffusion_cells_or_any_re,1
route_unresolved_reason,content_does_not_provide_extractable_evidence_about_the_study,1
route_unresolved_reason,content_does_not_provide_extractable_evidence_related_to_ibuprofen_or_diffusion_,1
route_unresolved_reason,content_from_the_document_is_limited_and_does_not_provide_explicit_evidence_for_,1
route_unresolved_reason,content_primarily_about_conjugated_drugs_and_cytotoxicity_no_mention_of_ibuprofe,1
route_unresolved_reason,content_provided_does_not_include_extractable_evidence,1
route_unresolved_reason,document_appears_incomplete_or_without_relevant_content,1
route_unresolved_reason,document_content_is_insufficient_for_detailed_extraction,1
route_unresolved_reason,document_content_is_insufficient_to_extract_detailed_evidence,1
route_unresolved_reason,document_content_provided_does_not_contain_extractable_evidence_related_to_ibupr,1
route_unresolved_reason,document_contents_suggest_potential_but_lack_clear_extractable_structured_eviden,1
route_unresolved_reason,document_does_not_appear_to_contain_relevant_information_related_to_ibuprofen_or,1
route_unresolved_reason,document_only_contains_front_matter_and_no_relevant_information,1
route_unresolved_reason,document_only_has_metadata_and_no_content_relevant_to_extraction,1
route_unresolved_reason,document_structure_primarily_consists_of_navigation_elements_and_does_not_provid,1
route_unresolved_reason,evidence_cannot_be_extracted_based_on_the_provided_text,1
route_unresolved_reason,evidence_extraction_from_this_document_is_limited_due_to_the_lack_of_accessible_,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_insufficient_specific_information_regardin,1
route_unresolved_reason,evidence_extraction_not_clear_due_to_lack_of_accessible_content,1
route_unresolved_reason,extractable_evidence_is_likely_to_be_found_in_the_clinical_study_outcomes_or_fin,1
route_unresolved_reason,extractable_evidence_is_unclear_from_the_document,1
route_unresolved_reason,extraction_evidence_is_limited_due_to_the_provided_document_not_containing_subst,1
route_unresolved_reason,focus_on_sections_discussing_interactions_between_mil_88b_fe_and_ibuprofen_espec,1
route_unresolved_reason,further_details_are_needed_for_precise_extraction,1
route_unresolved_reason,further_extraction_information_not_available_in_the_text,1
route_unresolved_reason,initial_pages_do_not_contain_relevant_extraction_points,1
route_unresolved_reason,insufficient_detail_to_determine_extraction_routes,1
route_unresolved_reason,insufficient_evidence_available_in_the_document_to_determine_key_details,1
route_unresolved_reason,insufficient_information_available,1
route_unresolved_reason,insufficient_information_from_the_provided_document,1
route_unresolved_reason,insufficient_information_in_provided_text_to_determine_extraction_details,1
route_unresolved_reason,insufficient_information_in_the_provided_document,1
route_unresolved_reason,insufficient_information_to_extract_relevant_evidence_regarding_ibuprofen_dermal,1
route_unresolved_reason,insufficient_information_to_identify_specific_data_extraction_points,1
route_unresolved_reason,missing_structured_and_pdf_router_source,244
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,72
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_connectionerror,1
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,3
route_unresolved_reason,need_more_details_for_specific_extraction,1
route_unresolved_reason,no_actionable_evidence_found_in_provided_text,1
route_unresolved_reason,no_clear_endpoints_or_formulations_found_in_the_provided_pages,1
route_unresolved_reason,no_detailed_data_available_in_the_provided_text,1
route_unresolved_reason,no_detailed_information_provided_about_formulations_or_endpoints,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_dermal_formulation_present_in_the_extracted_,1
route_unresolved_reason,no_explicit_evidence_extraction_routes_available_in_the_supplied_text,1
route_unresolved_reason,no_extractable_content_was_found_in_the_provided_document_segments,1
route_unresolved_reason,no_extractable_evidence_appearing_in_the_provided_pages,1
route_unresolved_reason,no_extractable_evidence_found,1
route_unresolved_reason,no_extractable_evidence_found_in_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_content,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document,2
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_pages,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,2
route_unresolved_reason,no_extractable_evidence_found_on_this_page,1
route_unresolved_reason,no_extractable_evidence_located_in_the_provided_content,1
route_unresolved_reason,no_mention_of_ibuprofen_or_diffusion_testing,1
route_unresolved_reason,no_relevant_content_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_content_regarding_ibuprofen_or_dermal_formulations_was_found,1
route_unresolved_reason,no_relevant_content_related_to_ibuprofen_or_diffusion_cells_detected,1
route_unresolved_reason,no_relevant_evidence_extracted_related_to_ibuprofen_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_found_related_to_ibuprofen_or_dermal_formulation,1
route_unresolved_reason,no_relevant_evidence_was_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_extractable_evidence_available_in_the_provided_text,1
route_unresolved_reason,no_relevant_extractable_evidence_concerning_ibuprofen_or_diffusion_cells_found_i,1
route_unresolved_reason,no_relevant_extraction_data_found_in_provided_text,1
route_unresolved_reason,no_relevant_extraction_data_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_extraction_data_present,1
route_unresolved_reason,no_relevant_extraction_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_extraction_information_available,1
route_unresolved_reason,no_relevant_extraction_routes_identified_related_to_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_information_about_ibuprofen_or_related_dermal_formulations_extracted,1
