route,count,module,verification_status,scope_bucket,failure_code,patcher
figure,15,,,,,
mixed,4,,,,,
table,14,,,,,
text,18,,,,,
unresolved,492,,,,,
,27,figure,,,,
,52,table,,,,
,15,text,,,,
,26,,rejected,,,
,60,,unresolved,,,
,2,,verified,,,
,12,,,out_of_scope,,
,55,,,recoverable_unresolved,,
,2,,,strict_in_scope,,
,19,,,useful_but_out_of_scope,,
,39,,,,ambiguous_api_concentration,
,2,,,,figure_digitization_failed,
,55,,,,insufficient_evidence,
,2,,,,missing_api_concentration,
,9,,,,missing_area,
,3,,,,missing_endpoint,
,3,,,,missing_endpoint_time,
,12,,,,not_target_api,
,15,,,,not_target_api_concentration,
,19,,,,not_target_device,
,4,,,,not_target_study_type,
,6,,,,percent_only,
,7,,,,unit_normalization_failed,
,5,,,,,patch_api_concentration
,12,,,,,patch_area
,24,,,,,patch_endpoint_time
,37,,,,,patch_endpoint_value
