module,metric,count
detection.router,api_failures,0
detection.router,attempt_failures,0
detection.router,auth_failures,0
detection.router,final_failures,0
detection.router,malformed_output_failures,0
detection.router,other_failures,0
detection.router,rate_limit_failures,0
detection.router,requests,230
detection.router,retried_requests,0
detection.router,retries_attempted,0
detection.router,retry_successes,0
detection.router,schema_validation_failures,0
detection.router,timeout_failures,0
detection.router,transport_failures,0
extractors.figure.map_curves,api_failures,0
extractors.figure.map_curves,attempt_failures,0
extractors.figure.map_curves,auth_failures,0
extractors.figure.map_curves,final_failures,0
extractors.figure.map_curves,malformed_output_failures,0
extractors.figure.map_curves,other_failures,0
extractors.figure.map_curves,rate_limit_failures,0
extractors.figure.map_curves,requests,10
extractors.figure.map_curves,retried_requests,0
extractors.figure.map_curves,retries_attempted,0
extractors.figure.map_curves,retry_successes,0
extractors.figure.map_curves,schema_validation_failures,0
extractors.figure.map_curves,timeout_failures,0
extractors.figure.map_curves,transport_failures,0
extractors.figure.triage,api_failures,0
extractors.figure.triage,attempt_failures,0
extractors.figure.triage,auth_failures,0
extractors.figure.triage,final_failures,0
extractors.figure.triage,malformed_output_failures,0
extractors.figure.triage,other_failures,0
extractors.figure.triage,rate_limit_failures,0
extractors.figure.triage,requests,18
extractors.figure.triage,retried_requests,0
extractors.figure.triage,retries_attempted,0
extractors.figure.triage,retry_successes,0
extractors.figure.triage,schema_validation_failures,0
extractors.figure.triage,timeout_failures,0
extractors.figure.triage,transport_failures,0
extractors.table,api_failures,0
extractors.table,attempt_failures,0
extractors.table,auth_failures,0
extractors.table,final_failures,0
extractors.table,malformed_output_failures,0
extractors.table,other_failures,0
extractors.table,rate_limit_failures,0
extractors.table,requests,46
extractors.table,retried_requests,0
extractors.table,retries_attempted,0
extractors.table,retry_successes,0
extractors.table,schema_validation_failures,0
extractors.table,timeout_failures,0
extractors.table,transport_failures,0
extractors.text,api_failures,0
extractors.text,attempt_failures,0
extractors.text,auth_failures,0
extractors.text,final_failures,0
extractors.text,malformed_output_failures,0
extractors.text,other_failures,0
extractors.text,rate_limit_failures,0
extractors.text,requests,14
extractors.text,retried_requests,0
extractors.text,retries_attempted,0
extractors.text,retry_successes,0
extractors.text,schema_validation_failures,0
extractors.text,timeout_failures,0
extractors.text,transport_failures,0
triage.llm_triage,api_failures,0
triage.llm_triage,attempt_failures,0
triage.llm_triage,auth_failures,0
triage.llm_triage,final_failures,0
triage.llm_triage,malformed_output_failures,0
triage.llm_triage,other_failures,0
triage.llm_triage,rate_limit_failures,0
triage.llm_triage,requests,749
triage.llm_triage,retried_requests,0
triage.llm_triage,retries_attempted,0
triage.llm_triage,retry_successes,0
triage.llm_triage,schema_validation_failures,0
triage.llm_triage,timeout_failures,0
triage.llm_triage,transport_failures,0
verification.llm_adjudicate,api_failures,0
verification.llm_adjudicate,attempt_failures,0
verification.llm_adjudicate,auth_failures,0
verification.llm_adjudicate,final_failures,0
verification.llm_adjudicate,malformed_output_failures,0
verification.llm_adjudicate,other_failures,0
verification.llm_adjudicate,rate_limit_failures,0
verification.llm_adjudicate,requests,14
verification.llm_adjudicate,retried_requests,0
verification.llm_adjudicate,retries_attempted,0
verification.llm_adjudicate,retry_successes,0
verification.llm_adjudicate,schema_validation_failures,0
verification.llm_adjudicate,timeout_failures,0
verification.llm_adjudicate,transport_failures,0
