record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,receptor_volume_ml,duration_h,verification_status,scope_bucket,scope_tags_json,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_ad27c13dbfc5,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,table,0.81,0.95,,IVRT,diffusion cell,venous leg ulcers,Ibuprofen Foam Dressing,Ibuprofen,0.5,mg/cm²,homogeneously dispersed,0.5 mg/cm²,Foam dressing,[],amount,unknown,1.63,risk ratio,7.0,days,,,,,168.0,pending,unknown,[],,,[],2,0,table,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [3, 14, 17, 26, 47], ""route_label"": ""table"", ""route_notes"": ""The review summarizes the efficacy of ibuprofen dressings for pain relief in venous leg ulcers, presenting findings in multiple analyses."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 3"", ""page 14"", ""page 17"", ""page 26"", ""page 47""], ""table_id"": ""Table 2"", ""row_source_pages"": [26], ""row_source_locators"": [""page 26""], ""score_debug"": {""page 3"": 1, ""page 14"": 1, ""page 17"": 1, ""page 26"": 1, ""page 47"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 26, ""bbox"": null, ""snippet"": ""Comparison 3 Ibuprofen foam dressing compared with local best practice, Outcome 1 Number participants reporting TOTPARD5>50%."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 26, ""bbox"": null, ""snippet"": ""Comparison 3 Ibuprofen foam dressing compared with local best practice, Outcome 1 Number participants reporting TOTPARD5>50%."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.95}]",[],"[""Study conducted to assess pain relief with Ibuprofen dressing.""]"
record_82af2f305077,paper_314ad560b37c,10.1007/s00253-023-12677-z,figure,0.69,0.9,,IVRT,diffusion cell,,MBR1 and MBR2,Ibuprofen,100.0,mg/L,Concentration,100 mg/L,Synthetic wastewater,"[{""name"": ""Ibuprofen"", ""concentration_value"": 100.0, ""concentration_unit"": ""mg/L"", ""basis"": ""Concentration"", ""raw"": """", ""note"": ""Removed 35-100% by MBRs""}]",amount,percent,100.0,%,3.0,weeks,,,,,,pending,unknown,[],,,[],2,0,table,pdf,papers\pdf\10.1007_s00253-023-12677-z__1200500844.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s00253-023-12677-z__1200500844.pdf"", ""source_pages"": [3, 4, 5, 6, 8], ""route_label"": ""figure"", ""route_notes"": ""The study explores the microbial degradation efficiency of a mix of pharmaceuticals, including ibuprofen, in membrane bioreactors."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 8""], ""table_id"": ""Table 2"", ""row_source_pages"": [3, 4, 5, 6, 8], ""row_source_locators"": [""page 4"", ""page 5"", ""page 6""], ""score_debug"": {""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 6"": 1, ""page 8"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 3, ""bbox"": null, ""snippet"": ""The removal efficiency of Ibuprofen in MBR1 was between 35-100% and in MBR2 ranged from 0 to 100%. Samples were taken once per week over 10 weeks."", ""source_ref"": ""papers\\pdf\\10.1007_s00253-023-12677-z__1200500844.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 3, ""bbox"": null, ""snippet"": ""The removal efficiency of Ibuprofen in MBR1 was between 35-100% and in MBR2 ranged from 0 to 100%. Samples were taken once per week over 10 weeks."", ""source_ref"": ""papers\\pdf\\10.1007_s00253-023-12677-z__1200500844.pdf"", ""confidence"": 0.9}]",[],"[""Variability in removal efficiency observed over time.""]"
record_64658d1c5051,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.95,,IVPT,diffusion cell,stratum corneum,Ibuprofen in 75:25 Propylene Glycol/Water Matrix,Ibuprofen,10.0,mg/ml,saturated solution,~10 mg/ml,Topical Solution,"[{""name"": ""Propylene Glycol"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""75:25 v/v"", ""raw"": """", ""note"": ""Cosolvent used in formulation""}, {""name"": ""Water"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""75:25 v/v"", ""raw"": """", ""note"": ""Cosolvent used in formulation""}]",amount,unknown,,,4.0,hours,,,,,4.0,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [5, 7, 8, 12, 21], ""route_label"": ""mixed"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 5"", ""page 7"", ""page 8"", ""page 12"", ""page 21""], ""table_id"": ""Table II"", ""row_source_pages"": [12], ""row_source_locators"": [""page 12""], ""score_debug"": {""page 5"": 1, ""page 7"": 1, ""page 8"": 1, ""page 12"": 1, ""page 21"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table II"", ""page"": 12, ""bbox"": null, ""snippet"": ""The total amount of ibuprofen (in µg/cm2) within the SC hardly changed at all during the 4 hours clearance period."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.95}]",[],"[""Results indicated that varying percentages of propylene glycol significantly affected drug availability.""]"
record_c774ad459207,paper_a47037272c43,10.1007/s11095-014-1318-2,mixed,0.69,0.9,,IVRT,diffusion cell,transdermal film,Duro-Tak 87-900A,Ibuprofen,22.5,% w/w,Nominal,> 22.5,Transdermal Film,"[{""name"": ""Ibuprofen"", ""concentration_value"": 22.5, ""concentration_unit"": ""% w/w"", ""basis"": ""Nominal"", ""raw"": """", ""note"": ""Suspended at 20% w/w""}]",amount,unknown,,,,,,,,,,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s11095-014-1318-2__06b4139d6d.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""source_pages"": [8, 9, 10, 14, 15], ""route_label"": ""mixed"", ""route_notes"": ""The study investigates the viscoelastic properties of drug-in-adhesive films, specifically including ibuprofen among various model drugs tested."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 8"", ""page 9"", ""page 10"", ""page 14"", ""page 15""], ""table_id"": ""Table IV"", ""row_source_pages"": [9], ""row_source_locators"": [""page 9""], ""score_debug"": {""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 14"": 1, ""page 15"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table IV"", ""page"": 9, ""bbox"": null, ""snippet"": ""Drug solubility estimate from rheological data (% w/w) for ibuprofen corresponding to Duro-Tak 87-900A: > 22.5."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""confidence"": 0.9}]",[],"[""Ibuprofen showed good solubility parameters in Duro-Tak 87-900A.""]"
record_8860fc12a6af,paper_a47037272c43,10.1007/s11095-014-1318-2,mixed,0.69,0.9,,IVRT,diffusion cell,transdermal film,Duro-Tak 87-4287,Ibuprofen,,,,< 22,Transdermal Film,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Nominal"", ""raw"": """", ""note"": ""Limited solubility""}]",amount,unknown,,,,,,,,,,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s11095-014-1318-2__06b4139d6d.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""source_pages"": [8, 9, 10, 14, 15], ""route_label"": ""mixed"", ""route_notes"": ""The study investigates the viscoelastic properties of drug-in-adhesive films, specifically including ibuprofen among various model drugs tested."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 8"", ""page 9"", ""page 10"", ""page 14"", ""page 15""], ""table_id"": ""Table IV"", ""row_source_pages"": [9], ""row_source_locators"": [""page 9""], ""score_debug"": {""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 14"": 1, ""page 15"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table IV"", ""page"": 9, ""bbox"": null, ""snippet"": ""Drug solubility estimate from rheological data (% w/w): < 22."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""confidence"": 0.9}]",[],"[""Ibuprofen showed limited solubility in Duro-Tak 87-4287.""]"
record_25bf7612b9fc,paper_a47037272c43,10.1007/s11095-014-1318-2,mixed,0.69,0.9,,IVRT,diffusion cell,transdermal film,Bio-PSA 7-4302,Ibuprofen,,,,< 5,Transdermal Film,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Nominal"", ""raw"": """", ""note"": ""Low solubility""}]",amount,unknown,,,,,,,,,,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s11095-014-1318-2__06b4139d6d.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""source_pages"": [8, 9, 10, 14, 15], ""route_label"": ""mixed"", ""route_notes"": ""The study investigates the viscoelastic properties of drug-in-adhesive films, specifically including ibuprofen among various model drugs tested."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 8"", ""page 9"", ""page 10"", ""page 14"", ""page 15""], ""table_id"": ""Table IV"", ""row_source_pages"": [9], ""row_source_locators"": [""page 9""], ""score_debug"": {""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 14"": 1, ""page 15"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table IV"", ""page"": 9, ""bbox"": null, ""snippet"": ""Estimated drug solubility from rheological data (% w/w): < 5."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""confidence"": 0.9}]",[],"[""Ibuprofen solubility in Bio-PSA 7-4302 is low.""]"
record_70322140db18,paper_a47037272c43,10.1007/s11095-014-1318-2,mixed,0.69,0.9,,IVRT,diffusion cell,transdermal film,Bio-PSA 7-4301,Ibuprofen,,,,< 5,Transdermal Film,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Nominal"", ""raw"": """", ""note"": ""Low solubility""}]",amount,unknown,,,,,,,,,,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s11095-014-1318-2__06b4139d6d.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""source_pages"": [8, 9, 10, 14, 15], ""route_label"": ""mixed"", ""route_notes"": ""The study investigates the viscoelastic properties of drug-in-adhesive films, specifically including ibuprofen among various model drugs tested."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 8"", ""page 9"", ""page 10"", ""page 14"", ""page 15""], ""table_id"": ""Table IV"", ""row_source_pages"": [9], ""row_source_locators"": [""page 9""], ""score_debug"": {""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 14"": 1, ""page 15"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table IV"", ""page"": 9, ""bbox"": null, ""snippet"": ""Estimated drug solubility from rheological data (% w/w): < 5."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf"", ""confidence"": 0.9}]",[],"[""Ibuprofen solubility in Bio-PSA 7-4301 is low.""]"
record_6cbbff659209,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,0.69,1.0,,IVPT,diffusion cell,,SNM-IBU2,Ibuprofen,0.5,% (w/v),Nanomicelles,0.5% (w/v),Nanomicelles,[],amount,percent,74.0,%,24.0,h,,,,,24.0,pending,unknown,[],,,[],2,0,table,pdf,papers\pdf\10.1007_s13346-022-01182-x__31f896767a.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s13346-022-01182-x__31f896767a.pdf"", ""source_pages"": [1, 4, 10, 11, 14], ""route_label"": ""table"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 1"", ""page 4"", ""page 10"", ""page 11"", ""page 14""], ""table_id"": ""Table 8"", ""row_source_pages"": [10], ""row_source_locators"": [""page 10""], ""score_debug"": {""page 1"": 1, ""page 4"": 1, ""page 10"": 1, ""page 11"": 1, ""page 14"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 8"", ""page"": 10, ""bbox"": null, ""snippet"": ""The SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h."", ""source_ref"": ""papers\\pdf\\10.1007_s13346-022-01182-x__31f896767a.pdf"", ""confidence"": 1.0}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 8"", ""page"": 10, ""bbox"": null, ""snippet"": ""The SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h."", ""source_ref"": ""papers\\pdf\\10.1007_s13346-022-01182-x__31f896767a.pdf"", ""confidence"": 1.0}]",[],[]
record_88b5877fc91b,paper_477a5d097e07,10.1007/s43440-023-00460-w,figure,0.5700000000000001,0.9,,IVPT,diffusion cell,,Kynurenic Acid Production Inhibition by COX Inhibitors,Ibuprofen,,,,10^-3 to 10^-2 M,In vitro,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""M"", ""basis"": ""In vitro inhibition"", ""raw"": """", ""note"": ""Not a significant inhibitor of KYNA production""}]",amount,unknown,,,,,,,,,,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s43440-023-00460-w__8ad5f23482.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s43440-023-00460-w__8ad5f23482.pdf"", ""source_pages"": [2, 5, 6, 7, 10], ""route_label"": ""figure"", ""route_notes"": ""The study focuses on the effect of various COX inhibitors, including ibuprofen, on KYNA production in rat kidneys."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 5"", ""page 6"", ""page 7"", ""page 10""], ""table_id"": ""Table 2"", ""row_source_pages"": [5, 6], ""row_source_locators"": [""page 5"", ""page 6""], ""score_debug"": {""page 2"": 1, ""page 5"": 1, ""page 6"": 1, ""page 7"": 1, ""page 10"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 5, ""bbox"": null, ""snippet"": ""Ibuprofen did not affect the activity of KAT I and KAT II in rat kidney in vitro."", ""source_ref"": ""papers\\pdf\\10.1007_s43440-023-00460-w__8ad5f23482.pdf"", ""confidence"": 0.9}]",[],"[""Data extracted from graphs and text.""]"
record_b32056fd8393,paper_477a5d097e07,10.1007/s43440-023-00460-w,figure,0.5700000000000001,0.85,,IVPT,diffusion cell,,COX Inhibitor Effects on Activity,Ibuprofen,1.0,mM,molar,Not specified,In vitro,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""M"", ""basis"": ""Activity inhibition"", ""raw"": """", ""note"": ""Weak inhibitor, IC50 > 1 mM""}]",amount,unknown,,,,,,,,,,pending,unknown,[],,,[],1,0,table,pdf,papers\pdf\10.1007_s43440-023-00460-w__8ad5f23482.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s43440-023-00460-w__8ad5f23482.pdf"", ""source_pages"": [2, 5, 6, 7, 10], ""route_label"": ""figure"", ""route_notes"": ""The study focuses on the effect of various COX inhibitors, including ibuprofen, on KYNA production in rat kidneys."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 5"", ""page 6"", ""page 7"", ""page 10""], ""table_id"": ""Table 3"", ""row_source_pages"": [6], ""row_source_locators"": [""page 6""], ""score_debug"": {""page 2"": 1, ""page 5"": 1, ""page 6"": 1, ""page 7"": 1, ""page 10"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 3"", ""page"": 6, ""bbox"": null, ""snippet"": ""Ibuprofen showed IC50 values exceeding 1 mM, indicating low inhibition capacity."", ""source_ref"": ""papers\\pdf\\10.1007_s43440-023-00460-w__8ad5f23482.pdf"", ""confidence"": 0.85}]",[],"[""AC50 values and other endpoint specifics were not provided.""]"
