stage,bucket,count
figure_stage,digitized_curves,19
figure_stage,digitized_endpoints_failed,2
figure_stage,digitized_endpoints_ok,19
figure_stage,mapped_curves,19
figure_stage,triage_artifacts,17
figure_stage,triage_digitize_candidates,16
figure_stage,unmapped_curves,0
figure_gate,skipped:missing_explicit_figure_signal,4
figure_gate,routed_candidates,22
figure_gate,after_gate,18
figure_triage_route,digitize,16
figure_triage_route,skip,1
figure_triage_signal,digitizable:no,1
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,recommended_route:skip,1
figure_triage_signal,ticks_readable:no,2
figure_triage_signal,why_not_digitizable:no_clear_endpoint_curves_for_digitization_found,1
figure_triage_signal,why_not_digitizable:undefined,1
figure_digitization_status,fail_missing_axis_range,2
figure_digitization_status,ok,19
figure_digitization_failure,fail_missing_axis_range,2
figure_mapping_status,vision_mapped,19
verification_route:figure,ambiguous_api_concentration,15
verification_route:figure,figure_digitization_failed,5
verification_route:figure,insufficient_evidence,24
verification_route:figure,missing_area,9
verification_route:figure,missing_endpoint,5
verification_route:figure,not_target_api,1
verification_route:figure,not_target_api_concentration,8
verification_route:figure,not_target_device,21
verification_route:figure,not_target_study_type,6
verification_route:figure,percent_only,3
verification_route:mixed,ambiguous_api_concentration,5
verification_route:mixed,insufficient_evidence,12
verification_route:mixed,missing_area,3
verification_route:mixed,missing_endpoint,5
verification_route:mixed,missing_endpoint_time,4
verification_route:mixed,not_target_api,2
verification_route:mixed,not_target_api_concentration,2
verification_route:mixed,not_target_device,7
verification_route:mixed,not_target_study_type,1
verification_route:table,ambiguous_api_concentration,13
verification_route:table,insufficient_evidence,3
verification_route:table,missing_api_concentration,1
verification_route:table,missing_area,3
verification_route:table,not_target_api,1
verification_route:table,not_target_api_concentration,4
verification_route:table,not_target_device,10
verification_route:table,not_target_study_type,2
verification_route:text,insufficient_evidence,9
verification_route:text,missing_area,1
verification_route:text,missing_endpoint,2
verification_route:text,missing_endpoint_time,2
verification_route:text,not_target_device,2
