record_id,paper_id,doi,route,original_status,original_scope_bucket,candidate_reason,priority_score,priority_bucket,review_focus,adjudication
record_808802942a3c,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'uncertain', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'uncertain', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': ""The record indicates an ambiguous API concentration and a concentration value presented in % w/v instead of the required % w/w. Several failure reasons, including 'insufficient evidence', suggest that more clarity or additional data on the formulation specifics and adherence to the required standards is needed before promotion to verified status.""}"
record_6cbbff659209,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'uncertain', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': 'The record indicates an ambiguous API concentration with conflicting units (the candidate concentration is reported as 0.5% w/v while it needs to be in 5% w/w for the strict scope). Additionally, there are missing area measurements and issues with sufficient evidence, which further prevent promotion to verified status.'}"
record_76b805306d94,paper_e18921d9f76d,10.18433/j3160b,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.75, 'rationale': 'The record cannot be verified due to ambiguous API concentration; it reports ibuprofen at 1% w/v instead of the required 5% w/w. Additionally, critical details such as diffusion area are missing, leading to unresolved status despite the presence of relevant endpoint data.'}"
record_6130330b2eb0,paper_a83f2a886f65,10.1371/journal.pone.0130253,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': ""The record has an ambiguous API concentration listed as 'None', which is essential for verification within the strict criteria of 5% w/w concentration. Additionally, the concentration reported (150 mg L–1) does not directly equate to the required concentration, thus failing to meet the strict criteria. The evidence packet also indicates conflicting evidence and missing critical data regarding API concentration that would prevent promoting the record to verified status.""}"
record_67cfcd572317,paper_a83f2a886f65,10.1371/journal.pone.0130253,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': ""The concentration for the API is reported as 'None', and while there is some data related to the endpoint amount and time, the lack of clear API concentration and diffusion area data makes it impossible to verify it under the strict criteria needed for promotion to verified status.""}"
record_6755f68d4d0a,paper_314ad560b37c,10.1007/s00253-023-12677-z,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'no', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': 'The record has significant ambiguities regarding the API concentration and lacks clarity on the specific concentration applied in terms of w/w. Furthermore, it is unclear if the conditions met the strict scope parameters required for full verification, particularly concerning the Franz diffusion cell and specific endpoint documentation. Insufficient evidence regarding the area and endpoint timing further complicates the potential for verification. Hence, it is more appropriate to classify this record as unresolved.'}"
record_e8222f4e4c6c,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.75, 'rationale': 'The record presents an ambiguous API concentration due to the discrepancy between the stated concentration (5% w/v) and the verified concentration which should align with a weight/volume percentage. This ambiguity affects its overall classification and leads to a preference for remaining unresolved rather than verified.'}"
record_8b2e8239ff2b,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.75, 'rationale': 'The record indicates an ambiguous API concentration, as the concentration is given as 5.0% w/v rather than the required 5% w/w. Therefore, it cannot be promoted to verified, and the conflicting status regarding API concentration leads to a recommendation of unresolved status. Other aspects of the study meet the necessary criteria for potential consideration.'}"
record_f4fb84fa1eb7,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.7, 'rationale': 'The record contains an ambiguous API concentration, stating 5% w/v instead of the required 5% w/w. This discrepancy in measurement basis (w/v instead of w/w) raises concerns about whether the API concentration meets the strict criteria. Other relevant details like the device and endpoints are aligned with the criteria; however, the lack of clarity on API concentration impacts its verification.'}"
record_ace3746b1600,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.7, 'rationale': 'The record presents an ambiguous API concentration issue, indicating that while the drug concentration is specified as 5% w/v, it does not align with the required strict specification of 5% w/w. Additionally, important details regarding the exact concentration metrics appear unclear or not confirmable. Therefore, the record cannot be promoted to verified but should remain unresolved to further clarify the API concentration details.'}"
