stage,bucket,count
access_status,downloaded,219
access_status,error,1
access_status,resolved,86
access_status,unresolved,223
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,additional_document_content_needed_for_specific_extraction_details,1
route_unresolved_reason,content_appears_limited_to_metadata_and_navigation_links_no_evidence_directly_re,1
route_unresolved_reason,content_appears_to_be_about_a_different_topic_not_related_to_ibuprofen,1
route_unresolved_reason,content_does_not_provide_extractable_evidence,1
route_unresolved_reason,content_primarily_discusses_ibuprofen_induced_effects_on_red_blood_cells_further,1
route_unresolved_reason,content_primarily_focused_on_hydrogel_system_details_of_extraction_are_not_clear,1
route_unresolved_reason,detailed_content_extraction_cannot_be_performed_without_accessing_specific_evide,1
route_unresolved_reason,document_appears_to_be_invalid_or_does_not_contain_relevant_content,1
route_unresolved_reason,document_appears_to_be_primarily_an_introduction_with_no_clear_evidence_extracti,1
route_unresolved_reason,document_does_not_contain_relevant_information_about_ibuprofen_or_dermal_formula,1
route_unresolved_reason,document_does_not_contain_relevant_information_regarding_ibuprofen_formulations_,1
route_unresolved_reason,document_does_not_provide_evidence_related_to_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,document_lacks_detailed_descriptions_relevant_to_ibuprofen_formulation_extractio,1
route_unresolved_reason,document_mainly_consists_of_navigation_and_access_information_for_europe_pmc_no_,1
route_unresolved_reason,document_primarily_consists_of_metadata_no_extractable_evidence_identified,1
route_unresolved_reason,document_primarily_discusses_synthesis_and_characterization_needs_detailed_analy,1
route_unresolved_reason,document_text_provided_is_not_sufficient_for_further_extraction,1
route_unresolved_reason,evidence_extraction_needs_to_be_confirmed_details_on_barriers_and_endpoint_speci,1
route_unresolved_reason,evidence_extraction_not_possible_document_primarily_consists_of_navigation_and_h,1
route_unresolved_reason,evidence_extraction_route_cannot_be_determined_from_the_provided_text,1
route_unresolved_reason,evidence_related_to_ibuprofen_exists_but_further_details_on_study_type_and_formu,1
route_unresolved_reason,extract_valuable_evidence_from_the_text_related_to_ibuprofen_and_its_application,1
route_unresolved_reason,extractable_evidence_details_are_not_available_in_the_provided_text_further_revi,1
route_unresolved_reason,extractable_information_about_ibuprofen_and_testing_method_is_unclear,1
route_unresolved_reason,extraction_details_are_minimal_further_information_may_be_extracted_from_subsequ,1
route_unresolved_reason,extraction_information_is_limited_and_further_details_are_needed_to_specify_endp,1
route_unresolved_reason,initial_findings_on_a_clinical_study_related_to_ibuprofen,1
route_unresolved_reason,insufficient_content_to_determine_detailed_extraction_information,1
route_unresolved_reason,insufficient_data_for_extraction_consider_reviewing_further_pages_for_specific_d,1
route_unresolved_reason,insufficient_evidence_present_in_the_provided_text_for_detailed_extraction,1
route_unresolved_reason,insufficient_extractable_evidence_from_the_provided_document_text,1
route_unresolved_reason,insufficient_information_available_in_provided_document_text,1
route_unresolved_reason,insufficient_information_extracted_for_a_specific_conclusion,1
route_unresolved_reason,insufficient_information_in_the_document_to_determine_extraction_details,1
route_unresolved_reason,insufficient_information_in_the_provided_snippet_to_determine_specific_extractio,1
route_unresolved_reason,insufficient_information_provided_to_determine_specific_evidence_extraction_rout,1
route_unresolved_reason,insufficient_information_to_determine_relevant_extraction_details,1
route_unresolved_reason,insufficient_information_to_determine_specific_details_from_the_provided_text,1
route_unresolved_reason,limited_extractable_evidence_due_to_the_document_being_a_description_of_journal_,1
route_unresolved_reason,missing_structured_and_pdf_router_source,236
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,68
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_unresolved_reason,no_clear_carrier_information_visible_from_the_supplied_text,1
route_unresolved_reason,no_clear_extractable_evidence_related_to_ibuprofen_or_diffusion_cells_found,1
route_unresolved_reason,no_concrete_evidence_related_to_formulations_or_endpoints_found_in_the_provided_,1
route_unresolved_reason,no_details_provided_in_the_text_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_dermal_formulations_found_in_the_document,1
route_unresolved_reason,no_extractable_data_found_in_the_provided_document_content,1
route_unresolved_reason,no_extractable_evidence_for_analysis_related_to_ibuprofen,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_text_provided,1
route_unresolved_reason,no_extractable_evidence_identified_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_dermal_formulation,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_document_lacks_relevant_data,1
route_unresolved_reason,no_information_relevant_to_ibuprofen_dermal_formulation_extraction,1
route_unresolved_reason,no_relevant_content_found_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_content_identified_in_the_extracted_data,1
route_unresolved_reason,no_relevant_data_for_extraction_related_to_ibuprofen_or_diffusion_studies,1
route_unresolved_reason,no_relevant_data_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_data_on_ibuprofen_or_diffusion_cells_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_data_related_to_ibuprofen_or_diffusion_cells_found_in_the_provided_d,1
route_unresolved_reason,no_relevant_details_on_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_evidence_extractable_from_the_document,1
route_unresolved_reason,no_relevant_evidence_extracted_regarding_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_extraction_found,1
