stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,26
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,6
llm_adjudication_candidate_reason,recoverable_unresolved:unit_normalization_failed,1
llm_adjudication_priority_bucket,high,28
llm_adjudication_priority_bucket,medium,5
llm_adjudication_review_focus,api_concentration_basis,26
llm_adjudication_review_focus,endpoint_value,6
llm_adjudication_review_focus,unit_normalization,1
llm_adjudication_recommended_status,rejected,6
llm_adjudication_recommended_status,unresolved,27
llm_adjudication_should_keep,no,33
llm_adjudication_disagreement,scope_bucket_disagreement,6
llm_adjudication_disagreement,status_disagreement,6
llm_adjudication_transition,unresolved->rejected,6
llm_adjudication_transition,unresolved->unresolved,27
