route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,24,,,,,,
mixed,6,,,,,,
table,13,,,,,,
text,9,,,,,,
unresolved,477,,,,,,
,9,figure,,,,,
,64,table,,,,,
,11,text,,,,,
,27,,rejected,,,,
,48,,unresolved,,,,
,4,,verified,,,,
,16,,,out_of_scope,,,
,44,,,recoverable_unresolved,,,
,4,,,strict_in_scope,,,
,15,,,useful_but_out_of_scope,,,
,16,,,,non_target_api,,
,26,,,,recoverable_api_basis,,
,6,,,,recoverable_area,,
,6,,,,recoverable_endpoint,,
,2,,,,recoverable_endpoint_time,,
,3,,,,recoverable_figure_digitization,,
,30,,,,recoverable_support_gap,,
,2,,,,recoverable_unit_normalization,,
,44,,,,recoverable_unresolved,,
,7,,,,useful_api_concentration_out_of_scope,,
,15,,,,useful_but_out_of_scope,,
,2,,,,useful_device_out_of_scope,,
,3,,,,useful_endpoint_out_of_scope,,
,9,,,,useful_study_type_out_of_scope,,
,42,,,,,ambiguous_api_concentration,
,8,,,,,figure_digitization_failed,
,54,,,,,insufficient_evidence,
,1,,,,,missing_api_concentration,
,14,,,,,missing_area,
,11,,,,,missing_endpoint,
,2,,,,,missing_endpoint_time,
,16,,,,,not_target_api,
,10,,,,,not_target_api_concentration,
,3,,,,,not_target_device,
,12,,,,,not_target_study_type,
,6,,,,,percent_only,
,3,,,,,unit_normalization_failed,
,12,,,,,,patch_area
,18,,,,,,patch_endpoint_time
,28,,,,,,patch_endpoint_value
