record_id,paper_id,doi,paper_url,route,verification_status,failure_reasons,scope_tags,api_name,api_concentration_value,api_concentration_unit,api_basis,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,device,study_type,diffusion_area_cm2,evidence_preview,gold_target_api_ok,gold_5pct_ww_ok,gold_franz_ok,gold_ivpt_ivrt_ok,gold_amount_endpoint_ok,gold_endpoint_time_ok,gold_endpoint_value_correct,gold_area_ok,gold_keep_record,gold_notes,gold_scope_correct,gold_value_correct
record_6cbbff659209,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,https://europepmc.org/articles/PMC9242938,table,rejected,not_target_study_type; ambiguous_api_concentration; missing_area,useful_but_out_of_scope; useful_study_type_out_of_scope,ibuprofen,0.5,% w/v,w/v,amount_total,7.6,mg,24.0,h,Franz diffusion cell,uncertain,,"The SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h.",yes,no,no,no,yes,yes,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_808802942a3c,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,https://europepmc.org/articles/PMC9242938,table,rejected,not_target_study_type; ambiguous_api_concentration; missing_area,useful_but_out_of_scope; useful_study_type_out_of_scope,ibuprofen,,,,amount_total,7.6,mg,24.0,h,Franz diffusion cell,uncertain,,"The SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h.",yes,no,no,no,yes,yes,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_9b84ff257d30,paper_4431fa44bca9,10.1186/s13065-022-00901-2,https://europepmc.org/articles/PMC9694607,table,unresolved,missing_prediction,recoverable_unresolved,Ibuprofen,,,,unknown,0.11,µmol/ml,3,hr,,IVPT,,corresponding to standard compound ibuprofen (IC50 = 0.11 µmol/ml),no,no,no,no,no,no,no,no,no,conclusion: no; Evidence: no; Reason: this paper is out of scope.,no,no
record_2578ce137ea3,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,missing_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,,,,amount_total,734.4,μg,72.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 5% w/v.,no,yes
record_851ab860659f,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,missing_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,,,,amount_total,1178.9,μg,72.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 6% w/v.,no,yes
record_9d98bd27f9f7,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,missing_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,,,,amount_total,759.6,μg,72.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 7% w/v.,no,yes
record_ace3746b1600,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,missing_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,,,,amount_total,1142.4,μg,72.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 8% w/v.,no,yes
record_9e37bfbbdb75,paper_6e6aaf875560,10.1248/bpb.b19-00221,https://www.jstage.jst.go.jp/article/bpb/42/9/42_b19-00221/_pdf,table,unresolved,missing_prediction,recoverable_unresolved,Ibuprofen,1.11,mL/s,PS1/fu1,amount_total,146,× 10−6 cm/s,0.07,min,,IVPT,0.33,Ibuprofen 5.2 3.83 1.11 96.1 146 0.070 1.47 933 1413 0.0055 32 871 871,yes,no,no,no,no,no,no,no,no,conclusion: no; Evidence: no; Reason: this paper is out of scope.,no,no
record_9a6de796332a,paper_a83f2a886f65,10.1371/journal.pone.0130253,https://europepmc.org/articles/PMC4498899,table,unresolved,missing_prediction,recoverable_unresolved,Ibuprofen,,,,amount_total,64.8,mg g–1,5,min,,both,,"... The K2 values for MSM–500 and–600 were 0.10 and 0.03 g mg–1 min–1, respectively. The higher K2 value for MSM–500 indicates that the medium was much faster in adsorbing IBP than the other MSMs. ...",yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_e37797f0c910,paper_a83f2a886f65,10.1371/journal.pone.0130253,https://europepmc.org/articles/PMC4498899,table,unresolved,missing_prediction,recoverable_unresolved,Ibuprofen,150,mg L-1,,amount_total,64.8,mg g–1,5,min,,both,,... MSM 310 0.541 150 5–10 64.8 7 154 0.76 This study...,yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
