route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,18,,,,,,
mixed,13,,,,,,
table,14,,,,,,
text,12,,,,,,
unresolved,481,,,,,,
,7,figure,,,,,
,60,table,,,,,
,13,text,,,,,
,22,,rejected,,,,
,43,,unresolved,,,,
,10,,verified,,,,
,11,,,out_of_scope,,,
,37,,,recoverable_unresolved,,,
,10,,,strict_in_scope,,,
,17,,,useful_but_out_of_scope,,,
,11,,,,non_target_api,,
,15,,,,recoverable_api_basis,,
,6,,,,recoverable_area,,
,5,,,,recoverable_endpoint,,
,2,,,,recoverable_figure_digitization,,
,32,,,,recoverable_support_gap,,
,1,,,,recoverable_unit_normalization,,
,37,,,,recoverable_unresolved,,
,7,,,,useful_api_concentration_out_of_scope,,
,17,,,,useful_but_out_of_scope,,
,3,,,,useful_device_out_of_scope,,
,1,,,,useful_endpoint_out_of_scope,,
,9,,,,useful_study_type_out_of_scope,,
,26,,,,,ambiguous_api_concentration,
,5,,,,,figure_digitization_failed,
,54,,,,,insufficient_evidence,
,1,,,,,missing_api_concentration,
,17,,,,,missing_area,
,9,,,,,missing_endpoint,
,11,,,,,not_target_api,
,10,,,,,not_target_api_concentration,
,5,,,,,not_target_device,
,9,,,,,not_target_study_type,
,2,,,,,percent_only,
,1,,,,,unit_normalization_failed,
,2,,,,,,patch_area
,13,,,,,,patch_endpoint_time
,16,,,,,,patch_endpoint_value
