stage,bucket,count
access_status,downloaded,223
access_status,resolved,82
access_status,unresolved,226
route_unresolved_reason,assuming_relevance_to_ibuprofen_formulations_based_on_title,1
route_unresolved_reason,content_appears_to_be_a_navigation_or_contact_page_no_evidence_related_to_ibupro,1
route_unresolved_reason,content_appears_to_be_primarily_a_header_or_introductory_service_page,1
route_unresolved_reason,content_does_not_provide_sufficient_structured_evidence_for_extraction_further_d,1
route_unresolved_reason,content_doesn_t_provide_relevant_extractable_evidence_about_ibuprofen_or_drug_de,1
route_unresolved_reason,content_extraction_is_limited_due_to_the_initial_pages_being_unavailable_further,1
route_unresolved_reason,content_from_the_first_two_pages_does_not_provide_extractable_evidence,1
route_unresolved_reason,detailed_extractable_evidence_not_provided_in_the_snippet,1
route_unresolved_reason,detailed_extraction_not_possible_from_the_provided_segment_as_it_lacks_specific_,1
route_unresolved_reason,document_appears_to_be_an_article_on_a_zn_based_mof_with_no_direct_mention_of_ib,1
route_unresolved_reason,document_appears_to_be_generic_content_or_navigation_without_specific_research_d,1
route_unresolved_reason,document_appears_to_not_contain_relevant_information_for_extraction,1
route_unresolved_reason,document_content_is_insufficient_for_specific_extraction_details,1
route_unresolved_reason,document_content_is_not_extractable_from_the_provided_pages,1
route_unresolved_reason,document_content_lacks_specific_details_for_structured_extraction,1
route_unresolved_reason,document_does_not_contain_relevant_information_related_to_ibuprofen_or_dermal_fo,1
route_unresolved_reason,document_does_not_contain_relevant_information_related_to_the_extraction_framewo,1
route_unresolved_reason,document_primarily_consists_of_webpage_content_and_doesn_t_contain_evidence_rela,1
route_unresolved_reason,evidence_extraction_not_applicable_insufficient_content,1
route_unresolved_reason,evidence_extraction_routes_unsure_due_to_insufficient_specific_information_in_th,1
route_unresolved_reason,extractable_evidence_could_potentially_exist_but_details_are_not_available_in_th,1
route_unresolved_reason,extractable_evidence_is_limited_and_requires_further_analysis_of_additional_page,1
route_unresolved_reason,extraction_route_requires_further_detailed_review_of_the_paper_content,1
route_unresolved_reason,focus_on_an_inhalable_formulation_of_ibuprofen_that_demonstrates_bactericidal_vi,1
route_unresolved_reason,further_details_needed_for_precise_extraction,1
route_unresolved_reason,information_on_ibuprofen_and_its_dermal_formulation_is_not_present,1
route_unresolved_reason,insufficient_content_available_to_determine_extraction_routes,1
route_unresolved_reason,insufficient_content_for_making_specific_extraction_decisions,1
