stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,75
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,6
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,12
llm_adjudication_candidate_reason,recoverable_unresolved:unit_normalization_failed,3
llm_adjudication_priority_bucket,high,85
llm_adjudication_priority_bucket,medium,11
llm_adjudication_review_focus,api_concentration_basis,75
llm_adjudication_review_focus,diffusion_area,6
llm_adjudication_review_focus,endpoint_value,12
llm_adjudication_review_focus,unit_normalization,3
llm_adjudication_recommended_status,rejected,7
llm_adjudication_recommended_status,unresolved,89
llm_adjudication_should_keep,no,96
llm_adjudication_disagreement,scope_bucket_disagreement,7
llm_adjudication_disagreement,status_disagreement,7
llm_adjudication_transition,unresolved->rejected,7
llm_adjudication_transition,unresolved->unresolved,89
