run,collection,field,filled,total,rate
full_run_13_post_fix5_v1,table_records,membrane_type,0,64,0.0
full_run_13_post_fix5_v1,table_records,membrane_source,0,64,0.0
full_run_13_post_fix5_v1,table_records,membrane_thickness_um,0,64,0.0
full_run_13_post_fix5_v1,table_records,receptor_medium,0,64,0.0
full_run_13_post_fix5_v1,table_records,dose_type,0,64,0.0
full_run_13_post_fix5_v1,table_records,dose_amount,0,64,0.0
full_run_13_post_fix5_v1,assembled_records,membrane_type,0,79,0.0
full_run_13_post_fix5_v1,assembled_records,membrane_source,0,79,0.0
full_run_13_post_fix5_v1,assembled_records,membrane_thickness_um,0,79,0.0
full_run_13_post_fix5_v1,assembled_records,receptor_medium,0,79,0.0
full_run_13_post_fix5_v1,assembled_records,dose_type,0,79,0.0
full_run_13_post_fix5_v1,assembled_records,dose_amount,0,79,0.0
full_run_13_post_fix5_v1,verified_records,membrane_type,0,79,0.0
full_run_13_post_fix5_v1,verified_records,membrane_source,0,79,0.0
full_run_13_post_fix5_v1,verified_records,membrane_thickness_um,0,79,0.0
full_run_13_post_fix5_v1,verified_records,receptor_medium,0,79,0.0
full_run_13_post_fix5_v1,verified_records,dose_type,0,79,0.0
full_run_13_post_fix5_v1,verified_records,dose_amount,0,79,0.0
full_run_13_post_fix5_v1,verified_only,membrane_type,0,4,0.0
full_run_13_post_fix5_v1,verified_only,membrane_source,0,4,0.0
full_run_13_post_fix5_v1,verified_only,membrane_thickness_um,0,4,0.0
full_run_13_post_fix5_v1,verified_only,receptor_medium,0,4,0.0
full_run_13_post_fix5_v1,verified_only,dose_type,0,4,0.0
full_run_13_post_fix5_v1,verified_only,dose_amount,0,4,0.0
full_run_14_v2_policy,table_records,membrane_type,0,60,0.0
full_run_14_v2_policy,table_records,membrane_source,0,60,0.0
full_run_14_v2_policy,table_records,membrane_thickness_um,0,60,0.0
full_run_14_v2_policy,table_records,receptor_medium,0,60,0.0
full_run_14_v2_policy,table_records,dose_type,0,60,0.0
full_run_14_v2_policy,table_records,dose_amount,0,60,0.0
full_run_14_v2_policy,assembled_records,membrane_type,0,75,0.0
full_run_14_v2_policy,assembled_records,membrane_source,0,75,0.0
full_run_14_v2_policy,assembled_records,membrane_thickness_um,0,75,0.0
full_run_14_v2_policy,assembled_records,receptor_medium,0,75,0.0
