route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,13,,,,,,
mixed,8,,,,,,
table,16,,,,,,
text,11,,,,,,
unresolved,483,,,,,,
,16,figure,,,,,
,220,table,,,,,
,11,text,,,,,
,62,,rejected,,,,
,161,,unresolved,,,,
,10,,verified,,,,
,49,,,out_of_scope,,,
,136,,,recoverable_unresolved,,,
,10,,,strict_in_scope,,,
,38,,,useful_but_out_of_scope,,,
,49,,,,non_target_api,,
,115,,,,recoverable_api_basis,,
,13,,,,recoverable_area,,
,12,,,,recoverable_endpoint,,
,7,,,,recoverable_figure_digitization,,
,75,,,,recoverable_support_gap,,
,13,,,,recoverable_unit_normalization,,
,136,,,,recoverable_unresolved,,
,29,,,,useful_api_concentration_out_of_scope,,
,38,,,,useful_but_out_of_scope,,
,6,,,,useful_device_out_of_scope,,
,7,,,,useful_study_type_out_of_scope,,
,102,,,,,ambiguous_api_concentration,
,7,,,,,figure_digitization_failed,
,140,,,,,insufficient_evidence,
,55,,,,,missing_api_concentration,
,44,,,,,missing_area,
,20,,,,,missing_endpoint,
,49,,,,,not_target_api,
,44,,,,,not_target_api_concentration,
,6,,,,,not_target_device,
,20,,,,,not_target_study_type,
,19,,,,,percent_only,
,13,,,,,unit_normalization_failed,
,7,,,,,,patch_area
,72,,,,,,patch_endpoint_time
,61,,,,,,patch_endpoint_value
