record_id,doi,route,formulation_label,endpoint_value,endpoint_unit,endpoint_time_value,v1_status,v2_status,v1_failure_reasons,v2_failure_reasons,api_raw,api_unit,api_basis
record_03585edf3a7f,10.1016/j.jhazmat.2021.125554,text,text_2,0.9,mg/cm2/h,1.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,5 mg/cm2,,
record_06ac7a8b3930,10.1371/journal.pone.0156931,mixed,F+K+HBL,0.3,invasion score,5.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,100μM,uM,molar
record_083abf34301a,10.3762/bjoc.9.104,mixed,1d,,,1.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,1.5 wt %,% w/w,w/w
record_0a6f5de566d9,10.1123/ijspp.2016-0382,table,IBU/APAP,0.3,°C,2.0,rejected,rejected,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,400 mg,mg,
record_0ad8278f1ee0,10.1039/d0ra00100g,table,[ValOAm][IBU],308.96,mg IBU cm²,24.0,rejected,rejected,not_target_api|missing_api_concentration|missing_area,not_target_api|missing_api_concentration|missing_area,,,
record_0b0b03f5d2d5,10.1248/cpb.c21-00033,figure,Preparation #3,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.7,mol/L,
record_0c828b774882,10.3762/bjoc.9.104,mixed,2b,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
record_0d160966f108,10.1186/2050-6511-13-5,table,Ibuprofen,431.52,μg/cm²/h,6.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,80 mg/ml,mg/ml,w/v
record_0d6cb6ef525f,10.1007/s11095-008-9785-y,mixed,Saturated solution in 75:25 propylene glycol/water,0.0,μg/cm²,4.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,saturated,mg/ml,w/v
record_0e5be0d6642b,10.1042/bj2700039,table,BM 13.177 (20 µM),4.9,cm H2O,40.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,50 µM,uM,molar
