stage,bucket,count
access_status,downloaded,302
access_status,error,13
access_status,unresolved,221
access_reason,failed_download_html,3
access_reason,failed_download_pdf,22
access_reason,seed_pdf_url_from_metadata,8
route_unresolved_reason,content_does_not_contain_specific_information_related_to_ibuprofen,1
route_unresolved_reason,content_from_pages_1_and_2_seems_to_focus_on_navigation_and_functionality_of_eur,1
route_unresolved_reason,content_is_not_directly_extractable_the_document_appears_to_be_more_informative_,1
route_unresolved_reason,content_primarily_consists_of_procedural_information_with_unclear_extractable_ev,1
route_unresolved_reason,content_primarily_consists_of_web_navigation_and_does_not_provide_relevant_extra,1
route_unresolved_reason,content_primarily_related_to_decellularized_macroalgae_for_skin_tissue_engineeri,1
route_unresolved_reason,content_provided_does_not_include_extractable_evidence_about_ibuprofen_formulati,1
route_unresolved_reason,detailed_specifics_regarding_diffusion_cell_and_endpoints_are_not_provided,1
route_unresolved_reason,document_content_appears_to_be_inaccessible_or_missing_relevant_information,1
route_unresolved_reason,document_does_not_provide_clear_evidence_extraction_routes,1
route_unresolved_reason,document_does_not_provide_evidence_for_ibuprofen_or_related_experiments,1
route_unresolved_reason,document_does_not_provide_relevant_evidence_for_ibuprofen_dermal_formulation,1
route_unresolved_reason,document_excerpts_do_not_contain_sufficient_evidence_related_to_ibuprofen_or_rel,1
route_unresolved_reason,document_primarily_contains_procedural_information_regarding_the_vapour_phase_me,1
route_unresolved_reason,document_primarily_discusses_degradation_of_ibuprofen_in_an_integrated_wetland_s,1
route_unresolved_reason,evidence_extractability_is_uncertain_from_the_provided_pages,1
route_unresolved_reason,evidence_extractable_information_is_insufficiently_provided_in_the_text,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_lack_of_detailed_structured_data_in_the_pr,1
route_unresolved_reason,evidence_extraction_is_unclear_due_to_limited_document_text_provided,1
route_unresolved_reason,evidence_extraction_may_need_more_context_due_to_incomplete_document_preview,1
route_unresolved_reason,evidence_extraction_route_uncertain_based_on_the_provided_text,1
route_unresolved_reason,evidence_of_ibuprofen_interactions_and_loading_capacity_in_a_drug_delivery_syste,1
route_unresolved_reason,extraction_details_cannot_be_determined_from_the_provided_text,1
route_unresolved_reason,extraction_from_the_provided_content_is_limited_more_specific_sections_on_method,1
route_unresolved_reason,extraction_of_relevant_evidence_is_limited_due_to_incomplete_document_informatio,1
route_unresolved_reason,incomplete_document_extraction_cannot_be_effectively_determined,1
route_unresolved_reason,information_is_limited_carriers_and_specific_study_parameters_are_not_mentioned_,1
route_unresolved_reason,initial_findings_on_a_clinical_investigation,1
route_unresolved_reason,initial_page_contains_informational_content_further_extraction_needed_from_subse,1
route_unresolved_reason,initial_pages_do_not_contain_relevant_evidence_extraction_information,1
route_unresolved_reason,insufficient_content_from_document_to_determine_extractable_evidence,1
route_unresolved_reason,insufficient_content_provided_to_extract_specific_evidence,1
route_unresolved_reason,insufficient_evidence_available_in_the_provided_document,1
route_unresolved_reason,insufficient_evidence_for_extraction_routes_from_the_provided_text,1
route_unresolved_reason,insufficient_evidence_in_the_document_to_extract_relevant_information_related_to,1
route_unresolved_reason,insufficient_evidence_in_the_provided_text_for_detailed_extraction,1
route_unresolved_reason,insufficient_information_available_in_the_provided_text,1
route_unresolved_reason,insufficient_information_from_the_document,1
route_unresolved_reason,insufficient_information_in_the_provided_text_to_determine_extraction_routes,1
