stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,75
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,7
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,3
llm_adjudication_candidate_reason,recoverable_unresolved:unit_normalization_failed,5
llm_adjudication_priority_bucket,high,77
llm_adjudication_priority_bucket,medium,13
llm_adjudication_review_focus,api_concentration_basis,75
llm_adjudication_review_focus,diffusion_area,7
llm_adjudication_review_focus,endpoint_value,3
llm_adjudication_review_focus,unit_normalization,5
llm_adjudication_recommended_status,rejected,9
llm_adjudication_recommended_status,unresolved,81
llm_adjudication_should_keep,no,89
llm_adjudication_should_keep,uncertain,1
llm_adjudication_disagreement,scope_bucket_disagreement,10
llm_adjudication_disagreement,status_disagreement,9
llm_adjudication_transition,unresolved->rejected,9
llm_adjudication_transition,unresolved->unresolved,81
