record_set,field,filled,total,fill_rate
full_run_13_final,membrane_type,0,79,0.0
full_run_13_final,membrane_source,0,79,0.0
full_run_13_final,membrane_thickness_um,0,79,0.0
full_run_13_final,receptor_medium,0,79,0.0
full_run_13_final,receptor_volume_ml,28,79,0.3544
full_run_13_final,dose_type,0,79,0.0
full_run_13_final,dose_amount,0,79,0.0
full_run_13_final,excipient_component_present,33,79,0.4177
full_run_15_final,membrane_type,205,233,0.8798
full_run_15_final,membrane_source,151,233,0.6481
full_run_15_final,membrane_thickness_um,134,233,0.5751
full_run_15_final,receptor_medium,124,233,0.5322
full_run_15_final,receptor_volume_ml,105,233,0.4506
full_run_15_final,dose_type,154,233,0.6609
full_run_15_final,dose_amount,208,233,0.8927
full_run_15_final,excipient_component_present,141,233,0.6052
full_run_16_final,membrane_type,191,239,0.7992
full_run_16_final,membrane_source,156,239,0.6527
full_run_16_final,membrane_thickness_um,120,239,0.5021
full_run_16_final,receptor_medium,99,239,0.4142
full_run_16_final,receptor_volume_ml,61,239,0.2552
full_run_16_final,dose_type,190,239,0.795
full_run_16_final,dose_amount,210,239,0.8787
full_run_16_final,excipient_component_present,113,239,0.4728
full_run_13_table,membrane_type,0,64,0.0
full_run_13_table,membrane_source,0,64,0.0
full_run_13_table,membrane_thickness_um,0,64,0.0
full_run_13_table,receptor_medium,0,64,0.0
full_run_13_table,receptor_volume_ml,0,64,0.0
full_run_13_table,dose_type,0,64,0.0
full_run_13_table,dose_amount,0,64,0.0
full_run_13_table,excipient_component_present,32,64,0.5
full_run_15_table,membrane_type,192,220,0.8727
full_run_15_table,membrane_source,137,220,0.6227
full_run_15_table,membrane_thickness_um,118,220,0.5364
full_run_15_table,receptor_medium,113,220,0.5136
full_run_15_table,receptor_volume_ml,0,220,0.0
full_run_15_table,dose_type,149,220,0.6773
full_run_15_table,dose_amount,195,220,0.8864
full_run_15_table,excipient_component_present,129,220,0.5864
full_run_16_table,membrane_type,204,252,0.8095
full_run_16_table,membrane_source,175,252,0.6944
full_run_16_table,membrane_thickness_um,143,252,0.5675
full_run_16_table,receptor_medium,108,252,0.4286
full_run_16_table,receptor_volume_ml,0,252,0.0
full_run_16_table,dose_type,202,252,0.8016
full_run_16_table,dose_amount,233,252,0.9246
full_run_16_table,excipient_component_present,125,252,0.496
