route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,15,,,,,,
mixed,9,,,,,,
table,18,,,,,,
text,14,,,,,,
unresolved,480,,,,,,
,10,figure,,,,,
,252,table,,,,,
,10,text,,,,,
,59,,rejected,,,,
,179,,unresolved,,,,
,1,,verified,,,,
,37,,,out_of_scope,,,
,156,,,recoverable_unresolved,,,
,1,,,strict_in_scope,,,
,45,,,useful_but_out_of_scope,,,
,37,,,,non_target_api,,
,128,,,,recoverable_api_basis,,
,18,,,,recoverable_area,,
,3,,,,recoverable_endpoint,,
,1,,,,recoverable_endpoint_time,,
,2,,,,recoverable_figure_digitization,,
,35,,,,recoverable_source_context,,
,90,,,,recoverable_support_gap,,
,8,,,,recoverable_unit_normalization,,
,156,,,,recoverable_unresolved,,
,27,,,,useful_api_concentration_out_of_scope,,
,45,,,,useful_but_out_of_scope,,
,18,,,,useful_device_out_of_scope,,
,4,,,,useful_study_type_out_of_scope,,
,100,,,,,ambiguous_api_concentration,
,2,,,,,figure_digitization_failed,
,122,,,,,insufficient_evidence,
,73,,,,,missing_api_concentration,
,37,,,,,missing_area,
,12,,,,,missing_endpoint,
,10,,,,,missing_endpoint_time,
,37,,,,,not_target_api,
,37,,,,,not_target_api_concentration,
,27,,,,,not_target_device,
,4,,,,,not_target_study_type,
,19,,,,,percent_only,
,65,,,,,source_context_inconsistent,
,8,,,,,unit_normalization_failed,
,20,,,,,,patch_area
,53,,,,,,patch_endpoint_time
,69,,,,,,patch_endpoint_value
