record_id,doi,route,status,formulation_label,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,source_context_notes
record_5d8638739de7,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,1.23,mg/cm²,3.0,D,source_context_inconsistent:figure_route_table_endpoint; source_context_inconsistent:endpoint_value_from_shared_hint; source_context_inconsistent:endpoint_value_time_context_mismatch
record_8452491461ab,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,1.23,mg/cm²,0.5,hours,source_context_inconsistent:figure_route_table_endpoint; source_context_inconsistent:endpoint_value_from_shared_hint
record_56905c334e84,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,1.23,mg/cm²,1.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_cf75fe70f7e7,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,2.34,mg/cm²,2.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_5a7c814731a3,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,3.45,mg/cm²,3.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_aeecd0d08d28,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,4.56,mg/cm²,4.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_5020cd3721bb,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,5.67,mg/cm²,5.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_161a7275a03e,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,6.78,mg/cm²,6.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_c3546a6dfa5f,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,7.89,mg/cm²,7.0,hours,source_context_inconsistent:figure_route_table_endpoint
record_d9ccefdc9f5c,10.1016/j.ejpb.2020.05.013,figure,unresolved,5% w/w Ibuprofen gel,9.0,mg/cm²,8.0,hours,source_context_inconsistent:figure_route_table_endpoint
