record_id,doi,route,previous_status,current_status,transition,endpoint_kind,endpoint_unit,api_raw,failure_reason
record_05c22499eb1a,10.1248/bpb.b19-00221,table,verified,verified,verified->verified,amount_total,mg,3.83 mg/mL,
record_0644080d4156,10.1208/s12249-019-1584-8,figure,unresolved,unresolved,unresolved->unresolved,amount_per_area,ug/cm2,1%,source_context_inconsistent
record_06ac7a8b3930,10.1371/journal.pone.0156931,mixed,unresolved,unresolved,unresolved->unresolved,amount_total,invasion score,,insufficient_evidence
record_08d8e7a055b8,10.1523/jneurosci.15-04-02768.1995,figure,rejected,rejected,rejected->rejected,amount_total,%,,source_context_inconsistent
record_0a56e7ea5527,10.1523/jneurosci.15-04-02768.1995,figure,rejected,rejected,rejected->rejected,amount_total,,,source_context_inconsistent
record_0aca1f9d808f,10.1523/jneurosci.15-04-02768.1995,figure,rejected,rejected,rejected->rejected,amount_total,%,,not_target_api
record_0ad8278f1ee0,10.1039/d0ra00100g,table,rejected,rejected,rejected->rejected,amount_total,mg IBU cm²,,not_target_api
record_0b97a6afd6c5,10.1371/journal.pone.0118536,figure,rejected,rejected,rejected->rejected,amount_per_area,μg/cm²,100 μM,source_context_inconsistent
record_0bbb13628c42,10.3389/fchem.2021.767923,figure,unresolved,unresolved,unresolved->unresolved,amount_total,mg,5 mg/ml,source_context_inconsistent
record_0c86a8a8bb55,10.1523/jneurosci.5741-07.2008,text,verified,verified,verified->verified,amount_total,mg,40 mg/kg,
record_0dbf50f97a74,10.1021/acs.molpharmaceut.0c00720,figure,unresolved,unresolved,unresolved->unresolved,unknown,,,missing_endpoint
record_12a2a82537f4,10.1208/s12249-015-0474-y,mixed,rejected,rejected,rejected->rejected,amount_per_area,ug/cm2,,not_target_api
record_1554f1765160,10.1007/s11095-020-02887-9,mixed,rejected,rejected,rejected->rejected,amount_total,mg,60%,not_target_api
record_161a7275a03e,10.1016/j.ejpb.2020.05.013,figure,unresolved,unresolved,unresolved->unresolved,amount_per_area,mg/cm²,5 % w/w,source_context_inconsistent
record_17d097c8eb40,10.1208/s12249-019-1584-8,figure,unresolved,unresolved,unresolved->unresolved,amount_per_area,µg/cm²,,source_context_inconsistent
record_1b7997ecf760,10.1007/s11095-008-9785-y,mixed,verified,verified,verified->verified,amount_per_area,μg/cm²,Ibuprofen saturated solution in 75:25 propylene glycol/water,
record_1bd324e90169,10.1248/bpb.b19-00221,table,verified,verified,verified->verified,amount_total,mg,3.83 mg/mL,
record_1bf5e1e73737,10.1208/s12249-013-9995-4,table,verified,verified,verified->verified,amount_total,μg,5% (w/v),
record_1d494691ecc1,10.1208/s12249-019-1584-8,figure,unresolved,unresolved,unresolved->unresolved,amount_per_area,µg/cm²,,source_context_inconsistent
record_1e4415c46bc5,10.1186/s12951-020-00718-y,table,unresolved,unresolved,unresolved->unresolved,amount_total,mg,,insufficient_evidence
record_1fdbfc6e224e,10.3389/fphys.2016.00263,figure,rejected,rejected,rejected->rejected,amount_total,mg,15 mg/kg,source_context_inconsistent
record_20cc788ee0ea,10.1523/jneurosci.15-04-02768.1995,figure,rejected,rejected,rejected->rejected,amount_total,%,,not_target_api
record_217c1e06fdac,10.1371/journal.pone.0118536,figure,rejected,rejected,rejected->rejected,amount_per_area,μg/cm²,5 μM,source_context_inconsistent
record_22e1a1ebe25e,10.1186/s12951-020-00718-y,table,unresolved,unresolved,unresolved->unresolved,amount_total,mg,,insufficient_evidence
