record_id,paper_id,doi,paper_url,route,verification_status,failure_reasons,scope_tags,api_name,api_concentration_value,api_concentration_unit,api_basis,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,device,study_type,diffusion_area_cm2,evidence_preview,gold_target_api_ok,gold_5pct_ww_ok,gold_franz_ok,gold_ivpt_ivrt_ok,gold_amount_endpoint_ok,gold_endpoint_time_ok,gold_endpoint_value_correct,gold_area_ok,gold_keep_record,gold_notes,gold_scope_correct,gold_value_correct
record_6cbbff659209,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,https://europepmc.org/articles/PMC9242938,table,unresolved,insufficient_evidence; ambiguous_api_concentration; missing_area,recoverable_unresolved; recoverable_api_basis; recoverable_area; recoverable_support_gap,Ibuprofen,0.5,% w/v,w/v,amount_total,7.6,mg,24,h,,IVPT,,"The SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h.",yes,no,no,no,yes,yes,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_808802942a3c,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,https://europepmc.org/articles/PMC9242938,table,unresolved,insufficient_evidence; ambiguous_api_concentration; missing_area,recoverable_unresolved; recoverable_api_basis; recoverable_area; recoverable_support_gap,Ibuprofen,0.5,% w/v,w/v,amount_total,7.6,mg,24,h,,IVPT,,"The SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h.",yes,no,no,no,yes,yes,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_9b84ff257d30,paper_4431fa44bca9,10.1186/s13065-022-00901-2,https://europepmc.org/articles/PMC9694607,table,unresolved,insufficient_evidence; ambiguous_api_concentration,recoverable_unresolved; recoverable_api_basis; recoverable_support_gap,Ibuprofen,,,,unknown,0.11,µmol/ml,3,hr,,IVPT,,corresponding to standard compound ibuprofen (IC50 = 0.11 µmol/ml),no,no,no,no,no,no,no,no,no,conclusion: no; Evidence: no; Reason: this paper is out of scope.,no,no
record_2578ce137ea3,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,ambiguous_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,1.0,% w/v,w/v,amount_total,132.3,μg,72.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 5% w/v.,no,yes
record_851ab860659f,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,ambiguous_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,1.0,% w/v,w/v,amount_total,155.9,μg,48.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 6% w/v.,no,yes
record_9d98bd27f9f7,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,ambiguous_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,1.0,% w/v,w/v,amount_total,140.2,μg,72.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 7% w/v.,no,yes
record_ace3746b1600,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,table,unresolved,ambiguous_api_concentration,recoverable_unresolved; recoverable_api_basis,ibuprofen,1.0,% w/v,w/v,amount_total,298.0,μg,24.0,h,Franz diffusion cell,both,0.64,Cum. amount of drug permeated (μg),yes,no,yes,yes,yes,yes,yes,yes,no,conclusion: no; evidence: Table II; Reason: concentration is 8% w/v.,no,yes
record_9e37bfbbdb75,paper_6e6aaf875560,10.1248/bpb.b19-00221,https://www.jstage.jst.go.jp/article/bpb/42/9/42_b19-00221/_pdf,table,unresolved,insufficient_evidence; ambiguous_api_concentration; unit_normalization_failed,recoverable_unresolved; recoverable_api_basis; recoverable_unit_normalization; recoverable_support_gap,Ibuprofen,1.11,mL/s,PS1/fu1,amount_total,146,× 10−6 cm/s,0.07,min,,IVPT,0.33,Ibuprofen 5.2 3.83 1.11 96.1 146 0.070 1.47 933 1413 0.0055 32 871 871,yes,no,no,no,no,no,no,no,no,conclusion: no; Evidence: no; Reason: this paper is out of scope.,no,no
record_9a6de796332a,paper_a83f2a886f65,10.1371/journal.pone.0130253,https://europepmc.org/articles/PMC4498899,table,unresolved,insufficient_evidence; missing_api_concentration; missing_area,recoverable_unresolved; recoverable_api_basis; recoverable_area; recoverable_support_gap,Ibuprofen,,,,amount_total,64.8,mg g–1,5,min,,both,,"... The K2 values for MSM–500 and–600 were 0.10 and 0.03 g mg–1 min–1, respectively. The higher K2 value for MSM–500 indicates that the medium was much faster in adsorbing IBP than the other MSMs. ...",yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_e37797f0c910,paper_a83f2a886f65,10.1371/journal.pone.0130253,https://europepmc.org/articles/PMC4498899,table,unresolved,insufficient_evidence; ambiguous_api_concentration; missing_area,recoverable_unresolved; recoverable_api_basis; recoverable_area; recoverable_support_gap,Ibuprofen,150,mg L-1,,amount_total,64.8,mg g–1,5,min,,both,,... MSM 310 0.541 150 5–10 64.8 7 154 0.76 This study...,yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_f416c20cd7d6,paper_a83f2a886f65,10.1371/journal.pone.0130253,https://europepmc.org/articles/PMC4498899,table,unresolved,insufficient_evidence; missing_api_concentration,recoverable_unresolved; recoverable_api_basis; recoverable_support_gap,Ibuprofen,,,,unknown,-23,kJ mol–1,2,h,,both,,"... The calculated ΔadsH0 was –23.0 kJ mol–1, indicating that the IBP adsorption onto MSM–500 is an exothermic reaction...",yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_13770e0cc9e3,paper_75f801f960c1,10.21203/rs.3.rs-3773667/v1,https://www.researchsquare.com/article/rs-3773667/latest.pdf,table,unresolved,insufficient_evidence; not_target_api_concentration,useful_but_out_of_scope; useful_api_concentration_out_of_scope,Ibuprofen,151.38,mg/g,w/w,amount_total,239,µg/g,14,days,,IVRT,1,"the amount of the released drug reached 209 µg/g for sample C, and 239 µg/g for sample E, which is respectively 21 and 24% of the theoretical drug supply.",yes,no,no,no,no,yes,yes,no,no,"conclusion: no; evidence: Table 4; reason: it's not 5%w/w, no franz cell experiments, not ivpt/ivrt, it's out of scope.",no,yes
record_23b54cf636d1,paper_c19125464234,10.3762/bjoc.9.104,https://europepmc.org/articles/PMC3678635,table,unresolved,insufficient_evidence; not_target_api_concentration; missing_area,useful_but_out_of_scope; useful_api_concentration_out_of_scope,Ibuprofen,206,% w/w,w/w,amount_total,8,mg,72,h,,IVPT,,"Compound 4a (8.0 mg) dissolves in water (1.0 mL) at pH 9 and 75 °C, and the solution of 4a becomes a stable semitransparent hydrogel after standing at room temperature and pH 7.2 overnight.",yes,no,no,no,no,no,no,no,no,conclusion: no; Evidence: no; Reason: this paper is out of scope.,no,no
record_ad27c13dbfc5,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf,table,rejected,not_target_device; ambiguous_api_concentration; insufficient_evidence,useful_but_out_of_scope; useful_device_out_of_scope,Ibuprofen,0.5,mg/cm2,homogeneously dispersed,unknown,1.63,risk ratio,7,days,diffusion cell,IVPT,10,A comparison of Ibuprofen foam dressing with local best practice showed a significant outcome for pain relief.,no,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test, even it's a review paper.",no,no
record_8e1fffe4c0d8,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,https://ars.els-cdn.com/content/image/1-s2.0-S037851731931035X-ga1_lrg.jpg,table,rejected,not_target_device; not_target_api_concentration,useful_but_out_of_scope; useful_api_concentration_out_of_scope; useful_device_out_of_scope,Ibuprofen,8,% w/w,w/w,amount_per_area,20,µg/cm²,24,h,diffusion cell,IVPT,,Endpoint values for ibuprofen release from SEBS patches were significant at 24 hours.,yes,no,yes,yes,yes,yes,no,yes,no,"conclusion: no; evidence: Fig. 6 and Table 5, area states 0.636cm^2 in section ""2.13 In vitro skin permeation study"", concentration states in Table 1.",no,no
record_e3dfbeb3c6e6,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,https://ars.els-cdn.com/content/image/1-s2.0-S037851731931035X-ga1_lrg.jpg,table,rejected,not_target_device,useful_but_out_of_scope; useful_device_out_of_scope,Ibuprofen,5,% w/w,w/w,amount_per_area,25,µg/cm²,24,h,diffusion cell,IVPT,,Higher ibuprofen concentration related to increased release rates.,yes,no,yes,yes,yes,yes,no,yes,no,"conclusion: no; evidence: Fig. 6 and Table 5, area states 0.636cm^2 in section ""2.13 In vitro skin permeation study"", concentration states in Table 1.",no,no
record_4bf2d137203c,paper_5101cbd7e8bb,10.1038/s41598-020-65845-w,https://europepmc.org/articles/PMC7264135,table,rejected,not_target_study_type; insufficient_evidence; ambiguous_api_concentration; missing_area,useful_but_out_of_scope; useful_study_type_out_of_scope,Ibuprofen,,,,amount_total,200,ng,2.5,h,,uncertain,,The MBR-UV/Cl2 system removed 71.46% of IBU,no,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_80b4061123c9,paper_c400793e914a,10.1186/s12951-020-00718-y,https://europepmc.org/articles/PMC7596963,table,rejected,not_target_device; ambiguous_api_concentration; missing_area,useful_but_out_of_scope; useful_device_out_of_scope,Ibuprofen,,,,amount_total,0.94,mg,72,hours,diffusion cell,IVRT,,"the release rate of Ibuprofen was 90% within 24 h, 94% in 48 h, and 96% in 72 h.",yes,no,no,no,yes,yes,no,no,no,conclusion: no; evidence: Fig. 9; reason: it's out of scope and without experiment description.,no,no
record_233344baa06d,paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,text,unresolved,insufficient_evidence,recoverable_unresolved; recoverable_support_gap,ibuprofen,,,,flux,0.33,µg/cm²/hr,6,hr,Franz diffusion cell,both,,"approximately 2 µg/cm² after 6 hr, shown in Fig. 5. The amount of ibuprofen released is consistent. | loading capacity for such MIL-88B(Fe) film was about 8.7 % with ibuprofen",yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_9cb15ea03fc7,paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,text,unresolved,insufficient_evidence,recoverable_unresolved; recoverable_support_gap,ibuprofen,,,,flux,0.33,µg/cm²/hr,6,hr,Franz diffusion cell,both,,"approximately 2 µg/cm² after 6 hr, shown in Fig. 5. The amount of ibuprofen released is consistent. | loading capacity for such MIL-88B(Fe) film was about 8.7 % with ibuprofen",yes,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_dd2d0a71ca94,paper_c686cf1d6d2f,10.1038/nature18615,https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968,text,unresolved,insufficient_evidence; missing_endpoint; missing_endpoint_time,recoverable_unresolved; recoverable_endpoint; recoverable_endpoint_time; recoverable_support_gap,ibuprofen,,,,flux,,ng/cm2/h,,,Franz diffusion cell,both,,high-resolution complexes of GP with the anticancer drug toremifene and the painkiller ibuprofen. | Franz diffusion cell,no,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_e058c87cb94e,paper_c686cf1d6d2f,10.1038/nature18615,https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968,text,unresolved,insufficient_evidence; missing_endpoint; missing_endpoint_time,recoverable_unresolved; recoverable_endpoint; recoverable_endpoint_time; recoverable_support_gap,ibuprofen,,,,flux,,ng/cm2/h,,,Franz diffusion cell,IVPT,,high-resolution complexes of GP with the anticancer drug toremifene and the painkiller ibuprofen. | Franz diffusion cell,no,no,no,no,no,no,no,no,no,"conclusion: no; Evidence: no; Reason: this paper is out of scope, it didn't use the standard experiments for test.",no,no
record_17cdf372e8e8,paper_a0517498c977,10.1039/d0ra00100g,https://europepmc.org/articles/PMC9049830,mixed,unresolved,insufficient_evidence; unit_normalization_failed,recoverable_unresolved; recoverable_unit_normalization; recoverable_support_gap,Ibuprofen,,,,amount_per_area,29.412365,ug,24,h,Franz diffusion cell,IVPT,,Cumulative mass of ibuprofen in the acceptor phase after 24 h of permeation. | Franz diffusion cells,yes,no,yes,yes,no,yes,no,yes,no,"conclusion: no; evidence: Table 5; reason: missing 5%w/w, endpoint was not correct, and the paper states cumulative mass of compound, not amount. ",no,no
record_13022b1efe82,paper_eabb128fb839,10.1186/2050-6511-13-5,https://europepmc.org/articles/PMC3506268,mixed,unresolved,missing_api_concentration; insufficient_evidence,recoverable_unresolved; recoverable_api_basis; recoverable_support_gap,Ibuprofen,,,,flux,431.52,μg/cm²/h,5,minutes,Franz diffusion cell,IVPT,1.77,"Jmax (μg/cm²/h) for Ibuprofen was: Control 167.78, 200 μm 368.69, 300 μm 431.52",yes,no,yes,yes,no,no,yes,yes,no,"conclusion: no; evidence: in Method and Table 1; reason: endpoint is flux, concentration states 23.4mg/ml, endpoint time is 6 h.",no,yes
