paper_id,doi,paper_url,record_count,routes,statuses,packet_file,annotation_done
paper_567266ad0643,10.1248/cpb.c21-00033,https://www.jstage.jst.go.jp/article/cpb/69/5/69_c21-00033/_pdf,13,figure,unresolved,annotation_packet_round1_files/01__10.1248_cpb.c21-00033__paper_567266ad0643.md,yes
paper_bfb4f8a16de3,10.4103/jomfp.jomfp_253_19,https://www.ncbi.nlm.nih.gov/pmc/articles/7269311,9,mixed,unresolved,annotation_packet_round1_files/02__10.4103_jomfp.jomfp_253_19__paper_bfb4f8a16de3.md,yes
paper_c6791af323cf,10.1523/jneurosci.5741-07.2008,http://www.jneurosci.org/cgi/content/full/28/51/13727,7,mixed,unresolved,annotation_packet_round1_files/03__10.1523_jneurosci.5741-07.2008__paper_c6791af323cf.md,yes
paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,https://discovery.ucl.ac.uk/id/eprint/1477393/1/MANUSCRIPTREVISION.pdf,7,figure,verified,annotation_packet_round1_files/04__10.1016_j.ijpharm.2016.03.043__paper_7008480bdcae.md,yes
paper_48cbfe0b170b,10.1208/s12249-013-9995-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755145,4,table,unresolved,annotation_packet_round1_files/05__10.1208_s12249-013-9995-4__paper_48cbfe0b170b.md,yes
paper_85f231cdccef,10.1208/s12249-019-1584-8,https://link.springer.com/content/pdf/10.1208/s12249-019-1584-8.pdf,4,figure,unresolved,annotation_packet_round1_files/06__10.1208_s12249-019-1584-8__paper_85f231cdccef.md,yes
paper_a83f2a886f65,10.1371/journal.pone.0130253,https://europepmc.org/articles/PMC4498899,3,table,unresolved,annotation_packet_round1_files/07__10.1371_journal.pone.0130253__paper_a83f2a886f65.md,yes
paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,https://pure.hud.ac.uk/ws/files/20412617/for_PURE_3D_diffusion_cell_FULL_Manuscript.pdf,3,figure,verified,annotation_packet_round1_files/08__10.1016_j.ejpb.2020.05.013__paper_b451e1b601ac.md,yes
paper_f03f8905410c,10.3389/fchem.2021.767923,https://europepmc.org/articles/PMC8630543,3,figure,unresolved,annotation_packet_round1_files/09__10.3389_fchem.2021.767923__paper_f03f8905410c.md,yes
paper_b21c07f7ac33,10.1007/s13346-022-01182-x,https://europepmc.org/articles/PMC9242938,2,table,unresolved,annotation_packet_round1_files/10__10.1007_s13346-022-01182-x__paper_b21c07f7ac33.md,yes
paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,https://ars.els-cdn.com/content/image/1-s2.0-S037851731931035X-ga1_lrg.jpg,2,table,rejected,annotation_packet_round1_files/11__10.1016_j.ijpharm.2019.118975__paper_cceb8131dfed.md,yes
paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,2,text,unresolved,annotation_packet_round1_files/12__10.1016_j.colsurfa.2022.129611__paper_82ceb7e0e70e.md,yes
paper_c686cf1d6d2f,10.1038/nature18615,https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968,2,text,unresolved,annotation_packet_round1_files/13__10.1038_nature18615__paper_c686cf1d6d2f.md,yes
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf,1,table,rejected,annotation_packet_round1_files/14__10.1002_14651858.cd001177.pub2__paper_6d7ce6948405.md,yes
paper_5101cbd7e8bb,10.1038/s41598-020-65845-w,https://europepmc.org/articles/PMC7264135,1,table,rejected,annotation_packet_round1_files/15__10.1038_s41598-020-65845-w__paper_5101cbd7e8bb.md,yes
paper_c400793e914a,10.1186/s12951-020-00718-y,https://europepmc.org/articles/PMC7596963,1,table,rejected,annotation_packet_round1_files/16__10.1186_s12951-020-00718-y__paper_c400793e914a.md,yes
paper_4431fa44bca9,10.1186/s13065-022-00901-2,https://europepmc.org/articles/PMC9694607,1,table,unresolved,annotation_packet_round1_files/17__10.1186_s13065-022-00901-2__paper_4431fa44bca9.md,yes
paper_6e6aaf875560,10.1248/bpb.b19-00221,https://www.jstage.jst.go.jp/article/bpb/42/9/42_b19-00221/_pdf,1,table,unresolved,annotation_packet_round1_files/18__10.1248_bpb.b19-00221__paper_6e6aaf875560.md,yes
paper_75f801f960c1,10.21203/rs.3.rs-3773667/v1,https://www.researchsquare.com/article/rs-3773667/latest.pdf,1,table,unresolved,annotation_packet_round1_files/19__10.21203_rs.3.rs-3773667_v1__paper_75f801f960c1.md,yes
paper_c19125464234,10.3762/bjoc.9.104,https://europepmc.org/articles/PMC3678635,1,table,unresolved,annotation_packet_round1_files/20__10.3762_bjoc.9.104__paper_c19125464234.md,yes
paper_a0517498c977,10.1039/d0ra00100g,https://europepmc.org/articles/PMC9049830,1,mixed,unresolved,annotation_packet_round1_files/21__10.1039_d0ra00100g__paper_a0517498c977.md,yes
paper_eabb128fb839,10.1186/2050-6511-13-5,https://europepmc.org/articles/PMC3506268,1,mixed,unresolved,annotation_packet_round1_files/22__10.1186_2050-6511-13-5__paper_eabb128fb839.md,yes
paper_12ae56196f6e,10.1371/journal.pone.0118536,https://europepmc.org/articles/PMC4340918,1,figure,unresolved,annotation_packet_round1_files/23__10.1371_journal.pone.0118536__paper_12ae56196f6e.md,yes
