doi,formulation_label,api_name,api_concentration,api_concentration_unit,endpoint_type,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,device,membrane_type,membrane_source,receptor_medium,dose_type,dose_amount,source_evidence,pipeline_verification_status
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,Ibuprofen,750.0,ug/cm2,amount_per_area,0.77,μg/cm²,0.5,hours,diffusion cell,stratum corneum,,,,,Table 2 (p.12); page 12; page 5,unresolved
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,Ibuprofen,750.0,ug/cm2,amount_per_area,0.75,μg/cm²,1.0,hours,diffusion cell,stratum corneum,,,,,Table 2 (p.12); page 12; page 5,unresolved
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,Ibuprofen,750.0,ug/cm2,amount_per_area,0.74,μg/cm²,2.0,hours,diffusion cell,stratum corneum,,,,,Table 2 (p.12); page 12; page 5,unresolved
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,Ibuprofen,750.0,ug/cm2,amount_per_area,0.73,μg/cm²,3.0,hours,diffusion cell,stratum corneum,,,,,Table 2 (p.12); page 12; page 5,unresolved
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,Ibuprofen,750.0,ug/cm2,amount_per_area,0.72,μg/cm²,4.0,hours,diffusion cell,stratum corneum,,,,,Table 2 (p.12); page 12; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,unknown,,,,,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,unknown,,,0.5,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,1.23,mg/cm²,1.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,2.34,mg/cm²,2.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,3.45,mg/cm²,3.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,4.56,mg/cm²,4.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,5.67,mg/cm²,5.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,6.78,mg/cm²,6.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,7.89,mg/cm²,7.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,Ibuprofen,5.0,% w/w,amount_per_area,9.0,mg/cm²,8.0,hours,Franz diffusion cell,silicone membrane,,,,,Table 1 (p.5); page 9; page 5,unresolved
10.1016/j.ijpharm.2016.03.043,IBUGEL™ (Ibuprofen 5% w/w),ibuprofen,5.0,% w/w,unknown,,,,,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",,,,,Table 1 (p.11); page 11; page 2,unresolved
10.1016/j.ijpharm.2016.03.043,IBULEVE™ Speed Relief 5% Spray,ibuprofen,5.0,% w/w,unknown,,,,,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",,,,,Table 1 (p.11); page 11; page 2,unresolved
10.1016/j.ijpharm.2016.03.043,Isopropyl alcohol solution (5% w/w),ibuprofen,5.0,% w/w,unknown,,,,,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",,,,,Table 1 (p.11); page 11; page 2,unresolved
10.1016/j.ijpharm.2016.03.043,Propylene glycol solution (5% w/w),ibuprofen,5.0,% w/w,unknown,,,,,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",,,,,Table 1 (p.11); Table 2 (p.12); page 12,unresolved
