reason,route,count,pct_of_route,route_total,reason_total
insufficient_evidence,table,29,58.0,50,122
insufficient_evidence,figure,28,38.888888888888886,72,122
insufficient_evidence,mixed,58,68.23529411764706,85,122
insufficient_evidence,text,7,100.0,7,122
ambiguous_api_concentration,table,32,64.0,50,73
ambiguous_api_concentration,figure,26,36.111111111111114,72,73
ambiguous_api_concentration,mixed,15,17.647058823529413,85,73
ambiguous_api_concentration,text,0,0.0,7,73
missing_api_concentration,table,15,30.0,50,73
missing_api_concentration,figure,5,6.944444444444445,72,73
missing_api_concentration,mixed,53,62.35294117647059,85,73
missing_api_concentration,text,0,0.0,7,73
source_context_inconsistent,table,0,0.0,50,65
source_context_inconsistent,figure,65,90.27777777777777,72,65
source_context_inconsistent,mixed,0,0.0,85,65
source_context_inconsistent,text,0,0.0,7,65
not_target_api,table,10,20.0,50,37
not_target_api,figure,16,22.22222222222222,72,37
not_target_api,mixed,11,12.941176470588236,85,37
not_target_api,text,0,0.0,7,37
not_target_api_concentration,table,3,6.0,50,37
not_target_api_concentration,figure,22,30.555555555555557,72,37
not_target_api_concentration,mixed,12,14.117647058823529,85,37
not_target_api_concentration,text,0,0.0,7,37
missing_area,table,10,20.0,50,37
missing_area,figure,25,34.72222222222222,72,37
missing_area,mixed,2,2.3529411764705883,85,37
missing_area,text,0,0.0,7,37
not_target_device,table,6,12.0,50,27
not_target_device,figure,12,16.666666666666668,72,27
not_target_device,mixed,9,10.588235294117647,85,27
not_target_device,text,0,0.0,7,27
percent_only,table,0,0.0,50,19
percent_only,figure,0,0.0,72,19
percent_only,mixed,19,22.352941176470587,85,19
percent_only,text,0,0.0,7,19
missing_endpoint,table,0,0.0,50,12
missing_endpoint,figure,2,2.7777777777777777,72,12
missing_endpoint,mixed,9,10.588235294117647,85,12
missing_endpoint,text,1,14.285714285714286,7,12
