record_id,paper,failure,detail
record_2abb314c7b9a,Part I,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_2abb314c7b9a,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=0:100
record_2abb314c7b9a,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_c5c947facd5e,Part I,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_c5c947facd5e,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:75
record_c5c947facd5e,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_9d951ad8e97f,Part I,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_9d951ad8e97f,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50:50
record_9d951ad8e97f,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_6addda23f9bf,Part I,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_6addda23f9bf,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=75:25
record_6addda23f9bf,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_3a82944abc56,Part I,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_3a82944abc56,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100:0
record_3a82944abc56,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_a98d86faa525,Part I,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=pretreated
record_a98d86faa525,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:75
record_a98d86faa525,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_0479b8762ff7,Part I,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=pretreated
record_0479b8762ff7,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=75:25
record_0479b8762ff7,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_d64a87c207d1,Part I,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=pretreated
record_d64a87c207d1,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100:0
record_d64a87c207d1,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_1bd68bcc4d72,Part I,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_1bd68bcc4d72,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=0:100
record_1bd68bcc4d72,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_42e39d599287,Part I,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_42e39d599287,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:75
record_42e39d599287,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_06c6fe15e023,Part I,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_06c6fe15e023,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50:50
record_06c6fe15e023,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_d28ec2f5bcb5,Part I,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_d28ec2f5bcb5,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=75:25
record_d28ec2f5bcb5,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_1fbd0dd25b18,Part I,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_1fbd0dd25b18,Part I,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100:0
record_1fbd0dd25b18,Part I,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_b178d612dacc,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_b178d612dacc,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=0:100
record_b178d612dacc,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_50358ab6a9ca,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_50358ab6a9ca,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=10:90
record_50358ab6a9ca,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_fbbd43bde2f5,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_fbbd43bde2f5,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=20:80
record_fbbd43bde2f5,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_937d3e534888,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_937d3e534888,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=30:70
record_937d3e534888,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_9002f53353a8,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_9002f53353a8,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=40:60
record_9002f53353a8,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_3738ac92928d,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_3738ac92928d,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=60:40
record_3738ac92928d,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_bc629b7ee4f2,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_bc629b7ee4f2,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=70:30
