dr_rank,first_author_year,journal,primary_doi,doi_resolution,corpus_doi,in_corpus,corpus_pmid,corpus_pmcid,passed_rule_filter,llm_triage_label,llm_triage_confidence,content_access_status,content_access_backend,route_decision,route_confidence,n_text_records,n_table_records,n_figure_records,n_assembled_records,n_patched_records,v1_status_breakdown,v2_status_breakdown,v3_status_breakdown,v4_status_breakdown,failure_stage,failure_reason_short
1,Bolla_2020,Pharmaceutics,10.3390/pharmaceutics12020151,direct_doi_match,10.3390/pharmaceutics12020151,true,32069850,PMC7076669,true,relevant,0.9,"status=downloaded; preferred_format=html; available_formats=html,pdf; notes=legacy_pdf_reused_local",html_local,unresolved,0.2,0,0,0,0,0,na,na,na,na,router_unresolved,notes=The document appears to be a study focusing on ibuprofen permeation through a synthetic membrane.; franz_confirmed=no; barrier_category=synthetic_membrane; endpoint_carrier=unknown; formulation_carrier=unknown
2,Chen_2006,Int J Pharm,10.1016/j.ijpharm.2006.02.015,direct_doi_match,10.1016/j.ijpharm.2006.02.015,true,16600540,,true,relevant,0.95,status=unresolved; preferred_format=unresolved; available_formats=none,missing,unresolved,0.0,0,0,0,0,0,na,na,na,na,content_access_fail,status=unresolved; preferred_format=unresolved; available_formats=none
3,Theochari_2021,J Mol Liquids,10.1016/j.molliq.2021.116021,not_found,,false,,,na,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,corpus_miss,no direct DOI match and no title keyword fallback match in corpus title column
4,Salim_2012,Int J Nanomedicine,10.2147/ijn.s34700,direct_doi_match,10.2147/ijn.s34700,true,22973096,PMC3439863,true,relevant,0.95,"status=downloaded; preferred_format=html; available_formats=html,pdf; notes=legacy_pdf_reused_local",html_local,unresolved,0.2,0,0,0,0,0,na,na,na,na,router_unresolved,"notes=Extraction from the provided content is limited; more specific sections on methods, results, or discussions are needed for thorough analy...; franz_confirmed=no; barrier_category=uncertain; endpoint_carrier=unknown; formulation_carrier=unknown"
5,Salim_2018,Mater. Today Proc.,(not confidently known),not_found,,false,,,na,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,corpus_miss,no direct DOI match and no title keyword fallback match in corpus title column
6,Stahl_2011,BMC Pharmacology,10.1186/1471-2210-11-12,direct_doi_match,10.1186/1471-2210-11-12,true,22168832,PMC3259031,false,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,rule_filter_reject,"rule_relevance_label=not_relevant; hints=\bin vitro\b,\bpermeat,\bdiffus,\btransdermal\b,\bskin\b; exclusions=\boral\b,\bplasma\b"
7,Pradal_2020,J Pain Research,10.2147/jpr.s262390,direct_doi_match,10.2147/jpr.s262390,true,33177865,PMC7650811,true,relevant,0.95,"status=downloaded; preferred_format=html; available_formats=html,pdf; notes=failed_download:pdf",html_local,unresolved,0.0,0,0,0,0,0,na,na,na,na,router_unresolved,notes=missing_structured_and_pdf_router_source:blocked:html_local:captcha;blocked:html_remote:captcha
8,Vlaia_2014,Rev Chim Bucharest,(not confidently known),not_found,,false,,,na,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,corpus_miss,no direct DOI match and no title keyword fallback match in corpus title column
9,Djekic_2019,J Pharm Sci,10.1016/j.xphs.2018.10.054,direct_doi_match,10.1016/j.xphs.2018.10.054,true,30395827,,true,relevant,0.9,status=unresolved; preferred_format=unresolved; available_formats=none,missing,unresolved,0.0,0,0,0,0,0,na,na,na,na,content_access_fail,status=unresolved; preferred_format=unresolved; available_formats=none
10,Djekic_2016,Eur J Pharm Sci,10.1016/j.ejps.2016.05.024; 10.1016/j.ejps.2016.05.020,not_found,,false,,,na,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,corpus_miss,no direct DOI match and no title keyword fallback match in corpus title column; author/year near-match exists but was not counted by the requested DOI/title resolver: 10.1016/j.ejps.2016.05.005 (Formulation of hydrogel-thickened nonionic microemulsions with...
11,Hadgraft_2003,Skin Pharmacol Appl Skin Physiol,10.1159/000069759,direct_doi_match,10.1159/000069759,true,12677093,,false,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,rule_filter_reject,"rule_relevance_label=not_relevant; hints=\bin vitro\b,\bdiffus,\btopical\b,\bskin\b; exclusions=\bin vivo\b"
12,Herkenne_2007,J Invest Dermatol,10.1038/sj.jid.5700587; 10.1038/jid.2007.196,not_found,,false,,,na,na,na,na,na,na,na,0,0,0,0,0,na,na,na,na,corpus_miss,"title keyword fallback was ambiguous: 2 title rows matched, with no unique 2007 row; author/year near-match exists but was not counted by the requested DOI/title resolver: 10.1038/sj.jid.5700491 (Ibuprofen transport into and through skin from topical formul..."
