dedup_key,doi,pmid,year,journal,title,is_oa,oa_with_pdf_url,is_caffeine,is_nicotinamide,is_lidocaine,is_ibuprofen,has_flux_term,has_cumulative_term,has_kp_term,has_lag_term,has_franz,has_ivpt_acronym,has_skin_type,has_ivivc,has_pg_pct,has_etoh_pct,has_water_pct,has_mineral_oil_pct,has_ipm_pct,has_carbopol_pct,has_hpmc_pct,has_poloxamer_pct,has_gel_word_in_title,is_review,is_in_vivo_only,is_animal_pk_only,is_iontophoresis_or_microneedle,has_percent_range,percent_value_count,multi_formulation_terms,endpoint_signal_count,method_signal_count,with_quantitative_pct_in_abstract,modelling_ready_oa,candidate_score
doi:10.1023/a:1015939100073,10.1023/a:1015939100073,2281032,1990,Pharmaceutical research,Evaluation of a noninvasive method for monitoring percutaneous absorption of lidocaine in vivo.,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,False,True,False,False,False,3,5,0,0,True,False,26.0
doi:10.1007/bf00371943,10.1007/bf00371943,2128017,1990,Archives of dermatological research,In vivo percutaneous absorption: a key role for stratum corneum/vehicle partitioning.,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,,,,,False,False,False,False,False,0,4,2,0,False,False,22.0
doi:10.1002/jps.2600800203,10.1002/jps.2600800203,1828835,1991,Journal of pharmaceutical sciences,Species differences in percutaneous absorption of nicorandil.,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,2,1,1,False,False,11.05
doi:10.1002/jps.2600821107,10.1002/jps.2600821107,8289121,1993,Journal of pharmaceutical sciences,Surface recovery and stripping methods to quantify percutaneous absorption of caffeine in humans.,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,,False,True,False,False,False,1,3,2,0,False,False,19.15
doi:10.1111/j.1525-1470.1993.tb00403.x,10.1111/j.1525-1470.1993.tb00403.x,8302744,1993,Pediatric dermatology,Topical lidocaine for anesthesia in patients undergoing pulsed dye laser treatment for vascular malformations.,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,False,False,False,False,False,7,1,0,0,True,False,14.15
doi:10.1021/js950219p,10.1021/js950219p,8773963,1996,Journal of pharmaceutical sciences,Metabolic approaches to enhance transdermal drug delivery. 1. Effect of lipid synthesis inhibitors.,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,1,0,1,False,False,4.3
doi:10.1021/js960079z,10.1021/js960079z,8818988,1996,Journal of pharmaceutical sciences,Synergistic effects of chemical enhancers and therapeutic ultrasound on transdermal drug delivery.,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,,,,False,False,False,False,False,3,4,1,0,True,False,25.3
doi:10.1081/ddc-100102251,10.1081/ddc-100102251,10434134,1999,Drug development and industrial pharmacy,Influence of drug lipophilicity on terpenes as transdermal penetration enhancers.,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,1,0,0,False,False,4.45
doi:10.1016/s0168-3659(00)00325-4,10.1016/s0168-3659(00)00325-4,11102682,2000,Journal of controlled release : official journal of the Controlled Release Society,NMR characterisation and transdermal drug delivery potential of microemulsion systems.,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,5,1,1,False,False,27.5
doi:10.1016/s0378-5173(01)00830-4,10.1016/s0378-5173(01)00830-4,11604265,2001,International journal of pharmaceutics,Comparison of the effect of ultrasound and of chemical enhancers on transdermal permeation of caffeine and morphine through hairless mouse skin in vitro.,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,0,1,1,False,False,3.55
doi:10.1002/1520-6017(200104)90:4<485::aid-jps1006>3.0.co;2-#,10.1002/1520-6017(200104)90:4<485::aid-jps1006>3.0.co;2-#,11170038,2001,Journal of pharmaceutical sciences,Effect of phloretin on the percutaneous absorption of lignocaine across human skin.,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,2,1,1,False,False,11.55
doi:10.1213/01.ane.0000060456.91215.90,10.1213/01.ane.0000060456.91215.90,12761001,2003,Anesthesia and analgesia,Cutaneous analgesia after transdermal application of amitriptyline versus lidocaine in rats.,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,False,False,False,False,False,3,5,0,0,True,False,26.65
doi:10.1016/j.ejps.2003.10.025,10.1016/j.ejps.2003.10.025,14757507,2004,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,Effect of heat on the percutaneous absorption and skin retention of three model penetrants.,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,2,1,2,False,False,15.7
