dedup_key,doi,pmid,year,journal,title,is_oa,oa_with_pdf_url,is_caffeine,is_nicotinamide,is_lidocaine,is_ibuprofen,has_flux_term,has_cumulative_term,has_kp_term,has_lag_term,has_franz,has_ivpt_acronym,has_skin_type,has_ivivc,has_pg_pct,has_etoh_pct,has_water_pct,has_mineral_oil_pct,has_ipm_pct,has_carbopol_pct,has_hpmc_pct,has_poloxamer_pct,has_gel_word_in_title,is_review,is_in_vivo_only,is_animal_pk_only,is_iontophoresis_or_microneedle,has_percent_range,percent_value_count,multi_formulation_terms,endpoint_signal_count,method_signal_count,with_quantitative_pct_in_abstract,modelling_ready_oa,candidate_score
pmid:2095811,,2095811,1990,Bollettino chimico farmaceutico,"[Use of the ""Sartorius"" cutaneous absorption simulator for transdermal pharmaceutical forms of NSAIDs].",False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,0,1,0,0,False,False,4.0
pmid:1610418,,1610418,1992,Arzneimittel-Forschung,Influence of limonene and laurocapram on percutaneous absorption of nonsteroidal anti-inflammatory drugs.,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,False,False,False,False,False,False,False,False,False,7,3,0,0,False,False,19.1
pmid:8216453,,8216453,1993,Arzneimittel-Forschung,"Percutaneous absorption of ibuprofen from different formulations. Comparative study with gel, hydrophilic ointment and emulsion cream.",False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,False,False,False,True,False,True,True,False,False,1,12,0,0,False,False,49.15
doi:10.1248/cpb.42.651,10.1248/cpb.42.651,8004715,1994,Chemical & pharmaceutical bulletin,Application of an oily gel formed by hydrogenated soybean phospholipids as a percutaneous absorption-type ointment base.,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,False,False,False,True,False,False,False,False,True,11,5,1,0,False,False,36.2
pmid:9684479,,9684479,1998,Acta Universitatis Palackianae Olomucensis Facultatis Medicae,Influence of acute uraemia on percutaneous absorption of nonsteroidal anti-inflammatory drugs.,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,False,False,False,False,False,False,True,False,False,2,4,0,0,False,False,18.4
pmid:23985822,,23985822,1999,International journal of pharmaceutical compounding,Enhancement of skin penetration of nonsteroidal anti-inflammatory drugs from extemporaneously compounded topical-gel formulations.,False,False,False,False,False,True,False,False,False,False,True,False,True,False,,,,,,False,False,False,True,False,False,False,False,False,0,1,0,2,False,False,8.45
doi:10.1016/s0378-5173(99)00340-3,10.1016/s0378-5173(99)00340-3,10606790,2000,International journal of pharmaceutics,The influence of the physicochemical characteristics and pharmacokinetic properties of selected NSAID's on their transdermal absorption.,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,False,False,False,False,False,False,True,False,False,0,2,0,0,False,False,8.5
doi:10.1016/s0378-5173(01)00758-x,10.1016/s0378-5173(01)00758-x,11489559,2001,International journal of pharmaceutics,An in vitro investigation into the effect of glycosaminoglycans on the skin partitioning and deposition of NSAIDs.,False,True,False,False,False,True,False,False,False,False,True,False,True,False,,,,,,False,False,False,False,False,False,False,False,False,1,3,0,2,False,False,17.55
doi:10.1016/s0378-5173(02)00394-0,10.1016/s0378-5173(02)00394-0,12270620,2002,International journal of pharmaceutics,Percutaneous absorption of non-steroidal anti-inflammatory drugs from in situ gelling xyloglucan formulations in rats.,False,True,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,False,False,True,False,False,False,False,False,True,3,4,0,0,True,False,27.6
doi:10.1080/713840406,10.1080/713840406,12944138,2003,Drug delivery,Improved solubility and in vitro dissolution of Ibuprofen from poloxamer gel using eutectic mixture with menthol.,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,False,False,True,True,False,False,False,False,False,1,5,0,0,True,False,24.65
