paper_A_doi,paper_B_doi,n_records_A,n_records_B,shared_buckets_with_value,n_shared_buckets_with_value,shared_buckets_with_range_in_A,shared_endpoint_kinds,shared_endpoint_units,shared_time_points,shared_membrane_types,compatibility_class,notes
10.1007/s11095-008-9785-y,10.1007/s11095-024-03747-6,12,9,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1007/s13346-022-01182-x,12,6,,0,,cumulative_amount,,3.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1016/j.ejpb.2020.05.013,12,12,,0,,cumulative_amount,ug/cm^2,0.25h;0.75h;1.5h;2.5h;3.5h;4.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1016/j.ijpharm.2016.03.043,12,27,,0,,cumulative_amount,ug/cm^2,0.083h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1016/j.ijpharm.2019.118975,12,6,,0,,cumulative_amount,ug/cm^2,0.25h;0.75h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1021/acs.molpharmaceut.0c00720,12,7,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1038/s41598-024-57883-5,12,10,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1038/srep08114,12,3,,0,,cumulative_amount,,0.5h;1.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1039/d0ra00100g,12,8,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1172/jci2614,12,4,,0,,cumulative_amount,ug/cm^2,0.267h;0.75h;1.25h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-008-9785-y,10.1186/2050-6511-13-5,12,27,,0,,cumulative_amount;flux,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
