doi,title,journal,publisher,year,subscription_tier,original_block_reason,current_oa_status,oa_url_if_any,priority_rank
10.1016/j.carbpol.2025.124499,Exploring new buccal films based on hydroxyethyl cellulose and Linecaps® combination for the pediatric delivery of hydrophobic molecules.,Carbohydrate Polymers,Elsevier BV,2026,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.carbpol.2025.124499,1
10.3390/pharmaceutics18020220,Impact of Drug Hydrophilicity on Transdermal Delivery by Nanoemulsions.,Pharmaceutics,MDPI AG,2026,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.3390/pharmaceutics18020220,2
10.1208/s12249-026-03373-y,Personalized 3D-Printed Finger Splints Derived from CT Data Incorporating Multi-Drug Bilayer Nanofiber Delivery Systems.,AAPS PharmSciTech,Springer Science and Business Media LLC,2026,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1208/s12249-026-03373-y,3
10.1016/j.ijpharm.2024.125102,Spatial separation of different drug substances in one microneedle array patch by combining inkjet printing and micromolding technology.,International Journal of Pharmaceutics,Elsevier BV,2025,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.ijpharm.2024.125102,4
10.1016/j.xphs.2025.103837,Validating Otto: a Franz diffusion cell autosampler to automate in vitro permeation studies.,Journal of Pharmaceutical Sciences,Elsevier BV,2025,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.xphs.2025.103837,5
10.1016/j.ejps.2024.106726,Equivalence assessment of creams with quali-quantitative differences in light of the EMA and FDA regulatory framework.,European Journal of Pharmaceutical Sciences,Elsevier BV,2024,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.ejps.2024.106726,6
10.1208/s12249-024-02831-9,"Evaluation of Emulgel and Nanostructured Lipid Carrier-Based Gel Formulations for Transdermal Administration of Ibuprofen: Characterization, Mechanical Properties, and Ex-Vivo Skin Permeation.",AAPS PharmSciTech,Springer Science and Business Media LLC,2024,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1208/s12249-024-02831-9,7
10.1016/j.scitotenv.2023.169863,"Occurrence and fate of CECs (OMPs, ARGs and pathogens) during decentralised treatment of black water and grey water.",Science of The Total Environment,Elsevier BV,2024,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.scitotenv.2023.169863,8
10.1016/j.fitote.2024.106273,"Two new flavonoids from the leaves of Garcinia smeathmannii, in vitro and in silico anti-inflammatory potentials.",Fitoterapia,Elsevier BV,2024,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.fitote.2024.106273,9
10.1016/j.ijpharm.2023.122720,3D-printed EVA-based patches manufactured by direct powder extrusion for personalized transdermal therapies.,International Journal of Pharmaceutics,Elsevier BV,2023,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.ijpharm.2023.122720,10
10.3390/molecules28227523,Exploring Alkyl Ester Salts of L-Amino Acid Derivatives of Ibuprofen: Physicochemical Characterization and Transdermal Potential.,Molecules,MDPI AG,2023,now_oa,"error: ['failed_download:pdf', 'failed_download:pdf']",crossref_oa,https://www.mdpi.com/1420-3049/28/22/7523/pdf?version=1699609378,11
10.1016/j.ejpb.2023.02.017,Exposure to a rotating magnetic field as a method of increasing the skin permeability of active pharmaceutical ingredients.,European Journal of Pharmaceutics and Biopharmaceutics,Elsevier BV,2023,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.ejpb.2023.02.017,12
10.1016/j.ejpb.2023.05.003,Increase of ibuprofen penetration through the skin by forming ion pairs with amino acid alkyl esters and exposure to the electromagnetic field.,European Journal of Pharmaceutics and Biopharmaceutics,Elsevier BV,2023,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.ejpb.2023.05.003,13
10.15586/aei.v50i1.382,Drug reexposure in children with severe mucocutaneous reactions.,Allergologia et Immunopathologia,Codon Publications,2022,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.15586/aei.v50i1.382,14
10.1080/21691401.2021.1883043,Prevention of peritoneal adhesions formation by core-shell electrospun ibuprofen-loaded PEG/silk fibrous membrane.,"Artificial Cells, Nanomedicine, and Biotechnology",Informa UK Limited,2022,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1080/21691401.2021.1883043,15
10.1177/22808000211005383,Ibuprofen-loaded biocompatible latex membrane for drug release: Characterization and molecular modeling.,Journal of Applied Biomaterials &amp; Functional Materials,SAGE Publications,2021,now_oa,"error: ['failed_download:pdf', 'failed_download:pdf']",crossref_oa,https://journals.sagepub.com/doi/pdf/10.1177/22808000211005383,16
10.20944/preprints202011.0194.v1,One Step E-Beam Radiation Cross-Linking of Quaternary Hydrogels Dressings Based on Chitosan-Poly(Vinyl-Pyrrolidone)-Poly(ethylene Glycol)-Poly(Acrylic Acid),,MDPI AG,2020,now_oa,"error: ['failed_download:pdf', 'failed_download:pdf']",crossref_oa,https://www.preprints.org/manuscript/202011.0194/v1/download,17
