doi,title,journal,year,miss_reason,phase0a_oa
10.1002/bdd.2194,Hydrogel increases diclofenac skin permeation and absorption.,Biopharmaceutics &amp; Drug Disposition,2019,wrong_api_keyword,True
10.1007/s10856-025-06965-5,Application of chitosan-based nanogels for dermal and transdermal delivery systems.,Journal of Materials Science: Materials in Medicine,2025,wrong_api_keyword,True
10.1007/s13346-021-01077-3,Microneedle-based insulin transdermal delivery system: current status and translation challenges.,Drug Delivery and Translational Research,2022,wrong_method_keyword,True
10.1016/j.ajps.2024.101012,Deep-insights: Nanoengineered gel-based localized drug delivery for arthritis management.,Asian Journal of Pharmaceutical Sciences,2025,wrong_method_keyword,True
10.1016/j.bioactmat.2026.03.054,Next-generation epidermal patches: Bridging 3D and multidimensional printing for biomedical and personal care innovations.,Bioactive Materials,2026,wrong_method_keyword,True
10.1016/j.ejpb.2011.06.006,Bioadhesive film formed from a novel organic-inorganic hybrid gel for transdermal drug delivery system.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2011,wrong_api_keyword,False
10.1016/j.ejpb.2015.09.007,Novel nanostructured supramolecular hydrogels for the topical delivery of anionic drugs.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2015,wrong_api_keyword,False
10.1016/j.jconrel.2018.07.009,Hydrogel-forming microneedles enhance transdermal delivery of metformin hydrochloride.,Journal of Controlled Release,2018,wrong_api_keyword,True
10.1016/j.jseint.2021.09.006,Efficacy of transdermal 4% lidocaine patches for postoperative pain management after arthroscopic rotator cuff repair: a prospective trial.,JSES International,2022,wrong_method_keyword,True
10.1016/j.mex.2023.102025,Two-photon polymerization based reusable master template to fabricate polymer microneedles for drug delivery.,MethodsX,2023,wrong_method_keyword,True
10.1016/s0378-5173(99)00340-3,The influence of the physicochemical characteristics and pharmacokinetic properties of selected NSAID's on their transdermal absorption.,International journal of pharmaceutics,2000,wrong_method_keyword,False
10.1021/acsmaterialsau.5c00109,Investigation of Transdermal Drug Delivery and In Vivo Pharmacokinetics of Choline Ketoprofen Ionic Liquid.,ACS Materials Au,2026,wrong_api_keyword,True
10.1038/s41598-024-71456-6,"Follicular mediated etodolac phosalosomal gel for contact dermatitis alleviation, insights from optimization to in-vivo appraisal.",Scientific Reports,2024,wrong_api_keyword,True
10.1038/s41598-025-27205-4,Ternary phase optimized indomethacin nanoemulsion hydrogel for sustained topical delivery and improved biological efficacy.,Scientific Reports,2025,wrong_api_keyword,True
