record_id,paper_doi,vehicle_signature,ethanol_vv,PG_vv,water_vv,MO_vv,MG_vv,total_polar_vv,total_apolar_vv,log10_solubility,J_mean,log10_J_mean,split
record_2abb314c7b9a,10.1159/000183922,0:0:100:0:0,0,0,100,0,0,100,0,-1.045757491,186,2.269512944,train
record_c5c947facd5e,10.1159/000183922,25:0:75:0:0,25,0,75,0,0,100,0,2.53529412,420,2.62324929,train
record_9d951ad8e97f,10.1159/000183922,50:0:50:0:0,50,0,50,0,0,100,0,2.656098202,916,2.961895474,train
record_6addda23f9bf,10.1159/000183922,75:0:25:0:0,75,0,25,0,0,100,0,2.689308859,945,2.975431809,train
record_3a82944abc56,10.1159/000183922,100:0:0:0:0,100,0,0,0,0,100,0,2.698970004,1495,3.174641193,train
record_b178d612dacc,10.1159/000231528,0:0:100:0:0,0,0,100,0,0,100,0,-1.046,185.58,2.26853117,train
record_50358ab6a9ca,10.1159/000231528,0:10:90:0:0,0,10,90,0,0,100,0,-0.7217,225.48,2.353108026,train
record_fbbd43bde2f5,10.1159/000231528,0:20:80:0:0,0,20,80,0,0,100,0,-0.3974,229.58,2.360934052,train
record_937d3e534888,10.1159/000231528,0:30:70:0:0,0,30,70,0,0,100,0,-0.0731,216.08,2.334614571,train
record_9002f53353a8,10.1159/000231528,0:40:60:0:0,0,40,60,0,0,100,0,0.2512,277.18,2.44276189,train
record_3738ac92928d,10.1159/000231528,0:60:40:0:0,0,60,40,0,0,100,0,0.8998,355.48,2.550815171,train
record_bc629b7ee4f2,10.1159/000231528,0:70:30:0:0,0,70,30,0,0,100,0,1.2241,443.38,2.646776099,train
record_8308d93e2200,10.1159/000231528,0:80:20:0:0,0,80,20,0,0,100,0,1.5484,245.28,2.389662138,train
record_d1ff98d4c972,10.1159/000231528,0:90:10:0:0,0,90,10,0,0,100,0,1.8727,219.68,2.34179052,train
record_f34719333f70,10.1159/000231528,0:100:0:0:0,0,100,0,0,0,100,0,2.197,297.18,2.473019578,train
record_6b4ab72b9a59,10.1159/000231528,25:25:50:0:0,25,25,50,0,0,100,0,3.126456113,525.88,2.720886654,train
record_073219db157b,10.1159/000231528,50:25:25:0:0,50,25,25,0,0,100,0,3.466571072,641.18,2.806979967,train
record_cb52be540c78,10.1159/000315139,0:0:0:0:100,0,0,0,0,100,0,100,2.180699201,623.88,2.795101063,test
record_727c284f387d,10.1159/000315139,0:0:0:10:90,0,0,0,10,90,0,100,2.202525473,439.98,2.643432935,test
record_d89ce76d4e73,10.1159/000315139,0:0:0:20:80,0,0,0,20,80,0,100,2.224351745,569.68,2.755630973,test
record_fd14bfeef86b,10.1159/000315139,0:0:0:30:70,0,0,0,30,70,0,100,2.097326736,573.58,2.758594,test
record_251b349f4982,10.1159/000315139,0:0:0:40:60,0,0,0,40,60,0,100,2.146717036,409.48,2.612232695,test
record_7c57e0a8f5f4,10.1159/000315139,0:0:0:50:50,0,0,0,50,50,0,100,2.105081494,311.98,2.494126754,test
record_00cea63f02f2,10.1159/000315139,0:0:0:60:40,0,0,0,60,40,0,100,2.063445953,675.18,2.829419569,test
record_5aa5cbaf50a8,10.1159/000315139,0:0:0:70:30,0,0,0,70,30,0,100,1.933132824,646.98,2.810890856,test
record_7f58f7aeb93b,10.1159/000315139,0:0:0:80:20,0,0,0,80,20,0,100,1.729245807,519.18,2.715317954,test
record_efe20315f4cc,10.1159/000315139,0:0:0:90:10,0,0,0,90,10,0,100,1.772761647,457.08,2.659992219,test
record_0ae15e6cd56d,10.1159/000315139,0:0:0:100:0,0,0,0,100,0,0,100,1.50501424,579.48,2.763038451,test
