k,feature_set,repeat_idx,child_seed,rmse_logJ,mae_logJ,bias_logJ,spearman_rho,pearson_r,within_2x_ratio,top3_hit,test_n
3,composition_only,0,2684470948,0.1890957598,0.1588931774,0.1588931774,0.6833333333,0.7820501961,0.8888888889,0.6666666667,9
3,composition_only,1,4091952314,0.1513690731,0.1210163835,0.08802787467,0.6666666667,0.6912282088,1,0.6666666667,9
3,composition_only,2,233227757,0.1045709672,0.07937830398,-0.03801731477,0.6666666667,0.8227801876,1,0.6666666667,9
3,composition_only,3,3276785861,0.1162307769,0.09481303515,-0.01365079116,-0.7666666667,-0.6652026848,1,0,9
3,composition_only,4,3644269654,0.1029365873,0.08597358928,-0.01654539733,0.4666666667,0.7026514236,1,0.3333333333,9
3,composition_only,5,1206282609,0.1752145319,0.1414284387,0.1281716625,0.5666666667,0.5384940646,0.8888888889,0.6666666667,9
3,composition_only,6,3543069911,0.1212798562,0.1079528168,0.08282338979,0.6166666667,0.7788948822,1,0.3333333333,9
3,composition_only,7,3479688010,0.1817639067,0.1410121065,0.1274892131,0.55,0.6704771586,0.8888888889,0.3333333333,9
3,composition_only,8,877132087,0.1159993527,0.08426302422,-0.06871146568,0.6666666667,0.8144256561,1,0.6666666667,9
3,composition_only,9,1244265337,0.1080412242,0.09102725562,-0.01504155814,0.5833333333,0.7388463511,1,0.3333333333,9
3,composition_only,10,2740186692,0.1209757157,0.1002159293,0.05402420982,0.7333333333,0.7900607218,1,0.6666666667,9
3,composition_only,11,3884972972,0.1014407719,0.08262411671,0.02388429856,0.6166666667,0.8275900239,1,0.6666666667,9
3,composition_only,12,829139639,0.1126759583,0.09094714406,-0.03142597777,0.75,0.7981493913,1,0.6666666667,9
3,composition_only,13,2545567356,0.2159811723,0.175180198,0.175180198,0.5666666667,0.6568227893,0.6666666667,0.6666666667,9
3,composition_only,14,2718398101,0.1130249635,0.09807741169,0.08925953045,0.7166666667,0.8966490376,1,0.6666666667,9
3,composition_only,15,176092387,0.158875937,0.1182154898,0.1023568456,0.6,0.7235881098,0.8888888889,0.3333333333,9
3,composition_only,16,3528048386,0.1261799128,0.1024454303,-0.06010254913,0.1333333333,0.7681347452,1,0.6666666667,9
3,composition_only,17,569531098,0.1104415425,0.08777389659,-0.03329903057,0.8833333333,0.8091352121,1,0.6666666667,9
3,composition_only,18,1337295874,0.1738242538,0.1467815605,0.134646891,0.7166666667,0.7874629292,0.8888888889,0.6666666667,9
3,composition_only,19,612016888,0.100497125,0.08251845303,0.01882441519,0.8333333333,0.8484333793,1,0.6666666667,9
3,composition_only,20,232150720,0.1186345742,0.09720089884,-0.04733892397,0.6666666667,0.6952638051,1,0.3333333333,9
3,composition_only,21,2324106676,0.1151549478,0.08784462087,-0.02894766165,-0.2,0.7214197455,1,0.3333333333,9
3,composition_only,22,1658700540,0.1084396037,0.09746155621,0.01172397945,0.75,0.8198476376,1,0.6666666667,9
3,composition_only,23,609942288,0.1265716269,0.1026849084,-0.05772939464,0.6166666667,0.6411164344,1,0.3333333333,9
3,composition_only,24,3405943863,0.1082733174,0.09688911559,0.01005111454,0.75,0.820962572,1,0.6666666667,9
3,composition_only,25,2257503667,0.08254682466,0.06617083275,0.02092394527,0.9333333333,0.9030391457,1,0.6666666667,9
3,composition_only,26,4018327298,0.271439417,0.2233680975,0.2233680975,0.5,0.502877128,0.6666666667,0.3333333333,9
3,composition_only,27,2224437599,0.178021466,0.1447479246,0.1320350301,0.6833333333,0.7409188491,0.8888888889,0.3333333333,9
3,composition_only,28,168388230,0.1020863557,0.08552787013,-0.003847804072,0.6166666667,0.8128618919,1,0.6666666667,9
3,composition_only,29,911875363,0.1051029943,0.09317517281,0.06259999709,0.7166666667,0.8098536416,1,0.6666666667,9
3,composition_only,30,3699796293,0.1105698112,0.08393623011,-0.04274054747,0.9,0.8153877603,1,0.6666666667,9
3,composition_only,31,3195154224,0.120608769,0.09726372919,-0.05569234258,0.75,0.7866230439,1,0.6666666667,9
3,composition_only,32,3621210587,0.143312868,0.1256773738,0.08997942925,0.8,0.7928966637,1,0.6666666667,9
3,composition_only,33,1945778437,0.1449700918,0.1160136055,-0.08445569581,0.06666666667,0.5489951077,1,0.3333333333,9
3,composition_only,34,2384190687,0.1442405151,0.1135618706,-0.08618552714,0.06666666667,0.5679940068,1,0.3333333333,9
3,composition_only,35,3249086786,0.1039502861,0.07024475954,-0.04767962863,0.7666666667,0.7896114304,1,0.3333333333,9
3,composition_only,36,439485575,0.1151549478,0.08784462087,-0.02894766165,-0.2,0.7214197455,1,0.3333333333,9
3,composition_only,37,2217192537,0.1026681696,0.08095188487,0.03712419018,0.8666666667,0.808458711,1,0.6666666667,9
3,composition_only,38,3412522237,0.08771109713,0.06117691791,-0.02292101334,0.8666666667,0.8639685404,1,0.6666666667,9
3,composition_only,39,555567425,0.1365511817,0.1098755208,-0.07966672906,0.25,0.7559581666,1,0.6666666667,9
3,composition_only,40,3399977417,0.1111433342,0.0921463636,-0.02069569574,0.7833333333,0.8004920873,1,0.6666666667,9
3,composition_only,41,2903099886,0.1085927547,0.09386085217,0.03806980855,0.75,0.8457128198,1,0.6666666667,9
3,composition_only,42,151712926,0.271439417,0.2233680975,0.2233680975,0.5,0.502877128,0.6666666667,0.3333333333,9
3,composition_only,43,1207582415,0.1226269957,0.1028028601,-0.03352138232,0.1666666667,0.7540536372,1,0.6666666667,9
3,composition_only,44,2486821540,0.1235885412,0.09792169206,-0.04516021201,0.2166666667,0.7604268734,1,0.6666666667,9
3,composition_only,45,1259821421,0.09779874856,0.07511910408,-0.005975623967,0.9,0.84173982,1,0.6666666667,9
