pair_id,paper_doi,vehicle_signature,silicone_J_mean,silicone_J_sd,silicone_log10_J,skin_J_mean,skin_J_sd,skin_log10_J,is_pure_ethanol_system,include_in_excluded_etoh_subset
183922_0:0:100:0:0,10.1159/000183922,0:0:100:0:0,186,11,2.269512944,24,2.7,1.380211242,False,True
183922_100:0:0:0:0,10.1159/000183922,100:0:0:0:0,1495,116,3.174641193,60,24,1.77815125,True,False
183922_25:0:75:0:0,10.1159/000183922,25:0:75:0:0,420,2.5,2.62324929,48,19,1.681241237,False,True
183922_50:0:50:0:0,10.1159/000183922,50:0:50:0:0,916,79,2.961895474,274,33,2.437750563,False,True
183922_75:0:25:0:0,10.1159/000183922,75:0:25:0:0,945,61,2.975431809,293,24,2.46686762,False,True
231528_0:0:100:0:0,10.1159/000231528,0:0:100:0:0,185.58,10.94,2.26853117,24.48,2.69,1.388811413,False,True
231528_0:100:0:0:0,10.1159/000231528,0:100:0:0:0,297.18,29.43,2.473019578,133.88,36.1,2.126715704,False,True
231528_25:25:50:0:0,10.1159/000231528,25:25:50:0:0,525.88,37.3,2.720886654,77.68,9.04,1.890309217,False,True
231528_50:25:25:0:0,10.1159/000231528,50:25:25:0:0,641.18,4.1,2.806979967,203.58,36.24,2.30873511,False,True
315139_0:0:0:0:100,10.1159/000315139,0:0:0:0:100,623.88,67.7,2.795101063,93.68,19.1,1.971646882,False,True
315139_0:0:0:100:0,10.1159/000315139,0:0:0:100:0,579.48,35.3,2.763038451,83.18,9.2,1.920018916,False,True
315139_0:0:0:50:50,10.1159/000315139,0:0:0:50:50,311.98,33.8,2.494126754,64.58,15.2,1.810098041,False,True
