stage,bucket,count
access_status,downloaded,228
access_status,error,1
access_status,resolved,85
access_status,unresolved,220
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,cannot_determine_specific_extractable_evidence_from_the_provided_document_text,1
route_unresolved_reason,cannot_extract_evidence_due_to_insufficient_information_in_the_document,1
route_unresolved_reason,content_appears_largely_unstructured_and_unreachable_for_specific_extraction,1
route_unresolved_reason,content_does_not_provide_sufficient_extractable_evidence,1
route_unresolved_reason,content_extraction_may_need_further_context_from_the_full_document,1
route_unresolved_reason,content_from_page_1_primarily_relates_to_website_navigation_and_does_not_include,1
route_unresolved_reason,content_in_the_extract_does_not_provide_clear_evidence_regarding_endpoints_or_fo,1
route_unresolved_reason,content_not_accessible_seems_like_an_interface_issue,1
route_unresolved_reason,document_appears_to_be_an_early_page_or_introductory_material_lacking_specific_d,1
route_unresolved_reason,document_content_does_not_provide_extractable_evidence_related_to_ibuprofen_or_d,1
route_unresolved_reason,document_content_primarily_pertains_to_permeation_enhancers_and_does_not_explici,1
route_unresolved_reason,document_content_unavailable_check_pdf_for_details,1
route_unresolved_reason,document_does_not_provide_extractable_evidence_regarding_ibuprofen_or_relevant_f,1
route_unresolved_reason,document_does_not_provide_relevant_evidence_for_ibuprofen_formulation,1
route_unresolved_reason,document_text_is_not_accessible,1
route_unresolved_reason,evidence_extraction_details_are_limited_specific_endpoint_and_formulation_detail,1
route_unresolved_reason,evidence_extraction_details_are_not_available_from_the_provided_document_excerpt,1
route_unresolved_reason,evidence_extraction_route_remains_unclear_due_to_lacking_defined_sections,1
route_unresolved_reason,extractable_evidence_is_limited_based_on_the_provided_document_excerpt,1
route_unresolved_reason,extractable_evidence_regarding_ibuprofen_is_present_but_specifics_on_methodologi,1
route_unresolved_reason,extraction_carrier_and_details_unclear_due_to_insufficient_text,1
route_unresolved_reason,extraction_details_are_vague_and_not_enough_structured_evidence_is_available,1
route_unresolved_reason,extraction_of_information_is_limited_based_on_available_context,1
route_unresolved_reason,first_page_contains_no_relevant_information,1
route_unresolved_reason,further_details_about_the_formulations_and_study_setup_may_be_missing_making_ext,1
route_unresolved_reason,further_details_on_extraction_routes_need_to_be_clarified_as_document_content_is,1
route_unresolved_reason,initial_evidence_extraction_route_unclear_due_to_insufficient_information_in_pro,1
route_unresolved_reason,initial_findings_from_a_randomized_controlled_trial_on_a_dermal_formulation,1
route_unresolved_reason,initial_pages_do_not_contain_relevant_data_for_evidence_extraction,1
route_unresolved_reason,initial_pages_mostly_contain_menu_and_disclaimers_no_extractable_evidence_found,1
route_unresolved_reason,insufficient_content_available_for_detailed_extraction,1
route_unresolved_reason,insufficient_data_retrieved_from_the_provided_source,1
route_unresolved_reason,insufficient_details_available_for_concrete_extraction,1
route_unresolved_reason,insufficient_evidence_available_page_content_is_related_to_europe_pmc_interface_,1
route_unresolved_reason,insufficient_evidence_for_extraction,1
route_unresolved_reason,insufficient_information_available_from_the_document_text,1
route_unresolved_reason,insufficient_information_available_to_extract_evidence_related_to_ibuprofen_and_,1
route_unresolved_reason,insufficient_information_available_to_extract_relevant_evidence,1
route_unresolved_reason,insufficient_information_for_extraction,1
route_unresolved_reason,insufficient_information_in_the_document_to_determine_extraction_details,1
route_unresolved_reason,insufficient_information_in_the_provided_text_to_extract_relevant_evidence,1
route_unresolved_reason,insufficient_information_to_determine_relevant_extraction_routes,1
route_unresolved_reason,missing_structured_and_pdf_router_source,229
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,69
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,4
route_unresolved_reason,no_additional_context_or_specifics_captured_from_the_pages_provided,1
route_unresolved_reason,no_clear_evidence_extraction_possible_from_the_provided_page_further_information,1
route_unresolved_reason,no_clear_extractable_evidence_found_from_the_provided_text,1
route_unresolved_reason,no_evidence_of_ibuprofen_or_diffusion_cell_mentioned_in_the_document,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_diffusion_cells_or_formulations_found_in_the_pr,1
route_unresolved_reason,no_extractable_evidence_found,1
route_unresolved_reason,no_extractable_evidence_found_from_the_document,1
route_unresolved_reason,no_extractable_evidence_found_in_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_related_to_ibuprofen_or_relevant_diffusion_cell_me,1
route_unresolved_reason,no_extractable_evidence_identified_from_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_or_specific_analytical_methods,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_was_found_in_the_document,1
route_unresolved_reason,no_information_regarding_ibuprofen_or_diffusion_cells_is_present_in_the_document,1
route_unresolved_reason,no_mention_of_ibuprofen_or_relevant_extraction_evidence_found,1
route_unresolved_reason,no_relevant_content_extracted_from_the_provided_text,1
route_unresolved_reason,no_relevant_content_found_related_to_ibuprofen_or_diffusion_studies,1
route_unresolved_reason,no_relevant_data_extracted_from_the_provided_document,1
route_unresolved_reason,no_relevant_data_found_in_the_provided_content,1
route_unresolved_reason,no_relevant_evidence_extractable_from_the_text_provided_unclear_details_about_th,1
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_evidence_found_related_to_ibuprofen_or_dermal_formulation,1
route_unresolved_reason,no_relevant_evidence_found_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_on_ibuprofen_or_dermal_application_found_in_the_provided_ex,1
route_unresolved_reason,no_relevant_evidence_on_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_evidence_pertaining_to_ibuprofen_dermal_formulation_found_in_the_pro,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_dermal_formulations_found,1
route_unresolved_reason,no_relevant_extractable_evidence_related_to_ibuprofen_or_its_dermal_formulations,1
route_unresolved_reason,no_relevant_extraction_evidence_found_document_content_primarily_consists_of_nav,1
route_unresolved_reason,no_relevant_extraction_evidence_found_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_extraction_sources_in_the_provided_document_sections,1
route_unresolved_reason,no_relevant_information_extracted_from_the_provided_text,1
route_unresolved_reason,no_relevant_information_for_ibuprofen_dermal_formulations,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_information_identified_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_dermal_formulations_found,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_diffusion_cells_found,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_diffusion_cell_extraction_found_o,1
route_unresolved_reason,no_specific_evidence_extractable_from_provided_content,1
route_unresolved_reason,no_specific_evidence_found_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_specific_evidence_related_to_ibuprofen_or_diffusion_cells_found_in_the_excerp,1
route_unresolved_reason,no_specific_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_specific_extraction_points_identified_in_the_provided_text,1
route_unresolved_reason,not_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,only_contains_introductory_and_navigation_information,1
route_unresolved_reason,paper_discusses_a_zn_based_mof_no_relevant_details_related_to_ibuprofen_or_skin_,1
route_unresolved_reason,paper_discusses_emerging_contaminants_and_pharmaceuticals_but_does_not_focus_on_,1
route_unresolved_reason,paper_discusses_nonsteroidal_anti_inflammatory_drugs_but_does_not_provide_specif,1
route_unresolved_reason,source_document_provides_limited_information,1
route_unresolved_reason,the_content_does_not_provide_enough_details_to_extract_relevant_evidence,1
route_unresolved_reason,the_content_from_the_provided_document_does_not_indicate_the_presence_of_ibuprof,1
route_unresolved_reason,the_content_from_the_provided_source_does_not_contain_relevant_information_regar,1
route_unresolved_reason,the_content_is_not_related_to_dermal_formulations_or_ibuprofen,1
route_unresolved_reason,the_content_provided_does_not_contain_relevant_information_regarding_ibuprofen_o,1
route_unresolved_reason,the_document_appears_to_be_an_article_discussing_the_effects_of_cyclooxygenase_i,1
route_unresolved_reason,the_document_appears_to_be_unrelated_to_oa_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,the_document_appears_to_focus_on_skin_cancers_and_molecular_mechanisms_not_ibupr,1
route_unresolved_reason,the_document_contains_no_relevant_extractable_evidence_related_to_ibuprofen_or_d,1
route_unresolved_reason,the_document_content_does_not_provide_extractable_evidence_relevant_to_the_speci,1
route_unresolved_reason,the_document_does_not_appear_to_be_related_to_oa_or_ibuprofen_formulations,1
route_unresolved_reason,the_document_does_not_appear_to_contain_relevant_information_on_ibuprofen_or_dif,1
route_unresolved_reason,the_document_does_not_contain_clear_evidence_related_to_ibuprofen_or_diffusion_c,1
route_unresolved_reason,the_document_does_not_contain_detectable_evidence_related_to_ibuprofen_or_diffus,1
route_unresolved_reason,the_document_does_not_contain_extractable_clinical_data_related_to_ibuprofen_or_,1
route_unresolved_reason,the_document_does_not_contain_extractable_evidence_related_to_ibuprofen_dermal_f,1
route_unresolved_reason,the_document_does_not_mention_ibuprofen_or_diffusion_cells_and_no_endpoints_are_,1
route_unresolved_reason,the_document_does_not_mention_ibuprofen_or_relevant_diffusion_studies,1
route_unresolved_reason,the_document_does_not_provide_adequate_information_for_specific_extraction_route,1
route_unresolved_reason,the_document_does_not_provide_clear_evidence_related_to_the_extraction_requireme,1
route_unresolved_reason,the_document_does_not_provide_extractable_evidence_related_to_ibuprofen_or_diffu,1
route_unresolved_reason,the_document_does_not_provide_relevant_extraction_details,1
route_unresolved_reason,the_document_does_not_provide_relevant_information_for_the_extraction_process_re,1
route_unresolved_reason,the_document_does_not_provide_relevant_information_regarding_ibuprofen_or_its_de,1
route_unresolved_reason,the_document_does_not_provide_relevant_information_related_to_ibuprofen_or_derma,1
route_unresolved_reason,the_document_does_not_provide_specific_extractable_evidence_related_to_ibuprofen,1
route_unresolved_reason,the_document_is_mostly_metadata_and_does_not_provide_the_relevant_experimental_o,1
route_unresolved_reason,the_document_lacks_specific_data_related_to_ibuprofen_or_relevant_diffusion_cell,1
