stage,bucket,count
figure_stage,digitization_no_output,3
figure_stage,digitized_curves,20
figure_stage,digitized_endpoints_failed,7
figure_stage,digitized_endpoints_ok,20
figure_stage,mapped_curves,7
figure_stage,triage_artifacts,19
figure_stage,triage_digitize_candidates,18
figure_stage,triage_has_permeation_plot_true,18
figure_stage,unmapped_curves,13
figure_stage,vlm_readings_readable,31
figure_stage,vlm_readings_total,31
figure_stage,vlm_used_as_final,14
figure_gate,skipped:missing_explicit_figure_signal,7
figure_gate,routed_candidates,28
figure_gate,after_gate,21
figure_triage_route,digitize,18
figure_triage_route,skip,1
figure_has_permeation_plot,false,1
figure_has_permeation_plot,true,18
figure_triage_signal,digitizable:no,1
figure_triage_signal,endpoint_curve_present:no,3
figure_triage_signal,recommended_route:skip,1
figure_triage_signal,ticks_readable:uncertain,7
figure_triage_signal,why_not_digitizable:data_is_not_presented_as_a_continuous_curve_suitable_for_digitization_it_consist,1
figure_digitization_status,digitization_no_output,3
figure_digitization_status,fail_missing_axis_range,4
figure_digitization_status,ok,20
figure_digitization_failure,digitization_no_output,3
figure_digitization_failure,fail_missing_axis_range,4
figure_mapping_status,underconstrained_labels,13
figure_mapping_status,vision_mapped,7
figure_mapping_failure,underconstrained_label_space_2_curves_1_labels,2
figure_mapping_failure,underconstrained_label_space_3_curves_2_labels,3
figure_mapping_failure,underconstrained_label_space_4_curves_2_labels,8
figure_vlm_grounding_status,figure_label_space,2
figure_vlm_grounding_status,figure_label_space_only,11
figure_vlm_grounding_status,source_label_space,5
figure_vlm_grounding_status,ungrounded,13
figure_vlm_reconciliation_status,cv_only,14
figure_vlm_reconciliation_status,cv_vlm_agree,1
figure_vlm_reconciliation_status,cv_vlm_disagreement,2
figure_vlm_reconciliation_status,vlm_only,14
verification_route:figure,ambiguous_api_concentration,23
verification_route:figure,figure_digitization_failed,2
verification_route:figure,insufficient_evidence,28
verification_route:figure,missing_api_concentration,1
verification_route:figure,missing_area,15
verification_route:figure,missing_endpoint,4
verification_route:figure,not_target_api,8
verification_route:figure,not_target_api_concentration,6
verification_route:figure,not_target_device,1
verification_route:figure,not_target_study_type,9
verification_route:figure,percent_only,7
verification_route:figure,unit_normalization_failed,2
verification_route:mixed,ambiguous_api_concentration,5
verification_route:mixed,figure_digitization_failed,1
verification_route:mixed,insufficient_evidence,22
verification_route:mixed,missing_api_concentration,1
verification_route:mixed,missing_area,3
verification_route:mixed,missing_endpoint,3
verification_route:mixed,not_target_api_concentration,1
verification_route:table,ambiguous_api_concentration,14
verification_route:table,insufficient_evidence,13
verification_route:table,missing_api_concentration,4
verification_route:table,missing_area,1
verification_route:table,not_target_api,5
verification_route:table,not_target_api_concentration,4
verification_route:table,not_target_study_type,2
verification_route:text,insufficient_evidence,10
verification_route:text,not_target_device,2
