stage,bucket,count
access_status,downloaded,290
access_status,error,13
access_status,unresolved,230
access_reason,failed_download_html,2
access_reason,failed_download_pdf,21
access_reason,resolve_error_connectionerror,1
access_reason,seed_pdf_url_from_metadata,8
route_unresolved_reason,additional_information_from_the_paper_is_required_to_provide_complete_extraction,1
route_unresolved_reason,contains_relevant_information_on_ibuprofen_composites,1
route_unresolved_reason,content_does_not_provide_specific_evidence_related_to_ibuprofen_or_diffusion_stu,1
route_unresolved_reason,content_extracted_from_the_source_could_not_be_determined_due_to_lack_of_identif,1
route_unresolved_reason,content_primarily_about_synthetic_evaluation_relevance_to_ibuprofen_formulation_,1
route_unresolved_reason,content_primarily_consists_of_web_navigation_elements_no_extractable_content_rel,1
route_unresolved_reason,document_consists_mainly_of_navigation_details_and_does_not_provide_relevant_stu,1
route_unresolved_reason,document_contains_no_extractable_evidence_regarding_specific_formulations_or_end,1
route_unresolved_reason,document_content_unavailable_for_extraction,1
route_unresolved_reason,document_does_not_contain_evidence_beyond_preliminary_information,1
route_unresolved_reason,document_does_not_contain_explicit_references_to_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,document_does_not_contain_relevant_information_related_to_ibuprofen_or_dermal_fo,1
route_unresolved_reason,document_does_not_provide_relevant_extractable_evidence_regarding_dermal_formula,1
route_unresolved_reason,document_doesn_t_appear_to_contain_relevant_data_on_ibuprofen_dermal_formulation,1
route_unresolved_reason,document_lacks_relevant_information_for_extraction,1
route_unresolved_reason,document_text_does_not_provide_explicit_evidence_related_to_ibuprofen_or_diffusi,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_the_document_not_containing_clear_indicati,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_the_lack_of_specific_details_in_the_provid,1
route_unresolved_reason,evidence_extraction_is_unclear_lacks_explicit_details_on_formulations_and_endpoi,1
route_unresolved_reason,evidence_extraction_needs_further_details,1
route_unresolved_reason,evidence_extraction_not_applicable_as_no_relevant_content_found_in_the_provided_,1
route_unresolved_reason,extraction_route_is_uncertain_due_to_lack_of_specific_details_in_the_text,1
route_unresolved_reason,extraction_route_not_possible_due_to_insufficient_references_to_ibuprofen_or_rel,1
route_unresolved_reason,further_details_required_to_clarify_the_specific_extraction_points_regarding_ibu,1
route_unresolved_reason,information_extraction_is_limited_due_to_the_lack_of_structured_content_in_the_p,1
route_unresolved_reason,information_from_the_document_is_insufficient_to_determine_specific_extraction_r,1
route_unresolved_reason,information_limited_further_detail_extraction_needed_from_the_full_document,1
route_unresolved_reason,initial_analysis_suggests_a_focus_on_ibuprofen_in_a_synoviocyte_model_but_lacks_,1
route_unresolved_reason,initial_findings_from_a_randomized_controlled_clinical_investigation_involving_b,1
route_unresolved_reason,initial_page_contains_no_relevant_extractable_information,1
route_unresolved_reason,insufficient_content_available_to_extract_relevant_evidence,1
route_unresolved_reason,insufficient_content_for_specific_evidence_extraction_document_lacks_detailed_me,1
route_unresolved_reason,insufficient_content_provided_to_determine_evidence_extraction,1
route_unresolved_reason,insufficient_data_available_in_the_document_for_further_categorization,1
route_unresolved_reason,insufficient_detail_to_extract_specific_evidence_regarding_ibuprofen_or_formulat,1
route_unresolved_reason,insufficient_evidence_and_specific_references_to_ibuprofen_or_relevant_data,1
route_unresolved_reason,insufficient_evidence_from_the_provided_text_to_determine_specific_details,1
route_unresolved_reason,insufficient_evidence_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,insufficient_evidence_related_to_ibuprofen_or_diffusion_cell_in_the_document,1
route_unresolved_reason,insufficient_extractable_evidence_in_provided_text,1
route_unresolved_reason,insufficient_information_extracted_from_the_document,1
route_unresolved_reason,insufficient_information_for_data_extraction,1
route_unresolved_reason,insufficient_information_for_extraction,1
route_unresolved_reason,insufficient_information_in_the_document_for_extraction,1
route_unresolved_reason,insufficient_information_provided_to_extract_specific_details_about_study_or_fin,1
route_unresolved_reason,insufficient_information_to_determine_specific_evidence_details,1
route_unresolved_reason,insufficient_information_to_extract_relevant_evidence,1
route_unresolved_reason,investigates_permeation_promoters_for_ibuprofen_delivery,1
route_unresolved_reason,metadata_indicates_study_on_transdermal_delivery_of_ibuprofen_with_novel_adhesiv,1
route_unresolved_reason,missing_structured_and_pdf_router_source,241
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_local_captcha_blocked_html,65
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_unresolved_reason,no_clear_evidence_extraction_points_identified_due_to_initial_page_content_limit,1
route_unresolved_reason,no_explicit_evidence_on_ibuprofen_or_specific_formulations_found,1
route_unresolved_reason,no_extractable_evidence_found,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_on_ibuprofen_dermal_formulation,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_or_diffusion_cell_further_details_ne,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_information_available_on_specific_barriers_or_formulations,1
route_unresolved_reason,no_relevant_content_extracted_pertaining_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_content_found_in_the_provided_pages,1
route_unresolved_reason,no_relevant_content_visible_in_the_provided_text,1
route_unresolved_reason,no_relevant_data_found_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_data_regarding_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_details_provided_in_the_excerpt,1
route_unresolved_reason,no_relevant_evidence_extracted_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_for_ibuprofen_or_diffusion_cell_found_in_provided_text,1
route_unresolved_reason,no_relevant_evidence_for_ibuprofen_or_diffusion_cell_found_in_the_document,1
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_document,2
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_found_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_evidence_found_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_found_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_evidence_found_related_to_ibuprofen_or_diffusion_cells_in_the_provid,1
route_unresolved_reason,no_relevant_evidence_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_dermal_formulations_found_in_the_in,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_extractable_evidence_related_to_oa_or_ibuprofen_detected_in_the_prov,1
route_unresolved_reason,no_relevant_extraction_routes_found_from_the_provided_document,1
route_unresolved_reason,no_relevant_extracts_regarding_ibuprofen_or_diffusion_cells_found,1
route_unresolved_reason,no_relevant_information_about_diffusion_formulations_or_endpoints_found_in_the_p,1
route_unresolved_reason,no_relevant_information_extracted_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_information_found_regarding_ibuprofen_or_related_dermal_formulations,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_diffusion_cell_in_the_provided_pa,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_diffusion_cells_is_found_within_t,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_drug_formulation_found_in_the_giv,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_related_dermal_formulations_found,1
route_unresolved_reason,no_relevant_information_regarding_nsaids_or_ibuprofen_formulations_found,1
route_unresolved_reason,no_relevant_information_related_to_ibuprofen_or_diffusion_cells_found_in_the_pro,1
route_unresolved_reason,no_relevant_information_to_extract_from_provided_text,1
route_unresolved_reason,no_specific_endpoints_or_formulations_mentioned,1
route_unresolved_reason,no_specific_evidence_extractable_from_the_provided_text,2
route_unresolved_reason,no_specific_evidence_extraction_could_be_made_from_the_provided_text,1
route_unresolved_reason,no_specific_extraction_points_available,1
route_unresolved_reason,no_specific_information_on_ibuprofen_application_formulation_or_endpoints_found_,1
route_unresolved_reason,not_enough_information_in_provided_text_to_determine_specific_extraction_routes,1
route_unresolved_reason,potential_relevance_due_to_ibuprofen_formulation_focus,1
route_unresolved_reason,the_content_does_not_provide_specific_locations_for_extraction,1
route_unresolved_reason,the_content_primarily_refers_to_the_synthesis_and_use_of_new_ibuprofen_formulati,1
route_unresolved_reason,the_document_appears_primarily_focused_on_allergic_reactions_rather_than_specifi,1
route_unresolved_reason,the_document_appears_to_be_locked_or_incompletely_rendered_limiting_the_extracti,1
route_unresolved_reason,the_document_appears_to_be_unavailable_for_extraction_as_it_contains_only_naviga,1
route_unresolved_reason,the_document_appears_to_focus_on_the_design_and_synthesis_of_coumarin_schiff_bas,1
route_unresolved_reason,the_document_content_appears_to_pertain_to_the_assembly_of_lignin_based_colloids,1
route_unresolved_reason,the_document_does_not_appear_to_contain_relevant_evidence_based_on_the_provided_,1
route_unresolved_reason,the_document_does_not_appear_to_discuss_ibuprofen_or_related_dermal_formulations,1
route_unresolved_reason,the_document_does_not_contain_extractable_evidence_due_to_missing_structured_con,1
route_unresolved_reason,the_document_does_not_contain_relevant_evidence_related_to_ibuprofen_dermal_form,1
route_unresolved_reason,the_document_does_not_contain_relevant_information_about_ibuprofen_or_formulatio,1
route_unresolved_reason,the_document_does_not_contain_relevant_information_based_on_the_provided_content,1
route_unresolved_reason,the_document_does_not_contain_relevant_information_for_extraction_concerning_ibu,1
route_unresolved_reason,the_document_does_not_contain_relevant_information_on_ibuprofen_further_explorat,1
route_unresolved_reason,the_document_does_not_provide_clear_evidence_for_structured_extraction_specific_,1
route_unresolved_reason,the_document_does_not_provide_detailed_evidence_extraction_options,1
route_unresolved_reason,the_document_does_not_provide_enough_details_on_specific_methodologies_or_findin,1
route_unresolved_reason,the_document_does_not_provide_relevant_content_for_extraction_related_to_ibuprof,1
route_unresolved_reason,the_document_does_not_provide_specific_details_relevant_to_the_oa_only_ibuprofen,1
route_unresolved_reason,the_document_does_not_provide_sufficient_information_for_a_clear_extraction_rout,1
route_unresolved_reason,the_document_doesn_t_provide_clear_evidence_to_identify_relevant_endpoints_or_fo,1
route_unresolved_reason,the_document_primarily_comprises_web_and_institutional_navigation_information_no,1
route_unresolved_reason,the_document_primarily_consists_of_europe_pmc_interface_details_rather_than_subs,1
route_unresolved_reason,the_document_primarily_consists_of_navigation_and_metadata_lacking_core_content_,1
route_unresolved_reason,the_document_primarily_contains_metadata_about_the_journal_and_does_not_provide_,1
route_unresolved_reason,the_document_primarily_contains_navigation_and_access_information_for_the_europe,2
route_unresolved_reason,the_document_primarily_contains_navigation_details_and_does_not_provide_content_,1
route_unresolved_reason,the_document_primarily_discusses_naproxen_and_famotidine_with_no_mention_of_ibup,1
route_unresolved_reason,the_document_source_does_not_provide_clear_evidence_or_sections_to_extract_from,1
route_unresolved_reason,the_document_starts_with_a_europe_pmc_notice_and_does_not_contain_specific_infor,1
route_unresolved_reason,the_document_structure_is_unclear_and_specific_details_about_endpoints_or_formul,1
route_unresolved_reason,the_document_text_provided_does_not_contain_extractable_evidence_related_to_ibup,1
route_unresolved_reason,the_paper_discusses_maisine_based_microemulsions_for_drug_delivery_and_does_not_,1
route_unresolved_reason,the_paper_discusses_various_organic_contaminants_including_ibuprofen_but_additio,1
route_unresolved_reason,the_paper_explores_interactions_of_ibuprofen_with_a_metal_organic_framework_for_,1
route_unresolved_reason,the_provided_text_does_not_contain_relevant_information_regarding_ibuprofen_diff,1
route_unresolved_reason,the_provided_text_does_not_contain_relevant_information_to_extract_for_the_speci,1
route_unresolved_reason,the_relevant_data_and_evidence_are_not_visible_in_the_provided_text,1
route_unresolved_reason,this_document_contains_limited_key_extracts_due_to_the_presence_of_only_introduc,1
route_unresolved_reason,unable_to_determine_relevant_extraction_details_from_the_provided_document_text,1
route_unresolved_reason,unspecified,29
route_note,additional_information_from_the_paper_is_required_to_provide_complete_extraction,1
route_note,article_focuses_on_the_synthesis_and_evaluation_of_chitosan_ibuprofen_aerogels_s,1
route_note,contains_experimental_data_for_ibuprofen_permeation,1
route_note,contains_relevant_information_on_ibuprofen_composites,1
route_note,content_does_not_provide_specific_evidence_related_to_ibuprofen_or_diffusion_stu,1
route_note,content_extracted_from_the_source_could_not_be_determined_due_to_lack_of_identif,1
route_note,content_primarily_about_synthetic_evaluation_relevance_to_ibuprofen_formulation_,1
route_note,content_primarily_consists_of_web_navigation_elements_no_extractable_content_rel,1
route_note,document_consists_mainly_of_navigation_details_and_does_not_provide_relevant_stu,1
route_note,document_contains_no_extractable_evidence_regarding_specific_formulations_or_end,1
route_note,document_content_unavailable_for_extraction,1
route_note,document_does_not_contain_evidence_beyond_preliminary_information,1
route_note,document_does_not_contain_explicit_references_to_ibuprofen_or_diffusion_cells,1
route_note,document_does_not_contain_relevant_information_related_to_ibuprofen_or_dermal_fo,1
route_note,document_does_not_provide_relevant_extractable_evidence_regarding_dermal_formula,1
route_note,document_doesn_t_appear_to_contain_relevant_data_on_ibuprofen_dermal_formulation,1
route_note,document_lacks_relevant_information_for_extraction,1
route_note,document_text_does_not_provide_explicit_evidence_related_to_ibuprofen_or_diffusi,1
route_note,evidence_extraction_from_various_analyses_comparing_ibuprofen_foam_dressings_and,1
route_note,evidence_extraction_is_limited_due_to_the_document_not_containing_clear_indicati,1
route_note,evidence_extraction_is_limited_due_to_the_lack_of_specific_details_in_the_provid,1
route_note,evidence_extraction_is_unclear_lacks_explicit_details_on_formulations_and_endpoi,1
route_note,evidence_extraction_needs_further_details,1
route_note,evidence_extraction_not_applicable_as_no_relevant_content_found_in_the_provided_,1
route_note,evidence_pertains_to_drug_diffusion_through_skin_using_a_regenerated_keratin_mem,1
route_note,extraction_route_is_uncertain_due_to_lack_of_specific_details_in_the_text,1
route_note,extraction_route_not_possible_due_to_insufficient_references_to_ibuprofen_or_rel,1
route_note,focus_on_drug_delivery_efficiency,1
route_note,focus_on_ibuprofen_formulation_for_wound_care,1
route_note,focus_on_inhalable_formulation_for_covid_19_treatment,1
route_note,focus_on_soluplus_micelles_and_their_effect_on_ibuprofen_solubility,1
route_note,further_details_required_to_clarify_the_specific_extraction_points_regarding_ibu,1
route_note,information_extraction_is_limited_due_to_the_lack_of_structured_content_in_the_p,1
route_note,information_from_the_document_is_insufficient_to_determine_specific_extraction_r,1
route_note,information_limited_further_detail_extraction_needed_from_the_full_document,1
route_note,initial_analysis_suggests_a_focus_on_ibuprofen_in_a_synoviocyte_model_but_lacks_,1
route_note,initial_findings_from_a_randomized_controlled_clinical_investigation_involving_b,1
route_note,initial_page_contains_no_relevant_extractable_information,1
route_note,insufficient_content_available_to_extract_relevant_evidence,1
route_note,insufficient_content_for_specific_evidence_extraction_document_lacks_detailed_me,1
route_note,insufficient_content_provided_to_determine_evidence_extraction,1
route_note,insufficient_data_available_in_the_document_for_further_categorization,1
route_note,insufficient_detail_to_extract_specific_evidence_regarding_ibuprofen_or_formulat,1
route_note,insufficient_evidence_and_specific_references_to_ibuprofen_or_relevant_data,1
route_note,insufficient_evidence_from_the_provided_text_to_determine_specific_details,1
route_note,insufficient_evidence_related_to_ibuprofen_or_dermal_formulations,1
route_note,insufficient_evidence_related_to_ibuprofen_or_diffusion_cell_in_the_document,1
route_note,insufficient_extractable_evidence_in_provided_text,1
route_note,insufficient_information_extracted_from_the_document,1
route_note,insufficient_information_for_data_extraction,1
route_note,insufficient_information_for_extraction,1
route_note,insufficient_information_in_the_document_for_extraction,1
route_note,insufficient_information_provided_to_extract_specific_details_about_study_or_fin,1
route_note,insufficient_information_to_determine_specific_evidence_details,1
route_note,insufficient_information_to_extract_relevant_evidence,1
route_note,investigates_permeation_promoters_for_ibuprofen_delivery,1
route_note,metadata_indicates_study_on_transdermal_delivery_of_ibuprofen_with_novel_adhesiv,1
route_note,missing_structured_and_pdf_router_source,241
route_note,missing_structured_and_pdf_router_source_blocked_html_local_captcha_blocked_html,65
route_note,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_note,no_clear_evidence_extraction_points_identified_due_to_initial_page_content_limit,1
route_note,no_explicit_evidence_on_ibuprofen_or_specific_formulations_found,1
route_note,no_extractable_evidence_found,1
route_note,no_extractable_evidence_found_in_the_provided_text,1
route_note,no_extractable_evidence_found_on_ibuprofen_dermal_formulation,1
route_note,no_extractable_evidence_regarding_ibuprofen_or_diffusion_cell_further_details_ne,1
route_note,no_extractable_evidence_related_to_ibuprofen_or_diffusion_cell,1
route_note,no_information_available_on_specific_barriers_or_formulations,1
route_note,no_relevant_content_extracted_pertaining_to_ibuprofen_or_dermal_formulations,1
route_note,no_relevant_content_found_in_the_provided_pages,1
route_note,no_relevant_content_visible_in_the_provided_text,1
route_note,no_relevant_data_found_related_to_ibuprofen_or_dermal_formulations,1
route_note,no_relevant_data_regarding_ibuprofen_or_dermal_formulations,1
route_note,no_relevant_details_provided_in_the_excerpt,1
route_note,no_relevant_evidence_extracted_related_to_ibuprofen_or_dermal_formulations,1
route_note,no_relevant_evidence_for_ibuprofen_or_diffusion_cell_found_in_provided_text,1
route_note,no_relevant_evidence_for_ibuprofen_or_diffusion_cell_found_in_the_document,1
route_note,no_relevant_evidence_found_in_the_provided_document,2
route_note,no_relevant_evidence_found_in_the_provided_text,1
route_note,no_relevant_evidence_found_regarding_ibuprofen_or_diffusion_cell,1
route_note,no_relevant_evidence_found_related_to_ibuprofen_or_dermal_formulations,1
route_note,no_relevant_evidence_found_related_to_ibuprofen_or_diffusion_cell,1
