stage,bucket,count
figure_stage,digitization_no_output,6
figure_stage,digitized_curves,17
figure_stage,digitized_endpoints_failed,9
figure_stage,digitized_endpoints_ok,17
figure_stage,mapped_curves,12
figure_stage,triage_artifacts,18
figure_stage,triage_digitize_candidates,17
figure_stage,triage_has_permeation_plot_true,17
figure_stage,unmapped_curves,5
figure_stage,vlm_readings_readable,29
figure_stage,vlm_readings_total,33
figure_stage,vlm_used_as_final,13
figure_gate,skipped:missing_explicit_figure_signal,3
figure_gate,routed_candidates,22
figure_gate,after_gate,19
figure_triage_route,digitize,17
figure_triage_route,skip,1
figure_has_permeation_plot,false,1
figure_has_permeation_plot,true,17
figure_triage_signal,digitizable:no,1
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,recommended_route:skip,1
figure_triage_signal,ticks_readable:uncertain,4
figure_triage_signal,why_not_digitizable:figure_is_a_table_with_text_data_not_curves,1
figure_digitization_status,digitization_no_output,6
figure_digitization_status,fail_missing_axis_range,3
figure_digitization_status,ok,17
figure_digitization_failure,digitization_no_output,6
figure_digitization_failure,fail_missing_axis_range,3
figure_mapping_status,underconstrained_labels,5
figure_mapping_status,vision_mapped,12
figure_mapping_failure,underconstrained_label_space_5_curves_1_labels,5
figure_vlm_grounding_status,figure_label_space,3
figure_vlm_grounding_status,figure_label_space_only,4
figure_vlm_grounding_status,none,4
figure_vlm_grounding_status,source_label_space,14
figure_vlm_grounding_status,ungrounded,8
figure_vlm_reconciliation_status,cv_only,8
figure_vlm_reconciliation_status,cv_vlm_agree,1
figure_vlm_reconciliation_status,cv_vlm_disagreement,6
figure_vlm_reconciliation_status,no_source_record,1
figure_vlm_reconciliation_status,unreadable,4
figure_vlm_reconciliation_status,vlm_only,13
verification_route:figure,ambiguous_api_concentration,54
verification_route:figure,figure_digitization_failed,7
verification_route:figure,insufficient_evidence,66
verification_route:figure,missing_api_concentration,24
verification_route:figure,missing_area,26
verification_route:figure,missing_endpoint,7
verification_route:figure,not_target_api,4
verification_route:figure,not_target_api_concentration,12
verification_route:figure,not_target_device,8
verification_route:figure,not_target_study_type,11
verification_route:figure,source_context_inconsistent,83
verification_route:mixed,insufficient_evidence,45
verification_route:mixed,missing_api_concentration,23
verification_route:mixed,missing_area,8
verification_route:mixed,not_target_api,1
verification_route:mixed,not_target_api_concentration,20
verification_route:mixed,not_target_device,3
verification_route:mixed,not_target_study_type,3
verification_route:mixed,percent_only,19
verification_route:table,ambiguous_api_concentration,51
verification_route:table,insufficient_evidence,46
verification_route:table,missing_api_concentration,35
verification_route:table,missing_area,19
verification_route:table,not_target_api,14
verification_route:table,not_target_api_concentration,4
verification_route:table,not_target_device,2
verification_route:table,not_target_study_type,4
verification_route:text,insufficient_evidence,6
verification_route:text,missing_endpoint,4
verification_route:text,missing_endpoint_time,2
verification_route:text,not_target_device,1
verification_route:text,not_target_study_type,1
