stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,93
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,16
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,4
llm_adjudication_priority_bucket,high,97
llm_adjudication_priority_bucket,medium,16
llm_adjudication_review_focus,api_concentration_basis,93
llm_adjudication_review_focus,diffusion_area,16
llm_adjudication_review_focus,endpoint_value,4
llm_adjudication_recommended_status,rejected,13
llm_adjudication_recommended_status,unresolved,100
llm_adjudication_should_keep,no,112
llm_adjudication_should_keep,uncertain,1
llm_adjudication_disagreement,scope_bucket_disagreement,13
llm_adjudication_disagreement,status_disagreement,13
llm_adjudication_transition,unresolved->rejected,13
llm_adjudication_transition,unresolved->unresolved,100
