route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,19,,,,,,
mixed,4,,,,,,
table,19,,,,,,
text,13,,,,,,
unresolved,478,,,,,,
,16,figure,,,,,
,243,table,,,,,
,13,text,,,,,
,48,,rejected,,,,
,199,,unresolved,,,,
,1,,verified,,,,
,19,,,out_of_scope,,,
,177,,,recoverable_unresolved,,,
,1,,,strict_in_scope,,,
,51,,,useful_but_out_of_scope,,,
,19,,,,non_target_api,,
,156,,,,recoverable_api_basis,,
,34,,,,recoverable_area,,
,8,,,,recoverable_endpoint,,
,1,,,,recoverable_endpoint_time,,
,5,,,,recoverable_figure_digitization,,
,61,,,,recoverable_source_context,,
,105,,,,recoverable_support_gap,,
,177,,,,recoverable_unresolved,,
,35,,,,useful_api_concentration_out_of_scope,,
,51,,,,useful_but_out_of_scope,,
,14,,,,useful_device_out_of_scope,,
,16,,,,useful_study_type_out_of_scope,,
,105,,,,,ambiguous_api_concentration,
,7,,,,,figure_digitization_failed,
,163,,,,,insufficient_evidence,
,82,,,,,missing_api_concentration,
,53,,,,,missing_area,
,11,,,,,missing_endpoint,
,2,,,,,missing_endpoint_time,
,19,,,,,not_target_api,
,36,,,,,not_target_api_concentration,
,14,,,,,not_target_device,
,19,,,,,not_target_study_type,
,19,,,,,percent_only,
,83,,,,,source_context_inconsistent,
,4,,,,,,patch_api_concentration
,12,,,,,,patch_area
,54,,,,,,patch_endpoint_time
,54,,,,,,patch_endpoint_value
