source,id,pmid,pmcid,doi,title,abstract,year,journal,authors,url,query_used,rule_relevance_label,rule_confidence,rule_hints,rule_exclusions,queue,relevance_label,mentions_franz_in_abstract,likely_study_type,likely_has_measurable_endpoint,likely_has_formulation_info,likely_barrier_category,what_to_check_in_fulltext,rationale,confidence
ETH,470960,,,,Subcellular actions of non-steroidal anti-inflammatory drugs : lysosome and prostaglandin studies,"The stabilization of lysosomal membranes and the inhibition of prostaglandin biosynthesis are two of the many proposed mechanisms whereby anti-inflammatory drugs may exert their therapeutic action. In this context, the subcellular actions of certain non-steroidal agents have been investigated using in vitro techniques. Under specific conditions, rat liver lysosomal membranes were stabilized by aspirin, ibuprofen, indomethacin, flurbiprofen and chloroquine as assessed by the release of free acid phosphatase or beta-glucuronidase. The lysosomal enzymes were not inhibited by the above agents at therapeutic doses. Attempts were made to extend these studies to the inflammatory important lysosomes of polymorphonucelar leucocytes but difficulties were encountered. Although both ibuprofen and flurbiprofen decreased the inflammatory response in adjuvant-induced arthritis in the rat, no correlation was observed between paw size and total paw lysosomal levels. Prostaglandin biosynthesis was investigated in preparations of rabbit renal medullae and bovine seminal vesicles using a radiochemical technique. The synthesis of radioactive PGE2 and PGF2alpha from labelled precursor, arachidonic acid, was inhibited by non-steroidal ... (continues)",1975,,Rose AJ.,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.470960,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\bin vitro\\b', '\\brelease\\b']",[],later,maybe,no,uncertain,yes,no,uncertain,"['Details on in vitro techniques used', 'Specifics on lysosomal membrane stabilization', 'Endpoints measured in studies', 'Formulation details of ibuprofen and other NSAIDs']","The abstract discusses mechanisms of action for non-steroidal anti-inflammatory drugs (NSAIDs) including ibuprofen, but it does not specifically validate a diffusion-cell model or provide conclusive evidence for pharmacokinetics in skin absorption context, hence uncertain for IVPT/IVRT purposes.",0.6
MED,9176998,9176998.0,,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,Topical administration of racemic ibuprofen.,"In vitro experiments to investigate possible stereoselective aspects of the topical administration of ibuprofen have been conducted. Incubation of ibuprofen with rat skin homogenates in the presence of coenzyme A, ATP, and magnesium provided no evidence for the formation of ibuprofenyl coenzyme A (the initial intermediate in the metabolic inversion of [R]- to [S]-ibuprofen). Similar incubation studies gave no indication of a change in the enantiomeric ratios of ibuprofen over the time course of the experiments. Percutaneous penetration studies of ibuprofen gel through porcine skin indicated that the ibuprofen enantiomer levels in the reservoir solutions were consistent with racemic ibuprofen having traversed the skin with no metabolic inversion. These results suggest that, in the models studied, skin metabolism does not result in the chiral inversion of (R)- to (S)-ibuprofen and that the topical administration of ibuprofen will result in the delivery of 50% ""isomeric ballast.""",1997,,"Millership JS, Collier PS.",https://doi.org/10.1002/(SICI)1520-636X(1997)9:3<313::AID-CHIR19>3.0.CO;2-Q,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\bin vitro\\b', '\\btopical\\b', '\\bskin\\b']",[],now,relevant,no,IVPT,yes,yes,skin,"['Details on formulation of ibuprofen gel', 'Specific methods used for percutaneous penetration studies', 'Data on penetration rates and amounts', 'Consideration of enantiomeric ratios and their implications']","The abstract describes in vitro studies relevant to the permeability of ibuprofen through skin, supporting its advancement for diffusion-cell evaluation related to topical formulations.",0.85
MED,20393931,20393931.0,,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,"<h4>Background</h4>Venous leg ulcers affect up to 1 per cent of people at some time in their lives. The main treatments are compression bandages and dressings. As these ulcers are often painful some clinicians choose particular dressings and topical treatments (analgesia/ local anaesthetic) to reduce the pain both during and between dressing changes.<h4>Objectives</h4>To assess the effectiveness of dressings, local anaesthetics or topical analgesia for pain relief in venous leg ulceration.<h4>Search strategy</h4>For this update the search strings were revised and the following databases were searched: The Cochrane Wounds Group Specialised Register (Searched 16/12/09) The Cochrane Central Register of Controlled Trials (CENTRAL) - The Cochrane Library Issue 4 2009; Ovid MEDLINE - 1950 to November Week 3 2009; Ovid EMBASE - 1980 to 2009 Week 50; EBSCO CINAHL - 1982 to December 16 2009. No date or language restrictions were applied.<h4>Selection criteria</h4>Randomised controlled trials which evaluated local interventions used to relieve venous leg ulcer pain were considered. Pain was defined as either persistent pain or pain at dressing changes or debridement. Ulcer healing and reported adverse events were also considered as further outcomes.<h4>Data collection and analysis</h4>Eligibility for inclusion was confirmed by two review authors who independently assessed the potential trials.<h4>Main results</h4>Two trials evaluating interventions for persistent venous leg ulcer pain were identified for this review update. Both studies evaluated ibuprofen slow release foam dressings; one comparing it with local best practice and the other with an identical foam comparator. The primary end point for both studies was ""pain relief achieved"". When compared with a foam dressing alone, there was no evidence of a statistically significant effect of the ibuprofen foam dressing in terms of achieving some pain relief the first evening after treatment: 74% in the ibuprofen group (46/62) had pain relief compared with 58% (35/60) in the foam group (no significant difference: RR 1.27, 95%CI 0.98 to 1.65). In the second study 100% (32/32) of people with venous ulcers achieved some pain relief with the ibuprofen dressing on the first evening of treatment compared with 93% (26/28) in the local best practice group (no significant difference: RR 1.08, 95% CI 0.96 to 1.21). Pooling these studies in a meta-analysis (using a random effects model as significant heterogeneity present (p=0.1), I(2) = 64%) there is no evidence that ibuprofen dressings increase the pain relief experienced by the first evening of use (RR 1.15, 95% CI 0.91 to 1.44). We were not able to extract sufficient data to combine other pain outcomes from these trials. There was no difference in healing rates but slightly more adverse events with ibuprofen dressings than with a similar foam dressing without ibuprofen.Six trials evaluated interventions for the pain associated with debridement and were considered sufficiently similar to pool. There was a statistically significant reduction in debridement pain scores with 5% Eutectic Mixture of Local Anaesthetics (EMLA): lidocaine-prilocaine cream; the difference in means (measured on a 100 mm scale) was 20.6 mm (95% CI 12.19 to 29.11). Of these six trials, only one small trial measured healing as an outcome and found no difference in the numbers of ulcers healed at the end of the study.<h4>Authors' conclusions</h4>There is no evidence that ibuprofen dressings offer pain relief, as measured at the first evening of use, to people with painful venous leg ulcers compared with foam dressings or best practice.EMLA appears to provide effective pain relief for venous leg ulcer debridement but the effect (if any) of EMLA on ulcer healing remains unknown.",2010,,"Briggs M, Nelson EA.",https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\brelease\\b', '\\btopical\\b']",[],now,relevant,no,IVPT,yes,yes,skin,"['Details on ibuprofen formulation and its release mechanism', 'Specific methods used for assessing pain relief', 'Comparative analysis between treatments', 'Any skin permeability metrics reported']","The paper evaluates ibuprofen foam dressings for pain relief in venous leg ulcers, making it relevant for studying dermal penetration and pain endpoints in topical formulations.",0.9
MED,23152206,23152206.0,PMC7054838,10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,"<h4>Background</h4>Venous leg ulcers affect up to 1% of people at some time in their lives and are often painful. The main treatments are compression bandages and dressings. Topical treatments to reduce pain during and between dressing changes are sometimes used.<h4>Objectives</h4>To determine the effects of topical agents or dressings for pain in venous leg ulcers.<h4>Search methods</h4>For this third update the following databases were searched: Cochrane Wounds Group Specialised Register (searched 9 May 2012); The Cochrane Central Register of Controlled Trials (CENTRAL) (The Cochrane Library 2012, Issue 4); Ovid MEDLINE (2009 to April Week 4 2012); Ovid MEDLINE (In-Process & Other Non-Indexed Citations May 08, 2012); Ovid EMBASE (2009 to 2012 Week 18); and EBSCO CINAHL (2009 to May 2 2012). No date or language restrictions were applied.<h4>Selection criteria</h4>Published or unpublished randomised controlled trials (RCTs) that evaluated the effects of topical agents or dressing for the treatment of pain in venous ulcers were included.<h4>Data collection and analysis</h4>Two review authors independently performed trial selection, data extraction and risk of bias assessment.<h4>Main results</h4>Six trials (343 participants) evaluated Eutectic Mixture of Local Anaesthetics (EMLA): lidocaine-prilocaine cream for the pain associated with ulcer debridement. The between-group difference in pain measured on a 100 mm scale was statistically significant in favour of EMLA (MD -20.65, 95% CI -12.19 to -29.11). No significant between-group differences in burning or itching were observed.Two trials (470 participants with venous leg ulcers) evaluated ibuprofen slow-release foam dressings for persistent venous leg ulcer pain. Compared with local best practice, significantly more participants in the ibuprofen dressing group achieved the outcome of >50% of the total maximum pain relief score between day 1 and day 5 than participants in the local best practice group (RR 1.63, 95% CI 1.24 to 2.15). The number needed to treat was 6 (95% CI 4 to 12). In the second trial, compared with an identical non-ibuprofen foam dressing, there was no statistically significant difference in the proportion of participants experiencing slight to complete pain relief on the first evening of treatment.Limited data were available to assess healing rates or adverse events.<h4>Authors' conclusions</h4>There is some evidence to suggest that ibuprofen dressings may offer pain relief to people with painful venous leg ulcers. EMLA (5%) appears to provide effective pain relief during the debridement of venous leg ulcers. Further research should consider standardised pain assessment methods and assess both the effect on ulcer healing and the impact of long term use of these treatments.",2012,,"Briggs M, Nelson EA, Martyn-St James M.",https://doi.org/10.1002/14651858.CD001177.pub3,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\brelease\\b', '\\btopical\\b']",[],now,relevant,no,IVPT,yes,yes,skin,"['Details on ibuprofen formulation', 'Measurable endpoints of pain relief', 'Methodology for skin barrier assessment']","The abstract discusses the evaluation of ibuprofen slow-release foam dressings for pain relief in venous leg ulcers, indicating potential relevance to dermal formulation studies and IVPT evidence.",0.9
MED,27805775,27805775.0,,10.1002/adhm.201600591,Magnetically Controlled Drug Release System through Magnetomechanical Actuation.,"A drug release system is developed capable to modulate the drug release kinetics by the application of a magnetic field. Thus, this work reports on the production, characterization, and release kinetics of a poly(l-lactic acid) (PLLA) microporous membrane containing a zeolite (Faujasite) and a magnetic stimuli-sensitive component, magnetostrictive Terfenol-D (TD), for the release of ibuprofen (IBU) as drug model. For membranes containing IBU-loaded zeolites and TD without an applied AC magnetic field, the release kinetics is characterized by a first order release. On the other hand, the application of an AC magnetic field modifies the release profile of the membrane, leading to an increase of the release rate by more than 30%, the magnetically driven release being characterized by a super case-II within the Korsmeyer-Peppas model, indicating a release mainly driven by a swelling or erosion mechanism, induced by the magnetostrictive particles under the applied magnetic field. The increase of the TD w/w from 10% to 20% has as a consequence a decrease in the quantity of IBU released from 79% to 70%; on the contrary, increasing the H <sub>AC</sub> intensity from 100 to 200 mT promotes an increase on the percentage of IBU released from 67% to 75%.",2016,,"Barbosa J, Correia DM, Gonçalves R, Ribeiro C, Botelho G, Martins P, Lanceros-Mendez S.",https://doi.org/10.1002/adhm.201600591,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\brelease\\b', '\\bmembrane\\b']",[],now,relevant,no,IVPT,yes,yes,uncertain,"['Mechanism details of drug release', 'Data on skin barrier properties', 'Full experimental setup for in vitro testing']","The study describes a novel drug release system using a magnetomechanical approach specifically for ibuprofen, highlighting modulation of release kinetics and providing quantifiable results, indicating strong relevance for IVPT/IVRT analysis.",0.9
MED,41221649,41221649.0,PMC12866810,10.1002/advs.202510976,Nanogel Integrated Zwitterionic Injectable Hydrogel with Sequential Drug-Releasing Capability for the Programmable Repair of Spinal Cord Injury.,"Spinal cord injury (SCI), a highly disabling injury to the central nervous system, has a complex and sequential pathogenesis. Traditional multiple-delivery systems rely on a physical mix of nanoparticles or drugs in hydrogels, which lacks the controllability of the drug. To solve these problems, an integrative hydrogel system cross-linked with a Per-g-PSB nanogel is designed. Dendritic macromolecular nanogels (Per-g-PSB) could not only act as cross-linkers to adjust the hydrogel mechanical properties but also form a dynamic network (Dex/Per-g-PSB hydrogel). Most importantly, a large amount of charge could lead to a significant sustained release via electrostatic interactions. The hydrogel platform (Mel/Ibu@D/P-g-PSB) realizes the sequential release of melatonin and ibuprofen by different mechanisms. Melatonin is first released by diffusion and exhibits significant neuroprotective effects during the acute phase by downregulating the expression of inflammatory cytokines. Ibuprofen is released in the second stage due to strong electrostatic interactions, and it reduces RhoA signaling activation by blocking the ROCK pathway in the subacute phase, which reduces the deleterious cascade reaction after spinal cord injury. These results show that the ion-sensitive hydrogel platform with sequentially releasing drug effects, combining anti-inflammatory effects and blocking the ROCK pathway, shows excellent repair of SCI.",2026,,"Wei Z, Huang S, Zhang W, Wen J, Zhou X, He W, Yang X, Wang H, Zhai G, Shi B, Jin L, Wang D, Feng S, Ye L.",https://doi.org/10.1002/advs.202510976,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\bdiffus', '\\brelease\\b']",[],now,relevant,no,IVPT,yes,yes,uncertain,"['Detailed methodology for IVPT/IVRT studies', 'Specific formulation details of ibuprofen in the hydrogel', 'Quantitative endpoints related to drug release', 'Performance metrics on skin or synthetic membranes']","The abstract discusses a hydrogel formulation that includes ibuprofen for drug delivery, highlighting its sequential release mechanisms and therapeutic effects, indicating relevance to IVPT/IVRT studies.",0.9
MED,31988769,31988769.0,PMC6971472,10.1002/ams2.457,A rare case of Reye's syndrome induced by influenza A virus with use of ibuprofen in an adult.,"<h4>Background</h4>Reye's syndrome (RS) is a rare but severe acute life-threating disease characterized by encephalopathy and fatty liver damage. Reye's syndrome is most common in children and rarely occurs in adults.<h4>Case presentation</h4>A 56-year-old woman was admitted to the emergency department with disturbance of consciousness and respiratory failure. She had taken ibuprofen for headache. Her Glasgow Coma Scale score was E3V3M5 on admission. The laboratory findings revealed acute liver failure with prothrombin time - international normalized ratio of 3.16, aspartate aminotransferase 12,548 IU/L, alanine aminotransferase 5,725 IU/L, and blood ammonia 102 μg/dL. Head magnetic resonance imaging showed hyperintense signals on diffusion-weighed images of globus pallidus.We diagnosed the patient with RS induced by influenza A and use of ibuprofen. The patient received supportive care in the intensive care unit and her clinical outcome was favorable.<h4>Conclusion</h4>Ibuprofen might be a risk factor for RS.",2020,,"Hongo T, Momoki N, Mae S, Nozaki S, Takahashi K, Fujiwara T.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ams2.457,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,['\\bdiffus'],[],park,not_relevant,no,uncertain,no,no,uncertain,"['Formulation details of ibuprofen', 'Study on absorption through skin or membranes', 'Any evidence of measurable pharmacokinetics or dynamics']",The abstract discusses a case of Reye's syndrome related to ibuprofen use but does not provide sufficient evidence regarding formulation or diffusion characteristics relevant to dermal applications or permeation studies.,0.6
MED,24243443,24243443.0,,10.1002/ardp.201300279,Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.,"Based on the positive effects of COX-2 inhibitors on depressive symptoms and the desirable physicochemical and biological properties of the morpholine group, a series of novel 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides were designed, synthesized, and tested for their COX-2 inhibitory and serotonin reuptake inhibitory activities in vitro. The structure-activity relationships of the 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as dual COX-2 and serotonin reuptake inhibitors were determined and discussed in detail. The biological assays indicated that five of the compounds possess good COX-2 selectivity (selectivity index COX-1/COX-2 42.8-158.1). The compound 2-[2-(4-benzyloxyphenyl)morpholino]ethyl 2-(4-iso-butylphenyl)-propanoate hydrochloride (1k) shows better COX-2 inhibitory activity (IC50 = 0.78 µM) than ibuprofen (IC50 = 7.6 µM), and it simultaneously possesses favorable serotonin reuptake inhibitory activity.",2014,,"Dou J, Shi L, Hu A, Dong M, Xu J, Liu A, Jiang Y.",https://doi.org/10.1002/ardp.201300279,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,['\\bin vitro\\b'],[],later,not_relevant,no,uncertain,yes,no,uncertain,"['Formulation details', 'Measurable endpoints related to skin absorption']",The paper focuses on the synthesis of ibuprofen esters with biological activity but does not indicate any dermal formulation or IVPT/IVRT-related investigations.,0.7
MED,18985797,18985797.0,,10.1002/bdd.631,Skin disposition of menthol after its application in the presence of drug substances.,"Many drug products that are applied onto the skin contain menthol. Menthol plays a dual role in the analgesic and anti-inflammatory drugs: it causes cooling and local anesthetic effects and, being a penetration enhancer, it increases the skin permeation of the drug substances. However, there are no data concerning the skin penetration of menthol after its application in the most commonly used vehicles and in the presence of drug substances. Therefore, this study evaluated the ex vivo skin disposition of menthol after application of the commercially available drug products containing aluminum acetotartrate, methyl salicylate, ibuprofen and naproxen, using full human-skin mounted in flow-through diffusion cells. After 15, 30 and 60 min of application, the skin was progressively tape-stripped into three fractions of stratum corneum and the remaining epidermis with dermis. The content of menthol in the skin layers was determined by GC method. Varying degrees of penetration of menthol into the skin layers was observed, depending on its amount in the vehicle and the presence of drug substance. In the presence of aluminum acetotartrate, the skin penetration of menthol was limited only to the outer fraction of the stratum corneum. In the case of drug products containing naproxen, the concentration of the drug substance significantly influenced the skin penetration of menthol.",2008,,Cal K.,https://doi.org/10.1002/bdd.631,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\bpermeat', '\\bdiffus', '\\bskin\\b']",[],now,relevant,no,IVPT,yes,yes,skin,"['Details on ibuprofen formulation', 'Data on skin penetration of ibuprofen', 'Analysis of interaction between menthol and ibuprofen']","The study investigates the skin disposition of menthol in the presence of ibuprofen, making it relevant for understanding ibuprofen's dermal formulation and potential transport properties.",0.9
MED,20017213,20017213.0,,10.1002/bmc.1365,Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.,"The enantio-separations of eight 2-arylpropionic acid nonsteroidal anti-inflammatory drugs (2-APA NSAIDs) were established using reversed-phase high-performance liquid chromatography with hydroxypropyl-beta-cyclodextrin (HP-beta-CD) as chiral mobile phase additive for studying the stereoselective skin permeation of suprofen, ketoprofen, naproxen, indoprofen, fenoprofen, furbiprofen, ibuprofen and carprofen. The effects of the mobile phase composition, concentration of HP-beta-CD and column temperature on retention and enantioselective separation were investigated. With 2-APA NSAIDs as acidic analytes, the retention times and resolutions of the enantiomers were strongly related to the pH of the mobile phase. In addition, both the concentration of HP-beta-CD and temperature had a great effect on retention time, but only a slight or almost no effect on resolutions of the analytes. Enantioseparations were achieved on a Shimpack CLC-ODS (150 x 4.6 mm i.d., 5 microm) column. The mobile phase was a mixture of methanol and phosphate buffer (pH 4.0-5.5, 20 mM) containing 25 mM HP-beta-CD. This method was flexible, simple and economically advantageous over the use of chiral stationary phase, and was successfully applied to the enantioselective determination of the racemic 2-APA NSAIDs in an enantioselective skin permeation study.",2010,,"Ye J, Yu W, Chen G, Shen Z, Zeng S.",https://doi.org/10.1002/bmc.1365,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",relevant,0.8,"['\\bpermeat', '\\bskin\\b']",[],now,relevant,no,uncertain,yes,yes,skin,"['Methodology for skin permeation study', 'Details on the measurable endpoints', 'Inefficiencies related to the mobile phase composition']","The abstract discusses enantioselective skin permeation studies of multiple NSAIDs, including ibuprofen, indicating relevance to diffusion-cell IVPT/IVRT evidence. It also mentions a measurable endpoint and formulation information.",0.85
