route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,19,,,,,,
mixed,7,,,,,,
table,14,,,,,,
text,10,,,,,,
unresolved,479,,,,,,
,14,figure,,,,,
,247,table,,,,,
,11,text,,,,,
,59,,rejected,,,,
,178,,unresolved,,,,
,1,,verified,,,,
,23,,,out_of_scope,,,
,159,,,recoverable_unresolved,,,
,1,,,strict_in_scope,,,
,55,,,useful_but_out_of_scope,,,
,23,,,,non_target_api,,
,121,,,,recoverable_api_basis,,
,20,,,,recoverable_area,,
,20,,,,recoverable_endpoint,,
,13,,,,recoverable_figure_digitization,,
,54,,,,recoverable_source_context,,
,85,,,,recoverable_support_gap,,
,20,,,,recoverable_unit_normalization,,
,159,,,,recoverable_unresolved,,
,27,,,,useful_api_concentration_out_of_scope,,
,55,,,,useful_but_out_of_scope,,
,25,,,,useful_device_out_of_scope,,
,1,,,,useful_endpoint_out_of_scope,,
,16,,,,useful_study_type_out_of_scope,,
,97,,,,,ambiguous_api_concentration,
,20,,,,,figure_digitization_failed,
,126,,,,,insufficient_evidence,
,67,,,,,missing_api_concentration,
,54,,,,,missing_area,
,32,,,,,missing_endpoint,
,5,,,,,missing_endpoint_time,
,23,,,,,not_target_api,
,31,,,,,not_target_api_concentration,
,25,,,,,not_target_device,
,16,,,,,not_target_study_type,
,22,,,,,percent_only,
,75,,,,,source_context_inconsistent,
,20,,,,,unit_normalization_failed,
,17,,,,,,patch_area
,53,,,,,,patch_endpoint_time
,75,,,,,,patch_endpoint_value
