stage,bucket,count
access_status,downloaded,306
access_status,error,16
access_status,unresolved,217
access_reason,failed_download_html,3
access_reason,failed_download_pdf,24
access_reason,resolve_error_connectionerror,2
access_reason,seed_pdf_url_from_metadata,7
route_unresolved_reason,abstract_does_not_provide_specific_methodologies_further_sections_are_required_f,1
route_unresolved_reason,content_does_not_provide_relevant_evidence_for_ibuprofen_dermal_formulation,1
route_unresolved_reason,content_not_accessible_further_examination_needed,1
route_unresolved_reason,content_not_fully_provided_for_structured_extraction,1
route_unresolved_reason,document_appears_to_be_a_general_article_without_specific_information_on_ibuprof,1
route_unresolved_reason,document_appears_to_be_a_study_protocol_for_a_clinical_trial_lacking_specific_re,1
route_unresolved_reason,document_appears_to_have_no_relevant_extraction_content,1
route_unresolved_reason,document_content_mostly_contains_navigation_and_metadata_information_without_any,1
route_unresolved_reason,document_content_not_provided_limited_information_available,1
route_unresolved_reason,document_does_not_contain_relevant_evidence_extracts,1
route_unresolved_reason,document_does_not_contain_relevant_information_regarding_ibuprofen_or_related_fo,1
route_unresolved_reason,document_does_not_provide_sufficient_content_for_extraction,1
route_unresolved_reason,document_primarily_contains_catalog_information_rather_than_content_related_to_d,1
route_unresolved_reason,document_primarily_contains_navigation_links_rather_than_substantive_content,1
route_unresolved_reason,document_text_extracted_does_not_contain_relevant_information_about_ibuprofen_or,1
route_unresolved_reason,evidence_extraction_from_the_provided_source_is_limited_as_specific_experimental,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_lack_of_details_and_structured_data_in_the,1
route_unresolved_reason,exploration_of_ph_sensitive_sustained_delivery_mechanisms_for_ibuprofen,1
route_unresolved_reason,extractable_evidence_appears_to_be_present_but_specific_details_regarding_experi,1
route_unresolved_reason,extractable_evidence_is_unclear_further_context_is_needed,1
route_unresolved_reason,extractable_evidence_related_to_nanoemulsions_and_ibuprofen_interactions,1
route_unresolved_reason,full_content_extraction_not_available_details_required_to_assess_study,1
route_unresolved_reason,initial_pages_contain_administrative_content_research_content_likely_starts_late,1
route_unresolved_reason,initial_part_of_the_document_does_not_provide_specific_information_further_conte,1
route_unresolved_reason,insufficient_content_available_for_extraction,1
route_unresolved_reason,insufficient_data_to_extract_specific_evidence_related_to_ibuprofen_or_diffusion,1
route_unresolved_reason,insufficient_details_provided_in_the_document_for_extraction,1
route_unresolved_reason,insufficient_evidence_available_from_provided_text_to_determine_key_study_detail,1
route_unresolved_reason,insufficient_evidence_for_extraction,1
route_unresolved_reason,insufficient_extractable_evidence_in_the_provided_text,1
route_unresolved_reason,insufficient_information_available_to_determine_specific_evidence_extraction_rou,1
route_unresolved_reason,insufficient_information_for_extracting_relevant_evidence,1
route_unresolved_reason,insufficient_information_for_extraction,1
route_unresolved_reason,insufficient_information_in_the_provided_text_to_extract_specific_evidence_relat,1
route_unresolved_reason,insufficient_information_is_available_in_the_provided_text_for_concrete_extracti,1
route_unresolved_reason,insufficient_information_to_determine_specific_extractable_evidence,1
route_unresolved_reason,insufficient_information_to_identify_relevant_extraction_routes,1
route_unresolved_reason,limited_extractable_evidence_in_the_text_based_on_provided_content,1
route_unresolved_reason,missing_structured_and_pdf_router_source,230
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_local_captcha_blocked_html,68
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,3
route_unresolved_reason,no_clear_evidence_extractable_from_the_provided_document_text,1
route_unresolved_reason,no_clear_extractable_evidence_or_structured_data_present_in_the_provided_text,1
route_unresolved_reason,no_detailed_extractable_evidence_found_yet_content_presents_a_summary_without_sp,1
route_unresolved_reason,no_evidence_about_ibuprofen_or_diffusion_cells_found_in_the_provided_text,1
route_unresolved_reason,no_evidence_found_in_provided_text,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_dermal_formulation_found,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_diffusion_cells_found_uncertainty_in_extract,1
route_unresolved_reason,no_explicit_evidence_of_ibuprofen_or_diffusion_cells_identified_in_the_provided_,1
route_unresolved_reason,no_extractable_content_found_in_the_provided_text_the_document_seems_to_consist_,1
route_unresolved_reason,no_extractable_evidence_detailed_on_pages,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document,2
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document_text,2
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_supplied_text,1
route_unresolved_reason,no_extractable_evidence_from_the_provided_document,1
route_unresolved_reason,no_extractable_evidence_identified_in_the_provided_content,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_dermal_formulation,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_extractable_evidence_visible_in_the_provided_document_snippet,1
route_unresolved_reason,no_relevant_content_for_extraction_related_to_ibuprofen_or_dermal_formulation,1
route_unresolved_reason,no_relevant_content_for_ibuprofen_dermal_formulations,1
route_unresolved_reason,no_relevant_content_regarding_ibuprofen_or_diffusion_cell_is_present_in_the_init,1
route_unresolved_reason,no_relevant_data_related_to_ibuprofen_or_dermal_formulation_was_found_in_the_doc,1
route_unresolved_reason,no_relevant_details_related_to_ibuprofen_or_specific_formulations_found_in_the_p,1
route_unresolved_reason,no_relevant_evidence_extractable_from_the_provided_document_section,1
route_unresolved_reason,no_relevant_evidence_extracted_regarding_ibuprofen_or_dermal_formulation,1
route_unresolved_reason,no_relevant_evidence_found_in_the_document,1
route_unresolved_reason,no_relevant_evidence_found_in_the_extracted_content,1
route_unresolved_reason,no_relevant_evidence_found_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_evidence_regarding_ibuprofen_or_dermal_formulations_found,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_dermal_formulation_found_in_the_paper,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_extraction_evidence_found,1
route_unresolved_reason,no_relevant_extraction_evidence_found_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_extraction_routes_identified_in_the_provided_text,1
route_unresolved_reason,no_relevant_information_about_ibuprofen_or_diffusion_cells_found_in_the_provided,1
route_unresolved_reason,no_relevant_information_extracted_concerning_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_information_found_in_the_pages_provided,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_its_dermal_formulation,1
route_unresolved_reason,no_relevant_information_pertaining_to_ibuprofen_or_dermal_formulation_is_present,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_diffusion_cells_was_found_in_the_,1
