stage,bucket,count
figure_stage,digitization_no_output,5
figure_stage,digitized_curves,19
figure_stage,digitized_endpoints_failed,9
figure_stage,digitized_endpoints_ok,19
figure_stage,mapped_curves,10
figure_stage,triage_artifacts,18
figure_stage,triage_digitize_candidates,18
figure_stage,triage_has_permeation_plot_true,18
figure_stage,unmapped_curves,9
figure_stage,vlm_readings_readable,19
figure_stage,vlm_readings_total,21
figure_stage,vlm_used_as_final,16
figure_gate,skipped:low_route_confidence,1
figure_gate,skipped:missing_explicit_figure_signal,9
figure_gate,routed_candidates,29
figure_gate,after_gate,19
figure_triage_route,digitize,18
figure_has_permeation_plot,true,18
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,ticks_readable:uncertain,7
figure_digitization_status,digitization_no_output,5
figure_digitization_status,fail_missing_axis_range,4
figure_digitization_status,ok,19
figure_digitization_failure,digitization_no_output,5
figure_digitization_failure,fail_missing_axis_range,4
figure_mapping_status,underconstrained_labels,9
figure_mapping_status,vision_mapped,10
figure_mapping_failure,underconstrained_label_space_4_curves_1_labels,4
figure_mapping_failure,underconstrained_label_space_5_curves_4_labels,5
figure_vlm_grounding_status,figure_label_space,5
figure_vlm_grounding_status,figure_label_space_only,15
figure_vlm_grounding_status,ungrounded,1
figure_vlm_reconciliation_status,cv_only,1
figure_vlm_reconciliation_status,cv_vlm_disagreement,1
figure_vlm_reconciliation_status,no_source_record,1
figure_vlm_reconciliation_status,unreadable,2
figure_vlm_reconciliation_status,vlm_only,16
verification_route:figure,ambiguous_api_concentration,43
verification_route:figure,figure_digitization_failed,3
verification_route:figure,insufficient_evidence,59
verification_route:figure,missing_api_concentration,5
verification_route:figure,missing_area,34
verification_route:figure,missing_endpoint,5
verification_route:figure,missing_endpoint_time,1
verification_route:figure,not_target_api,13
verification_route:figure,not_target_api_concentration,22
verification_route:figure,not_target_device,6
verification_route:figure,not_target_study_type,22
verification_route:figure,percent_only,2
verification_route:figure,source_context_inconsistent,94
verification_route:figure,unit_normalization_failed,12
verification_route:mixed,ambiguous_api_concentration,11
verification_route:mixed,insufficient_evidence,59
verification_route:mixed,missing_api_concentration,14
verification_route:mixed,missing_area,18
verification_route:mixed,missing_endpoint,1
verification_route:mixed,not_target_api,21
verification_route:mixed,not_target_api_concentration,20
verification_route:mixed,not_target_study_type,16
verification_route:mixed,percent_only,4
verification_route:table,ambiguous_api_concentration,80
verification_route:table,insufficient_evidence,54
verification_route:table,missing_api_concentration,7
verification_route:table,missing_area,11
verification_route:table,not_target_api,2
verification_route:table,not_target_api_concentration,14
verification_route:table,not_target_device,13
verification_route:table,percent_only,19
verification_route:table,unit_normalization_failed,2
verification_route:text,ambiguous_api_concentration,1
verification_route:text,insufficient_evidence,3
verification_route:text,missing_endpoint,2
verification_route:text,missing_endpoint_time,2
