route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,19,,,,,,
mixed,10,,,,,,
table,17,,,,,,
text,16,,,,,,
unresolved,477,,,,,,
,13,figure,,,,,
,275,table,,,,,
,6,text,,,,,
,72,,rejected,,,,
,201,,unresolved,,,,
,4,,verified,,,,
,36,,,out_of_scope,,,
,153,,,recoverable_unresolved,,,
,4,,,strict_in_scope,,,
,84,,,useful_but_out_of_scope,,,
,36,,,,non_target_api,,
,97,,,,recoverable_api_basis,,
,30,,,,recoverable_area,,
,4,,,,recoverable_endpoint,,
,2,,,,recoverable_endpoint_time,,
,49,,,,recoverable_source_context,,
,93,,,,recoverable_support_gap,,
,14,,,,recoverable_unit_normalization,,
,153,,,,recoverable_unresolved,,
,51,,,,useful_api_concentration_out_of_scope,,
,84,,,,useful_but_out_of_scope,,
,17,,,,useful_device_out_of_scope,,
,2,,,,useful_endpoint_out_of_scope,,
,19,,,,useful_study_type_out_of_scope,,
,135,,,,,ambiguous_api_concentration,
,3,,,,,figure_digitization_failed,
,175,,,,,insufficient_evidence,
,26,,,,,missing_api_concentration,
,63,,,,,missing_area,
,8,,,,,missing_endpoint,
,3,,,,,missing_endpoint_time,
,36,,,,,not_target_api,
,56,,,,,not_target_api_concentration,
,19,,,,,not_target_device,
,38,,,,,not_target_study_type,
,25,,,,,percent_only,
,94,,,,,source_context_inconsistent,
,14,,,,,unit_normalization_failed,
,20,,,,,,patch_api_concentration
,7,,,,,,patch_area
,60,,,,,,patch_endpoint_time
,80,,,,,,patch_endpoint_value
