stage,bucket,count
access_status,downloaded,292
access_status,error,14
access_status,unresolved,224
access_reason,failed_download_html,1
access_reason,failed_download_pdf,25
access_reason,resolve_error_connectionerror,1
access_reason,seed_pdf_url_from_metadata,7
route_unresolved_reason,case_report_of_kounis_syndrome_with_ibuprofen_implicated,1
route_unresolved_reason,content_does_not_appear_to_be_relevant_to_ibuprofen_dermal_formulation,1
route_unresolved_reason,content_does_not_provide_clear_evidence_for_any_specific_extraction_or_analysis,1
route_unresolved_reason,content_extraction_not_possible_from_the_provided_text,1
route_unresolved_reason,content_from_the_document_extracted_indicates_that_information_is_related_to_in_,1
route_unresolved_reason,document_contains_no_relevant_content_to_extract_evidence_regarding_ibuprofen_or,1
route_unresolved_reason,document_content_does_not_provide_specific_information_to_determine_extraction_r,1
route_unresolved_reason,document_content_refers_primarily_to_the_structure_of_the_pdf_without_specific_d,1
route_unresolved_reason,document_does_not_provide_sufficient_information_for_extraction,1
route_unresolved_reason,document_not_fully_extracted_no_structured_evidence_from_the_visible_text,1
route_unresolved_reason,document_primarily_contains_metadata_with_no_extractable_evidence,1
route_unresolved_reason,evidence_extraction_requires_further_text_analysis,1
route_unresolved_reason,extractable_evidence_not_found_in_the_provided_text,1
route_unresolved_reason,extraction_route_cannot_be_definitively_determined_with_provided_information,1
route_unresolved_reason,extraction_route_remains_unclear_without_additional_context_from_the_paper,1
route_unresolved_reason,focuses_on_the_validation_of_franz_diffusion_cell_system_for_drug_permeation_stu,1
route_unresolved_reason,full_details_about_endpoints_and_formulations_are_not_visible_in_the_current_tex,1
route_unresolved_reason,further_details_may_require_review_of_supplementary_materials_or_figures,1
route_unresolved_reason,initial_content_indicates_membrand_interaction_but_lacks_clear_structured_eviden,1
route_unresolved_reason,initial_pages_do_not_provide_detailed_evidence_or_structured_data_related_to_der,1
route_unresolved_reason,initial_pages_do_not_provide_relevant_content_or_evidence,1
route_unresolved_reason,insufficient_content_available_to_extract_relevant_evidence,1
route_unresolved_reason,insufficient_detail_available_in_the_provided_text,1
route_unresolved_reason,insufficient_detail_provided_in_the_extractable_evidence,1
route_unresolved_reason,insufficient_extractable_evidence_from_provided_document_text,1
route_unresolved_reason,insufficient_extractable_evidence_in_the_provided_text,1
route_unresolved_reason,insufficient_extractable_evidence_related_to_ibuprofen_formulation,1
route_unresolved_reason,insufficient_information_available_from_the_document_to_determine_evidence_extra,1
route_unresolved_reason,insufficient_information_available_from_the_provided_text,1
route_unresolved_reason,insufficient_information_available_in_the_provided_document,1
route_unresolved_reason,insufficient_information_extracted_from_the_document,1
route_unresolved_reason,insufficient_information_for_extraction,1
route_unresolved_reason,insufficient_information_in_document_snippet,1
route_unresolved_reason,insufficient_information_in_the_provided_text,2
route_unresolved_reason,insufficient_information_on_extraction_routes_from_the_present_document,1
route_unresolved_reason,insufficient_information_provided_in_the_document_to_make_definitive_conclusions,1
route_unresolved_reason,insufficient_information_to_extract_evidence_related_to_ibuprofen_or_dermal_form,1
route_unresolved_reason,insufficient_text_provided_to_identify_extraction_routes_or_details,1
route_unresolved_reason,lacks_specific_information_about_ibuprofen_diffusion_cell_and_endpoints,1
route_unresolved_reason,missing_structured_and_pdf_router_source,237
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_local_captcha_blocked_html,64
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,1
route_unresolved_reason,no_actionable_content_available_only_a_notification_regarding_javascript_use_on_,1
route_unresolved_reason,no_concrete_evidence_regarding_ibuprofen_or_diffusion_cell_found_in_the_provided,1
route_unresolved_reason,no_detailed_content_provided_for_insights_on_methodologies_or_results,1
route_unresolved_reason,no_evidence_of_ibuprofen_or_diffusion_cell_mentioned_in_the_provided_text,1
route_unresolved_reason,no_explicit_extractable_evidence_found_on_this_page,1
route_unresolved_reason,no_explicit_formulation_or_endpoint_data_identified_in_extracted_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_document_provided,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_pages,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_identified_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_dermal_formulations_found_in_the_pr,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_found,1
route_unresolved_reason,no_extractable_evidence_related_to_oa_or_ibuprofen,1
route_unresolved_reason,no_references_to_ibuprofen_or_related_formulations_are_present_in_the_content_pr,1
route_unresolved_reason,no_relevant_content_regarding_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_data_extractable_from_the_provided_text,1
route_unresolved_reason,no_relevant_data_for_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_appears_extractable_from_the_document_provided,1
route_unresolved_reason,no_relevant_evidence_extractable_from_the_supported_text,1
route_unresolved_reason,no_relevant_evidence_found_in_the_document,1
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_dermal_formulation_identified,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_was_identified,1
route_unresolved_reason,no_relevant_extractable_evidence_appears_in_the_text_provided,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_document,1
