stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,67
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,12
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,18
llm_adjudication_priority_bucket,high,70
llm_adjudication_priority_bucket,medium,27
llm_adjudication_review_focus,api_concentration_basis,67
llm_adjudication_review_focus,diffusion_area,12
llm_adjudication_review_focus,endpoint_value,18
llm_adjudication_recommended_status,rejected,19
llm_adjudication_recommended_status,unresolved,78
llm_adjudication_should_keep,no,97
llm_adjudication_disagreement,scope_bucket_disagreement,18
llm_adjudication_disagreement,status_disagreement,19
llm_adjudication_transition,unresolved->rejected,19
llm_adjudication_transition,unresolved->unresolved,78
