route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,19,,,,,,
mixed,9,,,,,,
table,19,,,,,,
text,8,,,,,,
unresolved,475,,,,,,
,14,figure,,,,,
,279,table,,,,,
,16,text,,,,,
,99,,rejected,,,,
,171,,unresolved,,,,
,9,,verified,,,,
,44,,,out_of_scope,,,
,145,,,recoverable_unresolved,,,
,9,,,strict_in_scope,,,
,81,,,useful_but_out_of_scope,,,
,44,,,,non_target_api,,
,100,,,,recoverable_api_basis,,
,23,,,,recoverable_area,,
,21,,,,recoverable_endpoint,,
,1,,,,recoverable_endpoint_time,,
,5,,,,recoverable_figure_digitization,,
,33,,,,recoverable_source_context,,
,84,,,,recoverable_support_gap,,
,145,,,,recoverable_unresolved,,
,37,,,,useful_api_concentration_out_of_scope,,
,81,,,,useful_but_out_of_scope,,
,23,,,,useful_device_out_of_scope,,
,1,,,,useful_endpoint_out_of_scope,,
,32,,,,useful_study_type_out_of_scope,,
,106,,,,,ambiguous_api_concentration,
,5,,,,,figure_digitization_failed,
,162,,,,,insufficient_evidence,
,66,,,,,missing_api_concentration,
,61,,,,,missing_area,
,37,,,,,missing_endpoint,
,1,,,,,missing_endpoint_time,
,44,,,,,not_target_api,
,51,,,,,not_target_api_concentration,
,34,,,,,not_target_device,
,46,,,,,not_target_study_type,
,23,,,,,percent_only,
,88,,,,,source_context_inconsistent,
,22,,,,,unit_normalization_failed,
,11,,,,,,patch_api_concentration
,9,,,,,,patch_area
,64,,,,,,patch_endpoint_time
,87,,,,,,patch_endpoint_value
