record_id,paper_doi,source_table,barrier_normalized,occlusion_inferred,vehicle_signature,ethanol_vv,PG_vv,water_vv,MO_vv,MG_vv,composition_sum_check,composition_correctly_parsed,extracted_J_mean,reference_J_mean,J_relative_error_pct,J_within_2pct,extracted_J_sd,reference_J_sd,SD_relative_error_pct,SD_within_5pct,endpoint_unit,endpoint_kind,used_in_section
record_2abb314c7b9a,10.1159/000183922,Table 3,silicone,occluded,0:0:100:0:0,0,0,100,0,0,100,True,186,186,0.00,True,11,11,0.00,True,μg/cm2/h,flux,"§3.5.1 train, §3.5.2, §3.5.3 train"
record_c5c947facd5e,10.1159/000183922,Table 3,silicone,occluded,25:0:75:0:0,25,0,75,0,0,100,True,420,420,0.00,True,2.5,2.5,0.00,True,μg/cm2/h,flux,"§3.5.1 train, §3.5.2, §3.5.3 train"
record_9d951ad8e97f,10.1159/000183922,Table 3,silicone,occluded,50:0:50:0:0,50,0,50,0,0,100,True,916,916,0.00,True,79,79,0.00,True,μg/cm2/h,flux,"§3.5.1 train, §3.5.2, §3.5.3 train"
record_6addda23f9bf,10.1159/000183922,Table 3,silicone,occluded,75:0:25:0:0,75,0,25,0,0,100,True,945,945,0.00,True,61,61,0.00,True,μg/cm2/h,flux,"§3.5.1 train, §3.5.2, §3.5.3 train"
record_3a82944abc56,10.1159/000183922,Table 3,silicone,occluded,100:0:0:0:0,100,0,0,0,0,100,True,1495,1495,0.00,True,116,116,0.00,True,μg/cm2/h,flux,"§3.5.1 train, §3.5.2, §3.5.3 train"
record_a98d86faa525,10.1159/000183922,Table 4,silicone,pretreated,25:0:75:0:0,25,0,75,0,0,100,True,449,449,0.00,True,31.3,31.3,0.00,True,μg/cm2/h,flux,excluded (variant: pretreated)
record_0479b8762ff7,10.1159/000183922,Table 4,silicone,pretreated,75:0:25:0:0,75,0,25,0,0,100,True,712,712,0.00,True,29,29.0,0.00,True,μg/cm2/h,flux,excluded (variant: pretreated)
record_d64a87c207d1,10.1159/000183922,Table 4,silicone,pretreated,100:0:0:0:0,100,0,0,0,0,100,True,1681,1681,0.00,True,80,80,0.00,True,μg/cm2/h,flux,excluded (variant: pretreated)
record_1bd68bcc4d72,10.1159/000183922,Table 5,human_epidermis,occluded,0:0:100:0:0,0,0,100,0,0,100,True,24,24,0.00,True,2.7,2.7,0.00,True,μg/cm2/h,flux,§3.5.2
record_42e39d599287,10.1159/000183922,Table 5,human_epidermis,occluded,25:0:75:0:0,25,0,75,0,0,100,True,48,48,0.00,True,19,19,0.00,True,μg/cm2/h,flux,§3.5.2
record_06c6fe15e023,10.1159/000183922,Table 5,human_epidermis,occluded,50:0:50:0:0,50,0,50,0,0,100,True,274,274,0.00,True,33,33,0.00,True,μg/cm2/h,flux,§3.5.2
record_d28ec2f5bcb5,10.1159/000183922,Table 5,human_epidermis,occluded,75:0:25:0:0,75,0,25,0,0,100,True,293,293,0.00,True,24,24,0.00,True,μg/cm2/h,flux,§3.5.2
record_1fbd0dd25b18,10.1159/000183922,Table 5,human_epidermis,occluded,100:0:0:0:0,100,0,0,0,0,100,True,60,60,0.00,True,24,24,0.00,True,μg/cm2/h,flux,§3.5.2
record_b178d612dacc,10.1159/000231528,Table 2,silicone,occluded,0:0:100:0:0,0,0,100,0,0,100,True,185.58,185.5,0.04,True,10.94,10.94,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
record_50358ab6a9ca,10.1159/000231528,Table 2,silicone,occluded,0:10:90:0:0,0,10,90,0,0,100,True,225.48,225.4,0.04,True,31.47,31.47,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
record_fbbd43bde2f5,10.1159/000231528,Table 2,silicone,occluded,0:20:80:0:0,0,20,80,0,0,100,True,229.58,229.5,0.03,True,14.2,14.20,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
record_937d3e534888,10.1159/000231528,Table 2,silicone,occluded,0:30:70:0:0,0,30,70,0,0,100,True,216.08,216.0,0.04,True,22.47,22.47,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
record_9002f53353a8,10.1159/000231528,Table 2,silicone,occluded,0:40:60:0:0,0,40,60,0,0,100,True,277.18,277.1,0.03,True,31.22,31.22,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
record_3738ac92928d,10.1159/000231528,Table 2,silicone,occluded,0:60:40:0:0,0,60,40,0,0,100,True,355.48,355.4,0.02,True,36.34,36.34,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
record_bc629b7ee4f2,10.1159/000231528,Table 2,silicone,occluded,0:70:30:0:0,0,70,30,0,0,100,True,443.38,443.3,0.02,True,19.86,19.86,0.00,True,μg/cm2/h,flux,"§3.5.1 test, §3.5.2, §3.5.3 train"
